image_name,weight
0000,0.897490
0001,0.885661
0002,0.888351
0003,0.880854
0004,0.873841
0005,0.889807
0006,0.882200
0007,0.886321
0008,0.881577
0009,0.875525
0010,0.885517
0011,0.891989
0012,0.899501
0013,0.910659
0014,0.916591
0015,0.915770
0016,0.928392
0017,0.916598
0018,0.928004
0019,0.923099
0020,0.902890
0021,0.894915
0022,0.907359
0023,0.900198
0024,0.920079
0025,0.921568
0026,0.914930
0027,0.912676
0028,0.904558
0029,0.910448
0030,0.898191
0031,0.895670
0032,0.876319
0033,0.860594
0034,0.871101
0035,0.887694
0036,0.870580
0037,0.889270
0038,0.885775
0039,0.900842
0040,0.892943
0041,0.900169
0042,0.901837
0043,0.879846
0044,0.872211
0045,0.874853
0046,0.872526
0047,0.878155
0048,0.894267
0049,0.900827
0050,0.896198
0051,0.907793
0052,0.892418
0053,0.893636
0054,0.891341
0055,0.898199
0056,0.888423
0057,0.891389
0058,0.885421
0059,0.877229
0060,0.880713
0061,0.890727
0062,0.893031
0063,0.886368
0064,0.884626
0065,0.883802
0066,0.885989
0067,0.875391
0068,0.886518
0069,0.882414
0070,0.866176
0071,0.869250
0072,0.862663
0073,0.856899
0074,0.873198
0075,0.881358
0076,0.877969
0077,0.896456
0078,0.894862
0079,0.901530
0080,0.911084
0081,0.906883
0082,0.903106
0083,0.902051
0084,0.892106
0085,0.891542
0086,0.887651
0087,0.900006
0088,0.897134
0089,0.894586
0090,0.893076
0091,0.892592
0092,0.896327
0093,0.891980
0094,0.891289
0095,0.882208
0096,0.894270
0097,0.885756
0098,0.888645
0099,0.881117
0100,0.887737
0101,0.893640
0102,0.899555
0103,0.895602
0104,0.891548
0105,0.920178
0106,0.927436
0107,0.920637
0108,0.923469
0109,0.909456
0110,0.913062
0111,0.913369
0112,0.927562
0113,0.934784
0114,0.941009
0115,0.926674
0116,0.934502
0117,0.935276
0118,0.911815
0119,0.920032
0120,0.919197
0121,0.895249
0122,0.895193
0123,0.903353
0124,0.899266
0125,0.901335
0126,0.897576
0127,0.892865
0128,0.893789
0129,0.891412
0130,0.894784
0131,0.899008
0132,0.877559
0133,0.902727
0134,0.899271
0135,0.893327
0136,0.885506
0137,0.878940
0138,0.895657
0139,0.896435
0140,0.879908
0141,0.879788
0142,0.890828
0143,0.886821
0144,0.881330
0145,0.879288
0146,0.882265
0147,0.879369
0148,0.881562
0149,0.897152
0150,0.876853
0151,0.881303
0152,0.877330
0153,0.902591
0154,0.897157
0155,0.884502
0156,0.884697
0157,0.884788
0158,0.875206
0159,0.889897
0160,0.889505
0161,0.902116
0162,0.888749
0163,0.890962
0164,0.872530
0165,0.901879
0166,0.882223
0167,0.892380
0168,0.906398
0169,0.915116
0170,0.902656
0171,0.899182
0172,0.878520
0173,0.883154
0174,0.881003
0175,0.892763
0176,0.885966
0177,0.882590
0178,0.894945
0179,0.874116
0180,0.885326
0181,0.891212
0182,0.879959
0183,0.869243
0184,0.898086
0185,0.867472
0186,0.882190
0187,0.893350
0188,0.894095
0189,0.868367
0190,0.894081
0191,0.873581
0192,0.866426
0193,0.855162
0194,0.874934
0195,0.849833
0196,0.861406
0197,0.889835
0198,0.877319
0199,0.888541
0200,0.890781
0201,0.888191
0202,0.895313
0203,0.895399
0204,0.895855
0205,0.899368
0206,0.851248
0207,0.894589
0208,0.899011
0209,0.846018
