sample,raw_frames,fft_frames,has_gt,current_colmap_status,current_registered,current_registration_rate,current_points3d,rerun_colmap_status,rerun_registered,rerun_registration_rate,rerun_points3d,selected_colmap_path,notes
BaiZhang,250,214,no,fail,2,0.9,116,success,209,97.7,72760,/data/fj/F2DMAS/04-COLMAP-rerun-original/BaiZhang/sequential,rerun_candidate_preferred
CaoMei1,250,210,yes,ok,210,100.0,24226,,,,,/data/fj/F2DMAS/04-COLMAP/CaoMei1,
CaoMei2,250,210,no,warn,106,50.5,26199,success,210,100.0,110756,/data/fj/F2DMAS/04-COLMAP-rerun-original/CaoMei2/sequential,rerun_candidate_preferred
ChangShouHua1,250,213,no,fail,2,0.9,16,success,212,99.5,83883,/data/fj/F2DMAS/04-COLMAP-rerun-original/ChangShouHua1/exhaustive,rerun_candidate_preferred
ChangShouHua2,250,212,yes,ok,212,100.0,20796,,,,,/data/fj/F2DMAS/04-COLMAP/ChangShouHua2,
ChangShouHua3,250,210,no,missing_or_fail,0,0.0,0,success,205,97.6,69008,/data/fj/F2DMAS/04-COLMAP-rerun-original/ChangShouHua3/exhaustive,rerun_candidate_preferred
DouBanLv1,250,215,yes,ok,215,100.0,10764,,,,,/data/fj/F2DMAS/04-COLMAP/DouBanLv1,
DouBanLv2,250,210,no,ok,210,100.0,21653,,,,,/data/fj/F2DMAS/04-COLMAP/DouBanLv2,
DouBanLv3,250,210,no,ok,200,95.2,47352,,,,,/data/fj/F2DMAS/04-COLMAP/DouBanLv3,
HongZhang,250,213,no,ok,213,100.0,24912,,,,,/data/fj/F2DMAS/04-COLMAP/HongZhang,
KongQueZhuYu,250,210,yes,fail,3,1.4,162,success,210,100.0,177918,/data/fj/F2DMAS/04-COLMAP-rerun-original/KongQueZhuYu/sequential,rerun_candidate_preferred
WanNianQing1,252,213,no,ok,213,100.0,23259,,,,,/data/fj/F2DMAS/04-COLMAP/WanNianQing1,
WanNianQing2,250,215,no,ok,215,100.0,17715,,,,,/data/fj/F2DMAS/04-COLMAP/WanNianQing2,
WangWenCao1,250,211,no,ok,149,70.6,35160,,,,,/data/fj/F2DMAS/04-COLMAP/WangWenCao1,
WangWenCao2,250,210,no,ok,210,100.0,33317,,,,,/data/fj/F2DMAS/04-COLMAP/WangWenCao2,
XianKeLai1,250,208,yes,ok,208,100.0,47148,,,,,/data/fj/F2DMAS/04-COLMAP/XianKeLai1,
XianKeLai2,250,208,no,ok,208,100.0,26405,,,,,/data/fj/F2DMAS/04-COLMAP/XianKeLai2,
XianKeLai3,250,206,no,ok,206,100.0,40140,,,,,/data/fj/F2DMAS/04-COLMAP/XianKeLai3,
XiangPiShu1,250,208,no,ok,203,97.6,36875,,,,,/data/fj/F2DMAS/04-COLMAP/XiangPiShu1,
XiangPiShu2,250,211,no,fail,2,0.9,224,success,211,100.0,120720,/data/fj/F2DMAS/04-COLMAP-rerun-original/XiangPiShu2/sequential_lowmem,rerun_candidate_preferred
