image_stem,source_mask,output_mask,orig_area,clean_area,delta_pixels,components_after
0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0000.png,1889797,1855070,-34727,1
0001,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0001.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0001.png,1904245,1868916,-35329,1
0002,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0002.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0002.png,1896815,1861321,-35494,1
0003,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0003.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0003.png,1899263,1863146,-36117,1
0004,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0004.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0004.png,1868809,1830097,-38712,1
0005,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0005.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0005.png,1841440,1803922,-37518,1
0006,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0006.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0006.png,1820387,1782893,-37494,1
0007,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0007.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0007.png,1775177,1738694,-36483,1
0008,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0008.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0008.png,1879217,1841480,-37737,1
0009,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0009.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0009.png,1985310,1945427,-39883,1
0010,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0010.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0010.png,2113330,2072391,-40939,1
0011,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0011.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0011.png,2310158,2266417,-43741,1
0012,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0012.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0012.png,2486237,2441078,-45159,1
0013,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0013.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0013.png,2630830,2586374,-44456,1
0014,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0014.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0014.png,2661958,2619596,-42362,1
0015,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0015.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0015.png,2628351,2589002,-39349,1
0016,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0016.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0016.png,2554454,2518112,-36342,1
0017,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0017.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0017.png,2566161,2530732,-35429,1
0018,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0018.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0018.png,2696566,2661875,-34691,1
0019,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0019.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0019.png,2936747,2901855,-34892,1
0020,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0020.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0020.png,3160352,3123681,-36671,1
0021,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0021.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0021.png,3395909,3357591,-38318,1
