图像,共识启用,共识接受,回退IoU,删除像素比例,补回像素比例,粘连切割像素比例
0000.png,1,1,0.7963,0.02599,3e-05,0.0
0001.png,1,1,0.7838,0.02713,2e-05,0.0
0002.png,1,0,0.6342,0.03682,0.01437,0.0
0003.png,1,0,0.5482,0.04429,0.02201,0.0
0004.png,1,0,0.5604,0.04127,0.0226,0.0
0005.png,1,0,0.6066,0.03474,0.02027,0.0
0006.png,1,0,0.6826,0.02604,0.01546,0.0
0007.png,1,0,0.6973,0.02407,0.01498,0.0
0008.png,1,0,0.6528,0.03077,0.01695,0.0
0009.png,1,0,0.5035,0.05344,0.02423,0.0
0010.png,1,0,0.4666,0.06259,0.02647,0.0
0011.png,1,0,0.465,0.0614,0.02791,0.0
0012.png,1,0,0.5907,0.05025,0.01258,0.0
0013.png,1,0,0.666,0.04367,0.00374,0.0
0014.png,1,1,0.8947,0.01263,0.0,0.0
0015.png,1,1,0.9762,0.00255,0.0,0.0
0016.png,1,1,0.9998,0.0,2e-05,0.0
0017.png,1,1,0.9912,0.0,0.00079,0.0
0018.png,1,0,0.5141,0.00398,0.03219,0.0
0019.png,1,0,0.503,0.00307,0.03223,0.0
0020.png,1,1,0.9957,0.00046,0.0,0.0
0021.png,1,1,0.9719,0.00281,0.0003,0.0
0022.png,1,1,0.8632,0.01171,0.00487,0.0
0023.png,1,1,0.8657,0.01312,0.0042,0.0
0024.png,1,1,0.9162,0.00986,0.00116,0.0
0025.png,1,1,0.9742,0.00335,2e-05,0.0
0026.png,1,1,0.9904,0.00117,0.0,0.0
0027.png,1,1,0.9994,6e-05,0.0,0.0
0028.png,1,1,0.9993,7e-05,1e-05,0.0
0029.png,1,1,0.999,0.0001,0.0,0.0
0030.png,1,1,0.9977,0.00026,0.0,0.0
0031.png,1,1,0.9967,0.00021,0.00016,0.0
0032.png,1,0,0.7409,0.0,0.01729,0.0
0033.png,1,1,0.7864,2e-05,0.01616,0.0
0034.png,1,1,0.9537,0.00556,0.00066,0.0
0035.png,1,1,0.9843,0.00116,0.00071,0.0
0036.png,1,1,0.9826,0.00117,0.00096,0.0
0037.png,1,1,0.9542,0.00399,0.0018,0.0
0038.png,1,1,0.7535,0.04707,4e-05,0.0
0039.png,1,1,0.8863,0.00281,0.00842,0.0
0040.png,1,1,0.7797,2e-05,0.01054,0.0
0041.png,1,0,0.7016,0.00114,0.01439,0.0
0042.png,1,1,0.9603,0.00032,0.003,0.0
0043.png,1,1,0.9817,2e-05,0.00153,0.0
0044.png,1,1,0.8334,0.00183,0.01409,0.0
0045.png,1,1,0.8874,8e-05,0.01061,0.0
0046.png,1,1,0.9147,1e-05,0.008,0.0
0047.png,1,1,0.9329,0.0,0.00533,0.0
0048.png,1,1,0.8822,0.00019,0.00898,0.0
