图像,选择提示词,选择分数,A1s基础分数,前景面积比例,恢复细结构像素,共识启用,共识接受,共识回退IoU,共识删除像素比例,共识补回像素比例,记忆后端,记忆种子帧,记忆候选采用,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
0000.jpg,A1s,1.0322049783827005,1.0548439388625837,0.12926673418209877,0,1,1,0.7963,0.02599,3e-05,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9879387048937222
0001.jpg,A1s,1.0191423559585981,1.0104894847508443,0.12698386863425926,0,1,1,0.7838,0.02713,2e-05,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.988852652016843
0002.jpg,A1s,1.021986656864215,0.9793863626191037,0.126689453125,0,1,0,0.6342,0.03682,0.01437,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9911982436456344
0003.jpg,A1s,0.9793117812314944,1.018033372652463,0.12569456500771606,0,1,0,0.5482,0.04429,0.02201,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9922298454121942
0004.jpg,A1s,0.9757847164834669,1.0447635972612865,0.12385392554012346,0,1,0,0.5604,0.04127,0.0226,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9905568177614762
0005.jpg,A1s,0.9972482410086809,1.0245970702427014,0.12049406828703704,0,1,0,0.6066,0.03474,0.02027,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9922366758284364
0006.jpg,A1s,1.029565880313793,1.0153818426660024,0.11617645640432099,0,1,0,0.6826,0.02604,0.01546,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9924814370884637
0007.jpg,A1s,1.0299312050013885,1.0329548251814409,0.11503604841820987,0,1,0,0.6973,0.02407,0.01498,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9913001647529335
0008.jpg,A1s,1.0394018272653116,1.0607173195907067,0.12107373649691358,0,1,0,0.6528,0.03077,0.01695,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9949235192685248
0009.jpg,A6共识,0.9588890723822672,1.0246367907795166,0.04302035108024691,0,1,0,0.5035,0.05344,0.02423,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.39473856965659737
0010.jpg,A6共识,0.9499636266855623,1.0974374313506627,0.0716993393132716,0,1,0,0.4666,0.06259,0.02647,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.37396362185699394
0011.jpg,A6共识,0.9432240093733536,1.0994362666036106,0.1015258487654321,0,1,0,0.465,0.0614,0.02791,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.45951219843858626
0012.jpg,A6共识,0.7639733718109735,0.7337395710305377,0.08504581404320988,0,1,0,0.5907,0.05025,0.01258,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.5634716763538148
0013.jpg,A6共识,0.8100614418419811,0.7894953539092118,0.10446686921296296,0,1,0,0.666,0.04367,0.00374,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.7630312872507834
0014.jpg,A1s,0.8587897840987041,0.7798011026805589,0.12123143325617285,0,1,1,0.8947,0.01263,0.0,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9890826459020143
0015.jpg,A1s,0.8564140956982811,0.8030291603188966,0.10838445216049383,0,1,1,0.9762,0.00255,0.0,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9892556605505097
0016.jpg,A1s,1.1496911175023075,1.1065987149771161,0.0961594569830247,0,1,1,0.9998,0.0,2e-05,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9895033131265006
0017.jpg,A1s,1.1458147079641825,1.1236696748090917,0.09031647858796296,0,1,1,0.9912,0.0,0.00079,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9896251740373051
0018.jpg,A6共识,0.8519066293584145,0.6554137447434067,0.04306194540895062,0,1,0,0.5141,0.00398,0.03219,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.5165910211023744
0019.jpg,A6共识,0.8418159144538336,0.7793246382725042,0.04397907021604938,0,1,0,0.503,0.00307,0.03223,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.494585988286545
0020.jpg,A1s,1.1806730950626332,1.1112801840628923,0.1069825424382716,0,1,1,0.9957,0.00046,0.0,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9916256834911805
0021.jpg,A1s,0.9252077196192833,0.8613002957328569,0.11129557291666667,0,1,1,0.9719,0.00281,0.0003,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9922589451106562
0022.jpg,A1s,0.9402694464778181,0.8796166491380175,0.11710346739969135,0,1,1,0.8632,0.01171,0.00487,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9930837099646876
0023.jpg,A1s,0.9438008460467263,0.9275782093098072,0.12564127604166667,0,1,1,0.8657,0.01312,0.0042,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9932676280959459
0024.jpg,A1s,0.8542250901119617,0.8248960729863914,0.1312843605324074,0,1,1,0.9162,0.00986,0.00116,sam3_video,0072,0,0,sam3_if_supported,1,ok,1,10,0.9920542094787634
