图像,共识启用,共识接受,回退IoU,删除像素比例,补回像素比例,粘连切割像素比例
0000.png,1,1,0.7964,0.02586,0.00013,0.0
0001.png,1,1,0.7734,0.02709,0.00173,0.0
0002.png,1,0,0.5949,0.03685,0.02338,0.0
0003.png,1,0,0.5126,0.04438,0.03187,0.0
0004.png,1,0,0.5239,0.04134,0.03241,0.0
0005.png,1,0,0.5687,0.03486,0.02928,0.0
0006.png,1,0,0.6415,0.0262,0.02354,0.0
0007.png,1,0,0.6565,0.02422,0.02271,0.0
0008.png,1,0,0.615,0.03092,0.02509,0.0
0009.png,1,0,0.4724,0.05356,0.03414,0.0
0010.png,1,0,0.4395,0.06263,0.03637,0.0
0011.png,1,0,0.4385,0.06153,0.03763,0.0
0012.png,1,0,0.5602,0.0502,0.02081,0.0
0013.png,1,0,0.6345,0.04289,0.01141,0.0
0014.png,1,1,0.8921,0.0125,0.00044,0.0
0015.png,1,1,0.9762,0.00255,0.0,0.0
0016.png,1,1,0.9996,0.0,3e-05,0.0
0017.png,1,1,0.9899,0.0,0.00091,0.0
0018.png,1,1,0.9454,0.00398,0.00153,0.0
0019.png,1,1,0.9546,0.00305,0.00166,0.0
0020.png,1,1,0.9951,0.00052,0.0,0.0
0021.png,1,1,0.9588,0.00303,0.00158,0.0
0022.png,1,1,0.8277,0.01189,0.00979,0.0
0023.png,1,1,0.8357,0.01331,0.00856,0.0
0024.png,1,1,0.8957,0.01006,0.00391,0.0
0025.png,1,1,0.9716,0.00359,0.0001,0.0
0026.png,1,1,0.9888,0.00135,0.0,0.0
0027.png,1,1,0.9992,9e-05,0.0,0.0
0028.png,1,1,0.9966,6e-05,0.00028,0.0
0029.png,1,1,0.9966,9e-05,0.00026,0.0
0030.png,1,1,0.9964,0.00028,0.00012,0.0
0031.png,1,1,0.9968,0.0002,0.00016,0.0
0032.png,1,1,0.834,0.02464,0.00143,0.0
0033.png,1,1,0.9183,0.01153,0.00099,0.0
0034.png,1,1,0.9639,0.00412,0.00073,0.0
0035.png,1,1,0.992,0.00015,0.0008,0.0
0036.png,1,1,0.9904,0.00012,0.00105,0.0
0037.png,1,1,0.9632,0.00224,0.00243,0.0
0038.png,1,1,0.8982,0.00466,0.00788,0.0
0039.png,1,1,0.8897,0.00152,0.00948,0.0
0040.png,1,1,0.9143,4e-05,0.00774,0.0
0041.png,1,1,0.8663,0.00132,0.01097,0.0
0042.png,1,1,0.9364,0.00034,0.00512,0.0
0043.png,1,1,0.964,3e-05,0.00306,0.0
0044.png,1,1,0.8336,0.00087,0.01519,0.0
0045.png,1,1,0.8732,3e-05,0.0122,0.0
0046.png,1,1,0.8951,0.0,0.01004,0.0
0047.png,1,1,0.9023,0.0,0.00802,0.0
0048.png,1,1,0.8323,0.00021,0.0136,0.0
0049.png,1,1,0.782,0.0018,0.01723,0.0
0050.png,1,1,0.9005,0.00035,0.00839,0.0
0051.png,1,1,0.9189,0.0004,0.00705,0.0
0052.png,1,1,0.8961,0.00169,0.0084,0.0
0053.png,1,1,0.9136,0.00116,0.00717,0.0
0054.png,1,1,0.8912,0.00196,0.0087,0.0
0055.png,1,1,0.8292,0.00458,0.01311,0.0
0056.png,1,0,0.746,0.00839,0.01977,0.0
0057.png,1,0,0.744,0.00872,0.0195,0.0
0058.png,1,1,0.7938,0.00674,0.01536,0.0
0059.png,1,1,0.8233,0.00478,0.01328,0.0
0060.png,1,1,0.8445,0.00279,0.01205,0.0
0061.png,1,1,0.8838,0.00112,0.00914,0.0
0062.png,1,1,0.9321,0.00026,0.00529,0.0
0063.png,1,1,0.9789,5e-05,0.00159,0.0
0064.png,1,1,0.9586,0.00042,0.00295,0.0
0065.png,1,1,0.9108,0.00158,0.00646,0.0
0066.png,1,1,0.8458,0.00396,0.01137,0.0
0067.png,1,1,0.8163,0.00544,0.014,0.0
0068.png,1,0,0.7433,0.01002,0.01995,0.0
0069.png,1,0,0.6537,0.01691,0.02668,0.0
0070.png,1,0,0.6189,0.02151,0.02905,0.0
0071.png,1,0,0.662,0.01884,0.02568,0.0
0072.png,1,0,0.6599,0.01925,0.02564,0.0
0073.png,1,0,0.6058,0.02237,0.03011,0.0
0074.png,1,0,0.571,0.02192,0.03386,0.0
0075.png,1,0,0.5873,0.01896,0.03272,0.0
0076.png,1,0,0.6043,0.01802,0.03067,0.0
0077.png,1,0,0.5422,0.02155,0.03726,0.0
0078.png,1,0,0.453,0.02808,0.04426,0.0
0079.png,1,0,0.4352,0.0281,0.04455,0.0
0080.png,1,0,0.5023,0.02,0.04055,0.0
