图像,提示词编号,提示词文本,总分,面积得分,连通域得分,边界得分,时序得分,前背景对比得分,下方泄漏得分,侧边泄漏得分,语义门控启用,语义门控总修正,目标框得分,垂直覆盖得分,花盆重叠惩罚,侧边干扰惩罚,中心先验得分,面积比例,连通域数量,边界密度,时序IoU,前背景对比,下方区域占比,侧边区域占比,SAM3原始分数
0000.jpg,P6,whole potted plant including the pot,1.054711734719906,0.2974869730621972,1.0,0.7486614725560852,1.0,0.20852509140968323,1.0,1.0,1,0.4037770273143129,0.6318844212332525,0.48881499395405076,0.0,0.0,0.946307809709454,0.1275073543595679,1,6.714343843173684,1.0,0.05213127285242081,0.0,0.0,0.968750
0001.jpg,P6,whole potted plant including the pot,1.0102687248644486,0.2922087435536802,1.0,0.7500189241613924,0.768783461347138,0.2593522071838379,1.0,1.0,1,0.3961960576152391,0.6286569958070076,0.479916067146283,0.0,0.0,0.8978121699645554,0.1254224537037037,1,6.665993824572233,0.768783461347138,0.06483805179595947,0.0,0.0,0.968750
0002.jpg,P6,whole potted plant including the pot,0.9789124822248998,0.2918641462533207,1.0,0.7528802327595774,0.4983585980496283,0.4584846794605255,1.0,1.0,1,0.37859495092028955,0.6218530219268015,0.47038019451812557,0.0,0.0,0.7627795823264645,0.12528633777006173,1,6.564650165794354,0.4983585980496283,0.11462116986513138,0.0,0.0,0.976562
0003.jpg,P6,whole potted plant including the pot,1.017787108535096,0.29003646810048433,1.0,0.7523700942935302,0.7533222275147361,0.5192222595214844,1.0,1.0,1,0.354796898649049,0.5980478067837941,0.414621409921671,0.0,0.0,0.7084831248882029,0.12456440489969135,1,6.582662112294416,0.7533222275147361,0.1298055648803711,0.0,0.0,0.972656
0004.jpg,P6,whole potted plant including the pot,1.0464650333754597,0.2847673952961399,1.0,0.7520295290298704,0.9197037689360227,0.5189247727394104,1.0,1.0,1,0.35137994017517094,0.5917261848009177,0.41201044386422975,0.0,0.0,0.7011389559928841,0.1224831211419753,1,6.59470037805604,0.9197037689360227,0.1297311931848526,0.0,0.0,0.972656
0005.jpg,P6,whole potted plant including the pot,1.0242793911112371,0.2770092250742303,1.0,0.7528065830724449,0.8429594929732709,0.4958431124687195,1.0,1.0,1,0.35055570839350414,0.5892230552059018,0.40678851174934727,0.0,0.0,0.7110570695655606,0.11941864390432098,1,6.567249077941898,0.8429594929732709,0.12396077811717987,0.0,0.0,0.964844
0006.jpg,P6,whole potted plant including the pot,1.0151724025775293,0.26635143186435384,1.0,0.7541062927954664,0.8243719064046797,0.47558853030204773,1.0,1.0,1,0.3510887703042196,0.5830344051417329,0.402088772845953,0.0,0.0,0.7465074939234153,0.11520881558641975,1,6.521460158965323,0.8243719064046797,0.11889713257551193,0.0,0.0,0.972656
0007.jpg,P6,whole potted plant including the pot,1.032782745528194,0.26309652875449285,1.0,0.7560808692764791,0.9140134508825253,0.47659069299697876,1.0,1.0,1,0.35082643714609874,0.5823180681000281,0.40156657963446474,0.0,0.0,0.7473312897688527,0.11392312885802469,1,6.452196865050582,0.9140134508825253,0.11914767324924469,0.0,0.0,0.968750
0008.jpg,P6,whole potted plant including the pot,1.0606044848213532,0.2794855031059541,1.0,0.7620989157724662,0.8714779967780669,0.5096942186355591,1.0,1.0,1,0.37605315796294386,0.6201156292406831,0.47828709288299154,0.0,0.0,0.7292101100976633,0.12039677372685186,1,6.243312496682833,0.8714779967780669,0.12742355465888977,0.0,0.0,0.968750
0009.jpg,P6,whole potted plant including the pot,1.0245868666806368,0.309119344819503,1.0,0.7614961124686928,0.7027671744088199,0.5851383209228516,1.0,0.4235438732122149,1,0.3528826761566634,0.5864996074113289,0.4402088772845953,0.0,0.0,0.6837021565147114,0.1321021412037037,1,6.264086805593847,0.7027671744088199,0.1462845802307129,0.0,0.00944412197410259,0.968750
