图像,选择提示词,选择分数,A1s基础分数,前景面积比例,恢复细结构像素,共识启用,共识接受,共识回退IoU,共识删除像素比例,共识补回像素比例,记忆后端,记忆种子帧,记忆候选采用,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
0000.jpg,A1s,1.0276163477246705,1.054711734719906,0.1289942611882716,0,1,1,0.7964,0.02586,0.00013,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.988473077677979
0001.jpg,A1s,1.0147319375458819,1.0102687248644486,0.12687150366512345,0,1,1,0.7734,0.02709,0.00173,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9885786018171226
0002.jpg,A1s,1.0151413568363519,0.9789124822248998,0.1265552662037037,0,1,0,0.5949,0.03685,0.02338,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9899733257121083
0003.jpg,A1s,0.966243054597277,1.017787108535096,0.1257425491898148,0,1,0,0.5126,0.04438,0.03187,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9906305041713049
0004.jpg,A1s,0.9657316061205546,1.0464650333754597,0.12367368344907408,0,1,0,0.5239,0.04134,0.03241,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9903714174302983
0005.jpg,A1s,0.9874678148972651,1.0242793911112371,0.12017252604166667,0,1,0,0.5687,0.03486,0.02928,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9936506630738254
0006.jpg,A1s,1.025821468640009,1.0151724025775293,0.1159958526234568,0,1,0,0.6415,0.0262,0.02354,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9932004535802594
0007.jpg,A1s,1.0254590356717992,1.032782745528194,0.11471607349537037,0,1,0,0.6565,0.02422,0.02271,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9930668168838825
0008.jpg,A1s,1.0339195357738151,1.0606044848213532,0.12083514178240741,0,1,0,0.615,0.03092,0.02509,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9954901675280095
0009.jpg,A6共识,0.9616622329672075,1.0245868666806368,0.0494384162808642,0,1,0,0.4724,0.05356,0.03414,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.3406438156350668
0010.jpg,A6共识,0.9507013935213818,1.0973551314196897,0.05994345582561728,0,1,0,0.4395,0.06263,0.03637,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.30579234161629526
0011.jpg,A6共识,0.9429789868515451,1.099587300624815,0.0669554157021605,0,1,0,0.4385,0.06153,0.03763,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.2929104014290693
0012.jpg,A6共识,0.7677244593079009,0.7338018830732063,0.0841725742669753,0,1,0,0.5602,0.0502,0.02081,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.5207852659885398
0013.jpg,A6共识,0.8118676823105931,0.7887673119630636,0.08619586709104939,0,1,0,0.6345,0.04289,0.01141,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.6836018038851446
0014.jpg,A1s,0.8576089176148743,0.7803621523484454,0.12094847125771604,0,1,1,0.8921,0.0125,0.00044,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9883622524299717
0015.jpg,A7记忆,0.8568446185266212,0.80309621384103,0.10818009741512345,0,1,1,0.9762,0.00255,0.0,sam3_video,0029,1,0,sam3_if_supported,1,ok,1,10,0.9763763142198364
0016.jpg,A1s,1.1497021799218932,1.1065786623700267,0.09599042727623457,0,1,1,0.9996,0.0,3e-05,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9893579742345667
0017.jpg,A1s,1.1459356857863998,1.1238292718643406,0.09012586805555556,0,1,1,0.9899,0.0,0.00091,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9901062150520373
0018.jpg,A7记忆,1.176838670983929,1.09534889734763,0.10054566936728396,0,1,1,0.9454,0.00398,0.00153,sam3_video,0029,1,0,sam3_if_supported,1,ok,1,10,0.9632820483366479
0019.jpg,A7记忆,0.887218619272218,0.868304273145875,0.10321819540895062,0,1,1,0.9546,0.00305,0.00166,sam3_video,0029,1,0,sam3_if_supported,1,ok,1,10,0.966397313464162
0020.jpg,A1s,1.1806771772436941,1.1112058320688247,0.1068602912808642,0,1,1,0.9951,0.00052,0.0,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9912516838872579
0021.jpg,A1s,0.9250409895389173,0.8610904624834009,0.11124324845679012,0,1,1,0.9588,0.00303,0.00158,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9912864041894622
0022.jpg,A1s,0.9395426735110107,0.8791667452954145,0.11697699652777778,0,1,1,0.8277,0.01189,0.00979,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9922309163767088
0023.jpg,A1s,0.9430548722550186,0.9272784640457858,0.12552131558641974,0,1,1,0.8357,0.01331,0.00856,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9924379804903163
0024.jpg,A1s,0.8541573483585373,0.8246069693265269,0.13123131269290123,0,1,1,0.8957,0.01006,0.00391,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9913430134544803
0025.jpg,A1s,0.850221532026185,0.80308446604502,0.13129159432870371,0,1,1,0.9716,0.00359,0.0001,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9906252152233502
0026.jpg,A1s,0.8355734028390961,0.809118634761767,0.12214313271604939,0,1,1,0.9888,0.00135,0.0,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9888974873260791
0027.jpg,A7记忆,0.8766835263110019,0.8485616222107224,0.10797417534722223,0,1,1,0.9992,9e-05,0.0,sam3_video,0029,1,0,sam3_if_supported,1,ok,1,10,0.9869856504162986
0028.jpg,A7记忆,1.0976533001484092,1.0818589498011952,0.10313765914351852,0,1,1,0.9966,6e-05,0.00028,sam3_video,0029,1,0,sam3_if_supported,1,ok,1,10,0.9848812120263405
0029.jpg,A7记忆,1.146089202118906,1.1397101101144498,0.10529706790123457,0,1,1,0.9966,9e-05,0.00026,sam3_video,0029,1,0,sam3_if_supported,1,ok,1,10,0.9851909524436532
0030.jpg,A1s,0.8903683618428084,0.8773302857167601,0.11079246238425926,0,1,1,0.9964,0.00028,0.00012,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9895980238530513
0031.jpg,A7记忆,0.8276227036753356,0.8117338766782723,0.11324254918981481,0,1,1,0.9968,0.0002,0.00016,sam3_video,0029,1,0,sam3_if_supported,1,ok,1,10,0.9930563973654717
0032.jpg,A7记忆,0.8202510725072686,0.6429486167146474,0.1152907986111111,0,1,1,0.834,0.02464,0.00143,sam3_video,0029,1,0,sam3_if_supported,1,ok,1,10,0.9865551258647948
0033.jpg,A6共识,0.7431268302171282,0.6865558005302927,0.12713457272376544,0,1,1,0.9183,0.01153,0.00099,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.8651463584654767
0034.jpg,A6共识,0.7618834238660385,0.7149016869201613,0.12617561246141976,0,1,1,0.9639,0.00412,0.00073,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9507091973936571
0035.jpg,A1s,0.7920471465196254,0.7630121064043734,0.11972993827160494,0,1,1,0.992,0.00015,0.0008,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9888781592019261
0036.jpg,A1s,0.7907315218727337,0.7770213658340421,0.12213336709104938,0,1,1,0.9904,0.00012,0.00105,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9902253731623217
0037.jpg,A1s,0.8048338282217484,0.7579369212555717,0.1259297839506173,0,1,1,0.9632,0.00224,0.00243,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9887928525474097
0038.jpg,A1s,0.7779832991263839,0.7177022345760357,0.11685848283179012,0,1,1,0.8982,0.00466,0.00788,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9866984152203226
0039.jpg,A1s,0.7491201319388157,0.6844447301363334,0.09124903549382717,0,1,1,0.8897,0.00152,0.00948,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9893480397856396
0040.jpg,A1s,0.7285695324143643,0.673496727886544,0.08415111400462963,0,1,1,0.9143,4e-05,0.00774,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9869352306070053
0041.jpg,A1s,0.6945851782005974,0.5988739107288636,0.08200761959876543,0,1,1,0.8663,0.00132,0.01097,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9871112195753039
0042.jpg,A7记忆,0.7153719234434831,0.657693641104836,0.08160566165123456,0,1,1,0.9364,0.00034,0.00512,sam3_video,0029,1,0,sam3_if_supported,1,ok,1,10,0.9905674440297131
0043.jpg,A6共识,0.7114959711183081,0.6663864380212131,0.08346113040123457,0,1,1,0.964,3e-05,0.00306,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.9593126825372893
0044.jpg,A6共识,0.739603653549509,0.6131063229332122,0.08238642939814815,0,1,1,0.8336,0.00087,0.01519,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.8323738230538116
0045.jpg,A6共识,0.7082442463733503,0.6067743249501237,0.08535566165123457,0,1,1,0.8732,3e-05,0.0122,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.8720168930997497
0046.jpg,A6共识,0.6996238813544882,0.6577902822618596,0.08705150462962963,0,1,1,0.8951,0.0,0.01004,sam3_video,0029,0,0,sam3_if_supported,1,ok,1,10,0.8922426811035316
