图像,共识启用,共识接受,回退IoU,删除像素比例,补回像素比例,粘连切割像素比例
0000.png,1,0,0.584,0.13335,0.01281,0.03095
0001.png,1,0,0.562,0.14162,0.01614,0.03215
0002.png,1,0,0.5875,0.13013,0.01288,0.02732
0003.png,1,0,0.5732,0.13257,0.02239,0.0245
0004.png,1,0,0.6151,0.11011,0.01565,0.02796
0005.png,1,0,0.4619,0.12134,0.04826,0.03728
0006.png,1,0,0.4016,0.12714,0.06385,0.03688
0007.png,1,0,0.4299,0.12261,0.0561,0.03639
0008.png,1,0,0.478,0.10358,0.04979,0.03221
0009.png,1,0,0.4944,0.09489,0.04684,0.03169
0010.png,1,0,0.5507,0.07317,0.04513,0.03032
0011.png,1,0,0.539,0.07006,0.04985,0.03002
0012.png,1,0,0.5392,0.07025,0.04873,0.02891
0013.png,1,0,0.5712,0.06277,0.04664,0.01744
0014.png,1,0,0.6062,0.05555,0.04215,0.01591
0015.png,1,0,0.6263,0.056,0.03753,0.01466
0016.png,1,0,0.5998,0.06898,0.03519,0.02009
0017.png,1,0,0.6859,0.0595,0.02007,0.01771
0018.png,1,0,0.716,0.04982,0.02184,0.02193
0019.png,1,0,0.5755,0.08894,0.02745,0.02891
0020.png,1,0,0.5481,0.10029,0.02761,0.03275
0021.png,1,0,0.6549,0.07235,0.02318,0.03061
0022.png,1,1,0.7944,0.01814,0.0296,0.0049
0023.png,1,1,0.8494,0.00441,0.0285,0.0
0024.png,1,1,0.7685,0.0131,0.03681,0.00677
0025.png,1,0,0.7452,0.04915,0.01391,0.0252
0026.png,1,1,0.7507,0.05204,0.01147,0.02518
0027.png,1,0,0.6767,0.07161,0.01614,0.02683
0028.png,1,0,0.6482,0.07896,0.01973,0.02685
0029.png,1,0,0.65,0.08119,0.01962,0.02721
0030.png,1,0,0.6595,0.08368,0.01524,0.02894
0031.png,1,0,0.6239,0.0821,0.02455,0.02872
0032.png,1,0,0.6299,0.06905,0.02982,0.0271
0033.png,1,0,0.6416,0.06086,0.03098,0.02552
0034.png,1,0,0.6201,0.06843,0.02894,0.02821
0035.png,1,0,0.6896,0.05546,0.02093,0.02697
0036.png,1,0,0.7255,0.06203,0.01083,0.02858
0037.png,1,0,0.6139,0.08186,0.02496,0.02908
0038.png,1,0,0.6069,0.08512,0.02552,0.02874
0039.png,1,0,0.6711,0.06954,0.01754,0.02648
0040.png,1,0,0.7165,0.04321,0.0231,0.02051
0041.png,1,0,0.6453,0.0401,0.04351,0.01899
0042.png,1,0,0.609,0.04426,0.04965,0.01841
0043.png,1,0,0.5879,0.04375,0.05352,0.01837
0044.png,1,0,0.6344,0.03671,0.04923,0.01768
0045.png,1,0,0.6593,0.03423,0.04472,0.01899
0046.png,1,0,0.6748,0.04335,0.03244,0.02071
0047.png,1,0,0.6637,0.04789,0.03381,0.02063
0048.png,1,0,0.6626,0.05101,0.03309,0.01982
0049.png,1,0,0.6603,0.04586,0.03689,0.01836
0050.png,1,0,0.6687,0.03925,0.0379,0.01787
0051.png,1,0,0.6658,0.03239,0.04134,0.01833
0052.png,1,0,0.6623,0.02769,0.04849,0.01891
0053.png,1,0,0.6752,0.02684,0.04804,0.01817
0054.png,1,0,0.7167,0.02888,0.03699,0.01749
0055.png,1,0,0.7094,0.03466,0.03493,0.01865
0056.png,1,0,0.6906,0.0476,0.03013,0.02093
0057.png,1,0,0.6794,0.05955,0.02612,0.02187
0058.png,1,0,0.6786,0.06318,0.02497,0.02219
0059.png,1,0,0.6873,0.06047,0.02462,0.02182
0060.png,1,0,0.7009,0.05436,0.02507,0.02141
0061.png,1,0,0.7061,0.04586,0.02927,0.02144
0062.png,1,0,0.6621,0.04565,0.03966,0.02005
0063.png,1,0,0.6402,0.0412,0.05044,0.01993
0064.png,1,0,0.6696,0.04126,0.0392,0.02111
0065.png,1,0,0.7197,0.03852,0.02845,0.01974
0066.png,1,0,0.7419,0.03586,0.02516,0.01752
0067.png,1,0,0.7334,0.04257,0.02348,0.01722
0068.png,1,0,0.7074,0.05368,0.02416,0.0164
0069.png,1,0,0.7108,0.06131,0.01915,0.02007
0070.png,1,0,0.6968,0.06751,0.01873,0.02185
0071.png,1,0,0.6976,0.06062,0.02218,0.02044
0072.png,1,0,0.7035,0.05021,0.02771,0.02009
0073.png,1,0,0.6835,0.04831,0.03246,0.02043
0074.png,1,0,0.7386,0.03709,0.02768,0.01518
0075.png,1,0,0.7015,0.04833,0.02597,0.02068
0076.png,1,0,0.6706,0.05958,0.02739,0.0246
0077.png,1,0,0.6877,0.0608,0.02309,0.02553
0078.png,1,0,0.6967,0.05937,0.02192,0.02552
0079.png,1,0,0.7044,0.05291,0.02312,0.02427
0080.png,1,0,0.7303,0.03807,0.02532,0.02
0081.png,1,1,0.7631,0.02448,0.02729,0.01359
0082.png,1,1,0.768,0.01765,0.03311,0.00824
0083.png,1,1,0.7652,0.02171,0.03094,0.01143
0084.png,1,0,0.715,0.03152,0.0346,0.01621
0085.png,1,0,0.7097,0.03273,0.03378,0.01704
0086.png,1,0,0.7291,0.0299,0.03063,0.01275
0087.png,1,0,0.678,0.04193,0.0314,0.01634
0088.png,1,0,0.7156,0.04036,0.02898,0.01416
0089.png,1,0,0.4638,0.10146,0.07629,0.0112
0090.png,1,0,0.6136,0.08226,0.0372,0.01127
0091.png,1,0,0.5671,0.09366,0.05094,0.01099
0092.png,1,0,0.6093,0.13844,0.01168,0.01983
0093.png,1,0,0.6153,0.15563,0.0,0.02884
0094.png,1,0,0.527,0.10796,0.03363,0.03918
0095.png,1,0,0.5067,0.12564,0.03357,0.0393
0096.png,1,0,0.4591,0.13263,0.0458,0.04306
0097.png,1,0,0.4019,0.13939,0.05853,0.04324
0098.png,1,0,0.4767,0.13242,0.04042,0.04434
0099.png,1,0,0.5191,0.1325,0.02441,0.04045
0100.png,1,0,0.5491,0.12697,0.02038,0.03647
