图像,选择提示词,选择分数,A1s基础分数,前景面积比例,恢复细结构像素,共识启用,共识接受,共识回退IoU,共识删除像素比例,共识补回像素比例,记忆后端,记忆种子帧,记忆候选采用,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
0000.jpg,A6共识,1.1824504029083263,1.5142469070315916,0.24972740644290123,0,1,0,0.584,0.13335,0.01281,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.7147519360073272
0001.jpg,A6共识,1.181913655201969,1.4869998509960631,0.2573828125,0,1,0,0.562,0.14162,0.01614,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.650964449087577
0002.jpg,A6共识,1.220607029803261,1.4716942431184168,0.23997685185185186,0,1,0,0.5875,0.13013,0.01288,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.4811989898104799
0003.jpg,A6共识,0.8004561237467595,0.9967904809443155,0.3162330005787037,0,1,0,0.5732,0.13257,0.02239,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.61281908936725
0004.jpg,A6共识,1.0735278530631645,1.2961727771400842,0.23230914834104938,0,1,0,0.6151,0.11011,0.01565,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.6318371657836035
0005.jpg,A6共识,1.0109423800051438,1.169143182037592,0.2615007716049383,0,1,0,0.4619,0.12134,0.04826,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.4678809407677016
0006.jpg,A6共识,0.9894338284584108,1.2115704304395964,0.16509403935185185,0,1,0,0.4016,0.12714,0.06385,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.5390691373690356
0007.jpg,A6共识,1.0275850263467121,1.2456887258672151,0.18056315104166668,0,1,0,0.4299,0.12261,0.0561,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.5537875131077414
0008.jpg,A6共识,1.0380856003903236,1.2041897730698572,0.1829540412808642,0,1,0,0.478,0.10358,0.04979,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.5913708206702558
0009.jpg,A6共识,1.0271054379933955,1.166440818688604,0.17824266975308642,0,1,0,0.4944,0.09489,0.04684,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.6013229353025179
0010.jpg,A6共识,0.9982704842870356,1.146863741703463,0.1663013599537037,0,1,0,0.5507,0.07317,0.04513,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.6773321062772768
0011.jpg,A6共识,0.9938700457759526,1.168380537239011,0.1618964602623457,0,1,0,0.539,0.07006,0.04985,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.6672220248546111
0012.jpg,A6共识,1.0389913060015525,1.2085513924860107,0.16439272280092593,0,1,0,0.5392,0.07025,0.04873,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.6540553419993389
0013.jpg,A6共识,1.044793291703358,1.1654062620461714,0.2078100887345679,0,1,0,0.5712,0.06277,0.04664,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.5757181767865059
0014.jpg,A6共识,1.0690872091897707,1.195294043629016,0.18780068479938272,0,1,0,0.6062,0.05555,0.04215,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.6534366994939649
0015.jpg,A6共识,1.0711002319693443,1.2100924397904866,0.1738254726080247,0,1,0,0.6263,0.056,0.03753,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.662086059096969
0016.jpg,A6共识,1.0038672343854165,1.131509996834283,0.20836395640432098,0,1,0,0.5998,0.06898,0.03519,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.6373547882939532
0017.jpg,A6共识,1.0155891536386736,1.135227411855741,0.18252387152777777,0,1,0,0.6859,0.0595,0.02007,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.7084872969103669
0018.jpg,A6共识,1.05282455762258,1.196207526144205,0.19245744116512345,0,1,0,0.716,0.04982,0.02184,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.8314311255423599
0019.jpg,A6共识,1.0722014073641122,1.2046987146151888,0.20300853587962964,0,1,0,0.5755,0.08894,0.02745,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.6567208408575265
0020.jpg,A6共识,1.0213520080824454,1.181887696962503,0.2504246238425926,0,1,0,0.5481,0.10029,0.02761,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.5547717874643647
0021.jpg,A6共识,0.9883707192648182,1.1731266783220533,0.20832453221450617,0,1,0,0.6549,0.07235,0.02318,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.7714845498111894
0022.jpg,A6共识,0.9995685976706941,1.1156148657189333,0.20492766203703705,0,1,1,0.7944,0.01814,0.0296,sam3_video,0000,0,0,sam3_if_supported,1,ok,1,10,0.7914361515412834
