图像,共识启用,共识接受,回退IoU,删除像素比例,补回像素比例,粘连切割像素比例
0000.png,1,0,0.5842,0.13292,0.01283,0.03213
0001.png,1,0,0.562,0.14136,0.01616,0.03334
0002.png,1,0,0.5867,0.13018,0.01299,0.0272
0003.png,1,0,0.5711,0.13251,0.02246,0.02456
0004.png,1,0,0.6154,0.10952,0.01576,0.02811
0005.png,1,0,0.4633,0.11995,0.04828,0.03833
0006.png,1,0,0.4019,0.12655,0.06383,0.03795
0007.png,1,0,0.4306,0.12179,0.05607,0.03752
0008.png,1,0,0.482,0.10083,0.04981,0.03321
0009.png,1,0,0.4958,0.09416,0.04653,0.03283
0010.png,1,0,0.5504,0.07305,0.04473,0.03143
0011.png,1,0,0.5386,0.07001,0.04941,0.03114
0012.png,1,0,0.5388,0.07013,0.04832,0.03006
0013.png,1,0,0.5736,0.06095,0.04704,0.01811
0014.png,1,0,0.6064,0.05492,0.04247,0.01583
0015.png,1,0,0.6302,0.05392,0.03781,0.01458
0016.png,1,0,0.6011,0.06801,0.03542,0.01998
0017.png,1,0,0.6881,0.05813,0.02035,0.01773
0018.png,1,0,0.7159,0.04959,0.0217,0.02294
0019.png,1,0,0.5992,0.07983,0.0276,0.02589
0020.png,1,0,0.5484,0.09976,0.02774,0.03381
0021.png,1,0,0.6526,0.07259,0.02353,0.03202
0022.png,1,0,0.7059,0.06053,0.0178,0.02726
0023.png,1,0,0.7386,0.04855,0.01698,0.02458
0024.png,1,0,0.7065,0.05143,0.02098,0.02648
0025.png,1,0,0.745,0.04909,0.01374,0.02622
0026.png,1,0,0.7464,0.05318,0.01113,0.02578
0027.png,1,0,0.6878,0.06725,0.01563,0.02804
0028.png,1,0,0.6483,0.07888,0.01931,0.02807
0029.png,1,0,0.649,0.08169,0.01901,0.02843
0030.png,1,0,0.6602,0.08348,0.0146,0.03002
0031.png,1,0,0.6266,0.081,0.02389,0.02977
0032.png,1,0,0.6302,0.06919,0.0291,0.02789
0033.png,1,0,0.6432,0.06043,0.03022,0.02587
0034.png,1,0,0.62,0.06898,0.02822,0.02848
0035.png,1,0,0.6921,0.05518,0.02018,0.02685
0036.png,1,0,0.6998,0.06316,0.01457,0.02848
0037.png,1,0,0.6113,0.0815,0.0255,0.02944
0038.png,1,0,0.6069,0.08534,0.02491,0.0291
0039.png,1,0,0.6724,0.06911,0.01722,0.02637
0040.png,1,0,0.7098,0.04458,0.02303,0.02044
0041.png,1,0,0.6438,0.04008,0.04374,0.01893
0042.png,1,0,0.6071,0.04424,0.05003,0.01836
0043.png,1,0,0.5867,0.04372,0.05372,0.01832
0044.png,1,0,0.6318,0.0367,0.0499,0.01764
0045.png,1,0,0.6553,0.03479,0.04486,0.01894
0046.png,1,0,0.6755,0.04301,0.03223,0.02064
0047.png,1,0,0.6649,0.04757,0.03345,0.02055
0048.png,1,0,0.662,0.05115,0.03279,0.01973
0049.png,1,0,0.6615,0.04553,0.03655,0.01828
0050.png,1,0,0.6678,0.03947,0.03762,0.01779
0051.png,1,0,0.6599,0.03363,0.04108,0.01826
0052.png,1,0,0.6545,0.02897,0.04886,0.01886
0053.png,1,0,0.6505,0.03164,0.04848,0.01812
0054.png,1,0,0.6961,0.03355,0.03681,0.01742
0055.png,1,0,0.6961,0.03739,0.03477,0.01859
0056.png,1,0,0.6894,0.04783,0.02975,0.02084
0057.png,1,0,0.679,0.05955,0.02578,0.02178
0058.png,1,0,0.6784,0.06294,0.02483,0.02211
0059.png,1,0,0.6871,0.06026,0.02448,0.02173
0060.png,1,0,0.7013,0.05409,0.02495,0.02133
0061.png,1,0,0.7034,0.04589,0.02959,0.02136
0062.png,1,0,0.6605,0.04552,0.03995,0.01999
0063.png,1,0,0.6373,0.04116,0.05112,0.01988
0064.png,1,0,0.6679,0.04121,0.0395,0.02105
0065.png,1,0,0.7188,0.0383,0.02873,0.01965
0066.png,1,0,0.7415,0.03569,0.02526,0.01742
0067.png,1,0,0.7312,0.04265,0.0237,0.0171
0068.png,1,0,0.6905,0.0581,0.02374,0.01626
0069.png,1,0,0.694,0.06593,0.0188,0.01997
0070.png,1,0,0.6878,0.06982,0.01872,0.02172
0071.png,1,0,0.6964,0.06073,0.0222,0.02032
0072.png,1,0,0.7037,0.04999,0.02769,0.01999
0073.png,1,0,0.6831,0.0482,0.0325,0.02035
0074.png,1,0,0.7383,0.03691,0.0278,0.01507
0075.png,1,0,0.6971,0.04955,0.02561,0.0207
0076.png,1,0,0.6577,0.06294,0.02714,0.02514
0077.png,1,0,0.6825,0.06204,0.02305,0.02627
0078.png,1,0,0.6945,0.05986,0.0218,0.02632
0079.png,1,0,0.7032,0.0531,0.02303,0.02479
0080.png,1,0,0.7301,0.0381,0.02514,0.02006
0081.png,1,1,0.7627,0.02451,0.02716,0.01355
0082.png,1,1,0.7674,0.01755,0.03317,0.00818
0083.png,1,1,0.7655,0.02167,0.03072,0.01139
0084.png,1,0,0.7153,0.03149,0.03432,0.0162
0085.png,1,0,0.7084,0.03269,0.03369,0.01702
0086.png,1,0,0.7234,0.03089,0.03063,0.0127
0087.png,1,0,0.6798,0.04084,0.03146,0.01626
0088.png,1,0,0.729,0.03505,0.02912,0.0141
0089.png,1,0,0.4469,0.10673,0.07595,0.01123
0090.png,1,0,0.6103,0.08288,0.03705,0.01124
0091.png,1,0,0.5552,0.09656,0.05114,0.01099
0092.png,1,0,0.5944,0.14371,0.01171,0.02001
