图像,共识启用,共识接受,回退IoU,删除像素比例,补回像素比例,粘连切割像素比例
0000.png,1,0,0.6031,0.08112,0.01586,0.0
0001.png,1,0,0.6036,0.0795,0.01716,0.0
0002.png,1,0,0.6241,0.0733,0.01629,0.0
0003.png,1,0,0.637,0.06568,0.01806,0.0
0004.png,1,0,0.6107,0.06351,0.02565,0.0
0005.png,1,0,0.6471,0.05064,0.02569,0.0
0006.png,1,0,0.724,0.03583,0.01819,0.0
0007.png,1,0,0.7019,0.03826,0.02193,0.0
0008.png,1,0,0.707,0.03955,0.02007,0.0
0009.png,1,1,0.7609,0.03416,0.01346,0.0
0010.png,1,0,0.7017,0.04335,0.02127,0.0
0011.png,1,0,0.5977,0.06535,0.02997,0.0
0012.png,1,0,0.5351,0.07762,0.03776,0.0
0013.png,1,0,0.5442,0.07738,0.03625,0.0
0014.png,1,0,0.6061,0.06471,0.02907,0.0
0015.png,1,0,0.6992,0.04563,0.02051,0.0
0016.png,1,1,0.8323,0.02219,0.01088,0.0
0017.png,1,1,0.95,0.00709,0.00175,0.0
0018.png,1,1,0.9609,0.00548,0.00122,0.0
0019.png,1,1,0.96,0.00601,0.00106,0.0
0020.png,1,1,0.952,0.00568,0.00308,0.0
0021.png,1,1,0.9224,0.00778,0.00667,0.0
0022.png,1,1,0.8849,0.0109,0.01089,0.0
0023.png,1,1,0.9168,0.00769,0.00768,0.0
0024.png,1,1,0.8834,0.01135,0.01004,0.0
0025.png,1,1,0.826,0.01485,0.01655,0.0
0026.png,1,1,0.8818,0.00644,0.01367,0.0
0027.png,1,1,0.9508,0.00053,0.00748,0.0
0028.png,1,1,0.9718,0.00052,0.0041,0.0
0029.png,1,1,0.9571,0.0009,0.00632,0.0
0030.png,1,1,0.9236,0.00289,0.01041,0.0
0031.png,1,1,0.8688,0.0092,0.01447,0.0
0032.png,1,1,0.8956,0.00682,0.01164,0.0
0033.png,1,1,0.8639,0.01641,0.01003,0.0
0034.png,1,1,0.915,0.00338,0.01121,0.0
0035.png,1,1,0.945,0.00143,0.00738,0.0
0036.png,1,1,0.9176,0.00074,0.01179,0.0
0037.png,1,1,0.8912,0.00068,0.0155,0.0
0038.png,1,1,0.8311,0.00119,0.02392,0.0
0039.png,1,1,0.8563,0.00058,0.02003,0.0
0040.png,1,0,0.7373,0.03833,0.01416,0.0
0041.png,1,0,0.7151,0.0488,0.0122,0.0
0042.png,1,1,0.8295,0.00169,0.02309,0.0
0043.png,1,1,0.7852,0.00381,0.02831,0.0
0044.png,1,1,0.8144,0.00247,0.02451,0.0
0045.png,1,1,0.8251,0.00101,0.02335,0.0
0046.png,1,1,0.8368,2e-05,0.02149,0.0
