图像,提示词编号,提示词文本,总分,面积得分,连通域得分,边界得分,时序得分,前背景对比得分,下方泄漏得分,侧边泄漏得分,语义门控启用,语义门控总修正,目标框得分,垂直覆盖得分,花盆重叠惩罚,侧边干扰惩罚,中心先验得分,面积比例,连通域数量,边界密度,时序IoU,前背景对比,下方区域占比,侧边区域占比,SAM3原始分数
0000.jpg,P1,green plant,1.1873032927112432,0.36287255577043287,1.0,0.7260114403914032,1.0,0.9240293502807617,1.0,1.0,1,0.38472062342272373,0.6092652413198233,0.4195609891636566,0.0,0.0,0.9595681091132743,0.153334659529321,1,7.547775265383854,1.0,0.23100733757019043,0.0,0.0,0.349609;0.960938;0.343750
0000.jpg,P2,entire plant excluding pot,1.276095079488754,0.5531067476363494,1.0,0.7298686407140595,1.0,1.0,1.0,1.0,1,0.41950000181867214,0.6628112827262465,0.60377882745207,0.04793251581330824,0.0,0.9321561866710576,0.22847716531635803,1,7.402191140084062,1.0,0.2661300301551819,0.0031207109353109446,0.0,0.960938
0000.jpg,P3,leaves and stems,1.1874515739984102,0.36308254951945607,1.0,0.7271885467181899,1.0,0.9234828948974609,1.0,1.0,1,0.3847007757713889,0.6093243491693113,0.41928313420394553,0.0,0.0,0.9596628940541971,0.15341760706018517,1,7.503183445696754,1.0,0.23087072372436523,0.0,0.0,0.355469;0.314453;0.703125;0.376953
0000.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0000.jpg,P5,plant body without background,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0001.jpg,P1,green plant,1.1610557964956447,0.3581702829543678,1.0,0.7270070930346263,0.889272487602787,0.919109046459198,1.0,1.0,1,0.38234401448544897,0.6092876111544581,0.4185526683431126,0.0,0.0,0.9375387027962837,0.15147726176697532,1,7.510047964617902,0.889272487602787,0.2297772616147995,0.0,0.0,0.351562;0.960938;0.324219
0001.jpg,P2,entire plant excluding pot,1.2538849910589518,0.5485738738474761,1.0,0.7314063061581043,0.907117635469971,1.0,1.0,1.0,1,0.4164654279638414,0.6635496012226447,0.6037999441184688,0.052047355908585655,0.0,0.9115328436716709,0.22668668016975307,1,7.344582390949069,0.907117635469971,0.26532283425331116,0.004999388372699085,0.0,0.945312
0001.jpg,P3,leaves and stems,1.1602295671179697,0.35795937353492724,1.0,0.7271647759423286,0.8880850815955263,0.9163462519645691,1.0,1.0,1,0.38231847051049933,0.609227505329934,0.4185526683431126,0.0,0.0,0.9374936334326216,0.15139395254629628,1,7.504082515661065,0.8880850815955263,0.22908656299114227,0.0,0.0,0.419922;0.312500;0.671875;0.361328
0001.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0001.jpg,P5,plant body without background,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0002.jpg,P1,green plant,1.158973605423657,0.3488032798093451,1.0,0.7294633640983722,0.8784756882507907,0.9313717484474182,1.0,1.0,1,0.3813507893024717,0.6087100431674277,0.4173740803621958,0.0,0.0,0.9317493972867674,0.14777729552469135,1,7.417415300520683,0.8784756882507907,0.23284293711185455,0.0,0.0,0.343750;0.306641;0.964844
0002.jpg,P2,entire plant excluding pot,1.2504709994628935,0.5368453566963588,1.0,0.7325029622118677,0.9154078798604575,1.0,1.0,1.0,1,0.41351975970915683,0.6633504706980863,0.6046972269383135,0.06060851208923425,0.0,0.9068414774270053,0.22205391589506174,1,7.303643850951744,0.9154078798604575,0.2682431638240814,0.00958082401819086,0.0,0.957031
0002.jpg,P3,leaves and stems,1.1592137682213668,0.3491103346225971,1.0,0.7306753262318185,0.8796102449635693,0.9294305443763733,1.0,1.0,1,0.38144847818249505,0.6087992657847758,0.41765704584040747,0.0,0.0,0.9319046690655022,0.1478985821759259,1,7.371938372604467,0.8796102449635693,0.23235763609409332,0.0,0.0,0.558594;0.332031
0002.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0002.jpg,P5,plant body without background,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0003.jpg,P1,green plant,1.1424305293088166,0.3278878413619316,1.0,0.730085920401389,0.8455332470042999,0.92330002784729,1.0,1.0,1,0.3770691219858346,0.6059651120647044,0.41029327199539967,0.0,0.0,0.9112854380401612,0.13951569733796296,1,7.394036018396762,0.8455332470042999,0.2308250069618225,0.0,0.0,0.968750
