图像,选择提示词,选择分数,A1s基础分数,前景面积比例,恢复细结构像素,共识启用,共识接受,共识回退IoU,共识删除像素比例,共识补回像素比例,记忆后端,记忆种子帧,记忆候选采用,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
0000.jpg,A6共识,1.188877153450236,1.276095079488754,0.07703667534722222,0,1,0,0.6031,0.08112,0.01586,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.4553834086547029
0001.jpg,A6共识,1.1836546313570744,1.2538849910589518,0.07722692418981482,0,1,0,0.6036,0.0795,0.01716,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.4488272042342121
0002.jpg,A1s,1.2035389812070414,1.2504709994628935,0.22382450810185187,0,1,0,0.6241,0.0733,0.01629,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9920410872943414
0003.jpg,A1s,1.2242535290634298,1.2327837992289945,0.21435474537037036,0,1,0,0.637,0.06568,0.01806,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.992000458948569
0004.jpg,A1s,0.9546536287969003,0.9300763324436445,0.20492380401234567,0,1,0,0.6107,0.06351,0.02565,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9924665259006193
0005.jpg,A1s,1.212089618584634,1.1857896240161074,0.19210624035493828,0,1,0,0.6471,0.05064,0.02569,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9922014237876969
0006.jpg,A1s,1.2327957892036099,1.1940118796047579,0.17867115162037037,0,1,0,0.724,0.03583,0.01819,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.99320499905878
0007.jpg,A1s,1.2076974439935528,1.1846199928486427,0.1808203125,0,1,0,0.7019,0.03826,0.02193,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9938057454592456
0008.jpg,A1s,1.1896155553471492,1.1793979052799395,0.18450098861882716,0,1,0,0.707,0.03955,0.02007,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9932545889760077
0009.jpg,A1s,1.1902664299173513,1.1600408734533596,0.18679747781635803,0,1,1,0.7609,0.03416,0.01346,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9937831403981655
0010.jpg,A1s,1.2516446664739203,1.1899313888834164,0.19594605999228396,0,1,0,0.7017,0.04335,0.02127,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9935144584152037
