图像,共识启用,共识接受,回退IoU,删除像素比例,补回像素比例,粘连切割像素比例
0000.png,1,0,0.6038,0.08091,0.01571,0.0
0001.png,1,0,0.6046,0.07931,0.01694,0.0
0002.png,1,0,0.625,0.07309,0.01611,0.0
0003.png,1,0,0.6388,0.06544,0.01762,0.0
0004.png,1,0,0.6131,0.06333,0.02488,0.0
0005.png,1,0,0.6496,0.05052,0.02492,0.0
0006.png,1,0,0.726,0.03564,0.01772,0.0
0007.png,1,0,0.704,0.03812,0.02135,0.0
0008.png,1,0,0.7091,0.03942,0.01947,0.0
0009.png,1,1,0.7624,0.03396,0.01315,0.0
0010.png,1,0,0.7032,0.04307,0.02086,0.0
0011.png,1,0,0.5988,0.06521,0.02937,0.0
0012.png,1,0,0.5357,0.07731,0.03729,0.0
0013.png,1,0,0.5459,0.07678,0.03571,0.0
0014.png,1,0,0.6075,0.06443,0.02853,0.0
0015.png,1,0,0.7004,0.04549,0.02006,0.0
0016.png,1,1,0.8331,0.02201,0.01077,0.0
0017.png,1,1,0.9507,0.00703,0.00167,0.0
0018.png,1,1,0.9602,0.00559,0.00122,0.0
0019.png,1,1,0.9587,0.00609,0.0012,0.0
0020.png,1,1,0.9517,0.0057,0.00309,0.0
0021.png,1,1,0.9216,0.0079,0.00667,0.0
0022.png,1,1,0.8842,0.01092,0.01093,0.0
0023.png,1,1,0.9168,0.00764,0.00768,0.0
0024.png,1,1,0.8845,0.01094,0.01015,0.0
0025.png,1,1,0.825,0.01498,0.01653,0.0
0026.png,1,1,0.8814,0.0063,0.0138,0.0
0027.png,1,1,0.9505,0.00044,0.00757,0.0
0028.png,1,1,0.9617,0.00048,0.00577,0.0
0029.png,1,1,0.9561,0.00091,0.00644,0.0
0030.png,1,1,0.9233,0.00285,0.01046,0.0
0031.png,1,1,0.8687,0.00915,0.0145,0.0
0032.png,1,1,0.8957,0.00675,0.01163,0.0
0033.png,1,1,0.923,0.00338,0.01001,0.0
0034.png,1,1,0.9185,0.00337,0.01053,0.0
0035.png,1,1,0.9242,0.00144,0.01046,0.0
0036.png,1,1,0.9168,0.00061,0.01148,0.0
0037.png,1,1,0.8758,0.00067,0.0175,0.0
0038.png,1,1,0.8346,0.00118,0.02323,0.0
0039.png,1,1,0.8602,0.00056,0.01933,0.0
0040.png,1,0,0.7395,0.03839,0.01346,0.0
0041.png,1,0,0.7201,0.04829,0.01159,0.0
0042.png,1,1,0.8296,0.00171,0.02298,0.0
0043.png,1,1,0.7848,0.0039,0.02823,0.0
0044.png,1,1,0.8163,0.00249,0.0241,0.0
0045.png,1,1,0.8275,0.00105,0.02289,0.0
0046.png,1,1,0.8402,2e-05,0.02092,0.0
0047.png,1,1,0.8344,0.0,0.02121,0.0
0048.png,1,1,0.8378,0.0,0.02075,0.0
0049.png,1,1,0.8354,3e-05,0.02106,0.0
0050.png,1,1,0.7935,0.00064,0.02704,0.0
0051.png,1,1,0.7852,0.00098,0.02819,0.0
0052.png,1,1,0.8313,0.00057,0.02193,0.0
0053.png,1,1,0.8628,0.00048,0.0179,0.0
0054.png,1,1,0.8018,0.00232,0.02676,0.0
0055.png,1,1,0.7794,0.00348,0.03019,0.0
0056.png,1,1,0.803,0.00361,0.02585,0.0
0057.png,1,1,0.7773,0.00426,0.02999,0.0
0058.png,1,0,0.6734,0.01015,0.0441,0.0
0059.png,1,0,0.5639,0.01895,0.05815,0.0
0060.png,1,0,0.5199,0.02365,0.0637,0.0
0061.png,1,0,0.5423,0.02275,0.06008,0.0
0062.png,1,0,0.5863,0.02184,0.05341,0.0
0063.png,1,0,0.6574,0.01764,0.04381,0.0
0064.png,1,1,0.752,0.01077,0.03207,0.0
0065.png,1,1,0.834,0.00588,0.02209,0.0
0066.png,1,1,0.8111,0.01046,0.02312,0.0
0067.png,1,1,0.7582,0.02136,0.02517,0.0
0068.png,1,1,0.814,0.01757,0.01716,0.0
0069.png,1,1,0.8846,0.00861,0.01195,0.0
0070.png,1,1,0.845,0.0087,0.01912,0.0
0071.png,1,1,0.8551,0.00811,0.01721,0.0
0072.png,1,1,0.9068,0.00755,0.00828,0.0
0073.png,1,1,0.8248,0.01279,0.0185,0.0
0074.png,1,0,0.7468,0.02267,0.02458,0.0
0075.png,1,0,0.7301,0.02293,0.02743,0.0
0076.png,1,1,0.8166,0.01124,0.02014,0.0
0077.png,1,1,0.8186,0.00787,0.02217,0.0
0078.png,1,1,0.8319,0.00405,0.02213,0.0
0079.png,1,1,0.8321,0.0029,0.02234,0.0
0080.png,1,1,0.8351,0.00336,0.02187,0.0
0081.png,1,1,0.7894,0.00523,0.02857,0.0
0082.png,1,0,0.6697,0.01564,0.04057,0.0
0083.png,1,0,0.6522,0.01605,0.04328,0.0
0084.png,1,0,0.6332,0.01742,0.04544,0.0
0085.png,1,0,0.6233,0.01709,0.04613,0.0
0086.png,1,0,0.5895,0.01775,0.05133,0.0
0087.png,1,0,0.5026,0.02722,0.06048,0.0
0088.png,1,0,0.3591,0.0468,0.07822,0.0
0089.png,1,0,0.3195,0.05051,0.08451,0.0
0090.png,1,0,0.3009,0.04851,0.08788,0.0
0091.png,1,0,0.3681,0.03229,0.08047,0.0
0092.png,1,0,0.4607,0.01578,0.07083,0.0
0093.png,1,0,0.5334,0.00771,0.06163,0.0
0094.png,1,0,0.4916,0.01112,0.06699,0.0
0095.png,1,0,0.4166,0.01955,0.07505,0.0
0096.png,1,0,0.3561,0.0279,0.08248,0.0
0097.png,1,0,0.3433,0.03231,0.08442,0.0
0098.png,1,0,0.3011,0.0426,0.08783,0.0
0099.png,1,0,0.3169,0.04553,0.08306,0.0
0100.png,1,0,0.4738,0.02656,0.06264,0.0
