图像,选择提示词,选择分数,A1s基础分数,前景面积比例,恢复细结构像素,共识启用,共识接受,共识回退IoU,共识删除像素比例,共识补回像素比例,记忆后端,记忆种子帧,记忆候选采用,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
0000.jpg,A6共识,1.1881545941888207,1.2757314820421954,0.07593448591820988,0,1,0,0.6038,0.08091,0.01571,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.44989777445400436
0001.jpg,A1s,1.1841001066266479,1.2536509063522232,0.227607421875,0,1,0,0.6046,0.07931,0.01694,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.994694784608361
0002.jpg,A1s,1.2042229243567402,1.2501157434226349,0.22355070891203704,0,1,0,0.625,0.07309,0.01611,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9919926743324442
0003.jpg,A1s,1.2246959377157411,1.232317107370553,0.2141870418595679,0,1,0,0.6388,0.06544,0.01762,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9912922875672779
0004.jpg,A1s,0.9547960133332245,0.9297431771739395,0.2048613522376543,0,1,0,0.6131,0.06333,0.02488,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9913836936947541
0005.jpg,A1s,1.2117593328315253,1.1853782139704196,0.19204185956790124,0,1,0,0.6496,0.05052,0.02492,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9913372326981642
0006.jpg,A1s,1.2321298395230333,1.1933296927947596,0.1784566695601852,0,1,0,0.726,0.03564,0.01772,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.991964233237877
0007.jpg,A1s,1.2075466985435974,1.1844791622775432,0.1807958381558642,0,1,0,0.704,0.03812,0.02135,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9928926590816801
0008.jpg,A1s,1.1894147869093494,1.1792519842269782,0.18427891107253086,0,1,0,0.7091,0.03942,0.01947,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9925106910702582
0009.jpg,A1s,1.1897097947987938,1.1593630917439157,0.18624144000771606,0,1,1,0.7624,0.03396,0.01315,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.993452672974089
0010.jpg,A1s,1.2513753619381585,1.1882680997690023,0.1957417052469136,0,1,0,0.7032,0.04307,0.02086,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9927888315235125
0011.jpg,A1s,1.156751312079013,1.1288684652236658,0.2071872588734568,0,1,0,0.5988,0.06521,0.02937,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9935493206737299
0012.jpg,A1s,1.1503253250383578,1.13588697841569,0.2095335407021605,0,1,0,0.5357,0.07731,0.03729,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9898024255732772
0013.jpg,A1s,1.215269686098424,1.2284950660589684,0.2121456645447531,0,1,0,0.5459,0.07678,0.03571,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9922679303151042
0014.jpg,A1s,1.2137484139768886,1.195591834422812,0.20901475694444444,0,1,0,0.6075,0.06443,0.02853,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9942615687580445
0015.jpg,A1s,1.1427692048408213,1.1077778000240512,0.20062391493055556,0,1,0,0.7004,0.04549,0.02006,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9907208763156092
0016.jpg,A1s,1.1756660664113583,1.1298982426504176,0.18783974729938271,0,1,1,0.8331,0.02201,0.01077,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9881573897092332
0017.jpg,A1s,1.1531808755320299,1.0963924835989565,0.17609459394290122,0,1,1,0.9507,0.00703,0.00167,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9915918115842804
0018.jpg,A1s,1.1430896179171337,1.1146887343612637,0.1715064380787037,0,1,1,0.9602,0.00559,0.00122,sam3_video,0051,0,0,sam3_if_supported,1,ok,1,10,0.9899208741522231
