图像,提示词编号,提示词文本,总分,面积得分,连通域得分,边界得分,时序得分,前背景对比得分,下方泄漏得分,侧边泄漏得分,语义门控启用,语义门控总修正,目标框得分,垂直覆盖得分,花盆重叠惩罚,侧边干扰惩罚,中心先验得分,面积比例,连通域数量,边界密度,时序IoU,前背景对比,下方区域占比,侧边区域占比,SAM3原始分数
0000.jpg,P6,whole potted plant including the pot,1.2757314820421954,0.5522988211048601,1.0,0.729479304503499,1.0,1.0,1.0,1.0,1,0.41937585692052365,0.6626909654491657,0.60366870483602,0.04809203385692711,0.0,0.9320126229991015,0.22815803433641976,1,7.416816181800359,1.0,0.26655974984169006,0.0031721053415865496,0.0,0.980469
0001.jpg,P6,whole potted plant including the pot,1.2536509063522232,0.548015314892952,1.0,0.7311350904070981,0.907148962426854,1.0,1.0,1.0,1,0.4163910328068425,0.6634906222670328,0.6040793517742387,0.052378620102214654,0.0,0.9114861772468246,0.22646604938271606,1,7.354725908264015,0.907148962426854,0.265811562538147,0.005162372231686542,0.0,0.980469
0002.jpg,P6,whole potted plant including the pot,1.2501157434226349,0.5361534150843881,1.0,0.7322834260586802,0.9150004558375796,1.0,1.0,1.0,1,0.4134282840265054,0.663255773831003,0.6049801924165252,0.0609256568364757,0.0,0.9067002560162258,0.22178059895833332,1,7.3118293932236815,0.9150004558375796,0.2687552869319916,0.00972907856705247,0.0,0.980469
0003.jpg,P6,whole potted plant including the pot,1.232317107370553,0.51222755752852,1.0,0.7321097902070369,0.8769908602747495,1.0,1.0,1.0,1,0.40805146576849194,0.6613720762146872,0.6029327199539966,0.06894873744356667,0.0,0.8872797073470203,0.21232988522376542,1,7.318306991010328,0.8769908602747495,0.26778843998908997,0.01399256962358097,0.0,0.984375
0004.jpg,P6,whole potted plant including the pot,0.9297431771739395,0.48886209026801064,1.0,0.7319978735474365,0.8174283444781655,1.0,1.0,1.0,1,0.122085515515217,0.0,0.32896015549076774,0.07310947366046598,0.0,0.8480552962501859,0.2031005256558642,1,7.322483743122403,0.8174283444781655,0.262050062417984,0.015664280537125496,0.0,0.976562
0005.jpg,P6,whole potted plant including the pot,1.1853782139704196,0.45667627510157827,1.0,0.7322481324710326,0.8680944056944716,1.0,0.92253366437856,1.0,1,0.3739744513170031,0.6326568826131997,0.5164490861618799,0.08321137930794283,0.0,0.8454712068562769,0.19038712866512345,1,7.313145794593324,0.8680944056944716,0.2518853545188904,0.021679425664615136,0.0,0.976562
0006.jpg,P6,whole potted plant including the pot,1.1933296927947596,0.4228822374589779,1.0,0.7381127603335285,0.8059992663586321,1.0,0.6111701662747383,1.0,1,0.39993083996453205,0.6740896390423783,0.5872771972956361,0.0983568823258614,0.0,0.8779663548424361,0.1770384837962963,1,7.0961309366371985,0.8059992663586321,0.2504914700984955,0.032724110409226737,0.0,0.976562
0007.jpg,P6,whole potted plant including the pot,1.1844791622775432,0.42921684540553207,1.0,0.7369438851521065,0.8846623186697296,0.9922490119934082,0.5459278539482366,1.0,1,0.375864750033388,0.6393633902210862,0.5423872979869577,0.10314790267408551,0.0,0.8540222062058113,0.17954065393518517,1,7.139108421901033,0.8846623186697296,0.24806225299835205,0.03663487740249345,0.0,0.976562
0008.jpg,P6,whole potted plant including the pot,1.1792519842269782,0.4379392165768089,1.0,0.7348820460782777,0.9491859865881446,0.9702188968658447,0.48313963297203516,1.0,1,0.360806755005163,0.6188434337581473,0.5046997389033943,0.10771407054743211,0.0,0.8567982135143012,0.1829859905478395,1,7.215251898900864,0.9491859865881446,0.24255472421646118,0.04139590013961374,0.0,0.980469
0009.jpg,P6,whole potted plant including the pot,1.1593630917439157,0.44327452287466784,1.0,0.7309594473370721,0.8482664847256082,1.0,0.30348788708449886,1.0,1,0.354863000756446,0.6184401507465969,0.5073107049608355,0.1341152745598568,0.0,0.8732760347014371,0.18509343653549382,1,7.36129900620502,0.8482664847256082,0.25033077597618103,0.06590048845814886,0.0,0.976562
0010.jpg,P6,whole potted plant including the pot,1.1882680997690023,0.46710026713158304,1.0,0.730581177791926,0.68427308592444,1.0,0.17316206382088078,1.0,1,0.41187719359941255,0.7213741976844132,0.740975065128396,0.1836522554095676,0.0,0.8111638930962697,0.19450460551697532,1,7.375465735987145,0.68427308592444,0.25360891222953796,0.11549873891944394,0.0,0.976562
0011.jpg,P6,whole potted plant including the pot,1.1288684652236658,0.49719682762931705,1.0,0.7204643590415484,0.7700374639493326,0.974364697933197,0.15140414881244554,0.5136996249062266,1,0.3364557955129868,0.6413398481006806,0.5336814621409922,0.20039908779931584,0.0,0.7604391183216475,0.20639274691358026,1,7.75987423806293,0.7700374639493326,0.24359117448329926,0.13209677645475448,0.007786651587939511,0.980469
0012.jpg,P6,whole potted plant including the pot,1.13588697841569,0.505162855035943,1.0,0.7285488097548057,0.812749489657854,0.9975517988204956,0.12786579264883316,0.3865020292433424,1,0.32708438776187054,0.6436892659673801,0.5378590078328982,0.2262763643100731,0.0,0.7286143255638781,0.20953932773919753,1,7.451832646231392,0.812749489657854,0.2493879497051239,0.15641399928538674,0.010349234149768441,0.976562
0013.jpg,P6,whole potted plant including the pot,1.2284950660589684,0.5114217675613377,1.0,0.7393080414656362,0.9543205342964889,1.0,0.12518974139925607,0.39610519202612904,1,0.3874849973942757,0.7147022619258957,0.7368983957219252,0.2290116229146396,0.0,0.734009813646576,0.2120115981867284,1,7.052323088967267,0.9543205342964889,0.2543319761753082,0.15975749910861986,0.010098327617316716,0.972656
0014.jpg,P6,whole potted plant including the pot,1.195591834422812,0.5020242420690733,1.0,0.7357855467965613,0.8390581644387707,0.9296972751617432,0.1462496296609811,0.7011139291873795,1,0.39427878872958233,0.7033791363696826,0.7411038489469862,0.2051831315259417,0.0,0.7625233764751843,0.20829957561728396,1,7.181833194570537,0.8390581644387707,0.2324243187904358,0.13675248304123352,0.0057052068622230456,0.972656
0015.jpg,P6,whole potted plant including the pot,1.1077778000240512,0.47788106540084385,1.0,0.7287979328420408,0.8239966462586173,0.8549991250038147,0.15716784800110584,1.0,1,0.3306428461229879,0.6173348083870239,0.5198433420365536,0.19780361757105944,0.0,0.8034494689226767,0.19876302083333333,1,7.442448858228014,0.8239966462586173,0.21374978125095367,0.12725248996130098,0.0,0.976562
0016.jpg,P6,whole potted plant including the pot,1.1298982426504176,0.4445955300632911,1.0,0.7391642962450576,0.7711608811952968,0.6991868615150452,0.15067352391391578,1.0,1,0.3990767288466795,0.706024264708047,0.7105069801616458,0.20609755859926848,0.0,0.8590624734954735,0.185615234375,1,7.057583952038363,0.7711608811952968,0.1747967153787613,0.13273732159756607,0.0,0.972656
0017.jpg,P6,whole potted plant including the pot,1.0963924835989565,0.41674480387560553,1.0,0.74342290288927,0.7160580403346325,0.5741854906082153,0.1491445136110639,1.0,1,0.40631023605741173,0.7211221484904113,0.6898967551622419,0.21113151789659743,0.0,0.9307552352554344,0.17461419753086418,1,6.90258791096045,0.7160580403346325,0.14354637265205383,0.13409812748563854,0.0,0.976562
0018.jpg,P6,whole potted plant including the pot,1.1146887343612637,0.4045013747265197,1.0,0.7444992811603001,0.8579955822206496,0.5114728212356567,0.16340963023562108,1.0,1,0.41099492249263836,0.7167038404801747,0.6906448005963474,0.20013392917376494,0.0,0.9587269296936417,0.1697780430169753,1,6.863692828326249,0.8579955822206496,0.12786820530891418,0.12239180745444385,0.0,0.972656
0019.jpg,P6,whole potted plant including the pot,1.1326141701610584,0.4184806097632442,1.0,0.7367298986761532,0.9408933002144859,0.46014466881752014,0.1532267565929868,1.0,1,0.4213644746667776,0.7491905630240003,0.7024029574861368,0.20760560299916025,0.0,0.9499692616062092,0.17529984085648148,1,7.146991096653543,0.9408933002144859,0.11503616720438004,0.1305255064109045,0.0,0.976562
0020.jpg,P6,whole potted plant including the pot,1.083738938749899,0.42738031577199553,1.0,0.7334020041820238,0.8136412164577839,0.4093659818172455,0.12972156260796172,1.0,1,0.4069810351040892,0.7197610309098101,0.6995645863570392,0.2323800790876268,0.0,0.9885707246767659,0.17881522472993827,1,7.2701736373168915,0.8136412164577839,0.10234149545431137,0.15417637282433175,0.0,0.972656
0021.jpg,P6,whole potted plant including the pot,1.0661542025818105,0.42795962992264414,1.0,0.7358746068279589,0.8435133871149058,0.359869122505188,0.11143098325229606,1.0,1,0.3927108533076712,0.7083504729986436,0.6900355871886121,0.25958696701756084,0.0,0.9845787216946401,0.17904405381944444,1,7.1785434833951625,0.8435133871149058,0.089967280626297,0.17948329464810583,0.0,0.968750
0022.jpg,P6,whole potted plant including the pot,1.0699708333461764,0.42489304969526487,1.0,0.7244046717346357,0.8975960151547204,0.34734055399894714,0.1081977025659082,1.0,1,0.3911239752294629,0.7155055984094545,0.6888967719049308,0.2657144058098353,0.0,0.9640991858621689,0.17783275462962964,1,7.608877717627983,0.8975960151547204,0.08683513849973679,0.18484680844139995,0.0,0.972656
0023.jpg,P6,whole potted plant including the pot,1.006353747269501,0.42124868143459915,1.0,0.7321774659553357,0.8431236014686814,0.2803612947463989,0.12578999406762903,1.0,1,0.350971538548498,0.6440036566957927,0.5490306265805002,0.23828290533096025,0.0,0.9822961751976859,0.17639322916666667,1,7.315781938063686,0.8431236014686814,0.07009032368659973,0.15899515814626172,0.0,0.968750
0024.jpg,P6,whole potted plant including the pot,1.000978506827022,0.41114120614549143,1.0,0.7174242620907132,0.7970948683751998,0.2209004908800125,0.16553635821655757,1.0,1,0.37166634132873866,0.6517773613751956,0.5817805383022774,0.198745280465691,0.0,0.984473520927176,0.17240077642746915,1,7.877507155551339,0.7970948683751998,0.05522512272000313,0.12081937899005638,0.0,0.968750
0025.jpg,P6,whole potted plant including the pot,0.9763271258770082,0.38867004365916547,1.0,0.7073650140772098,0.8224392285881541,0.18810419738292694,0.2125923197492163,1.0,1,0.355011429135517,0.6251606565194988,0.5075718015665797,0.17253872372614812,0.0,0.9660389218955248,0.16352466724537038,1,8.273945702687772,0.8224392285881541,0.047026049345731735,0.09407677579130291,0.0,0.972656
0026.jpg,P6,whole potted plant including the pot,0.9662660349357168,0.36878381876074384,1.0,0.6990041219372493,0.8290631416341273,0.15717756748199463,0.18367713897562468,1.0,1,0.35546030497289394,0.6425388619111101,0.49530026109660574,0.18984251687982986,0.0,0.9837041137056534,0.15566960841049382,1,8.612134567348704,0.8290631416341273,0.03929439187049866,0.10888671345569112,0.0,0.964844
0027.jpg,P6,whole potted plant including the pot,0.9270004730619543,0.3653665367635567,1.0,0.7020072574842081,0.6826396328418827,0.20543281733989716,0.12550582675157987,1.0,1,0.3359112241760455,0.6379146792790626,0.4890339425587467,0.2431589309291479,0.0,0.9756265604654356,0.15431978202160493,1,8.489733954709019,0.6826396328418827,0.05135820433497429,0.15935515121211885,0.0,0.964844
0028.jpg,P6,whole potted plant including the pot,1.0629237649724523,0.37299132432801996,1.0,0.7047199052489868,0.8614183717924253,0.3498936593532562,0.11439738414267994,1.0,1,0.4051191128279147,0.7293402866870013,0.7287808641975309,0.2580678038056018,0.0,0.9608979807358919,0.1573315731095679,1,8.380069657509871,0.8614183717924253,0.08747341483831406,0.17482917244904292,0.0,0.972656
0029.jpg,P6,whole potted plant including the pot,1.0358161293824626,0.3827157441592436,1.0,0.7022833492308405,0.921042298093648,0.5184561014175415,0.11209288870628285,1.0,1,0.330916630802208,0.6335831797815235,0.5018276762402089,0.2600725147756149,0.0,0.9685529058812172,0.16117271894290122,1,8.478533660102487,0.921042298093648,0.12961402535438538,0.17842345068299584,0.0,0.972656
0030.jpg,P6,whole potted plant including the pot,1.0454525897881375,0.38784563506016567,1.0,0.7029076977631431,0.7959855705365523,0.6848585605621338,0.10149798299416644,1.0,1,0.3311330970037385,0.6419233555711427,0.5031331592689295,0.27966561222424313,0.0,0.9979563755270419,0.16319902584876544,1,8.453237976544886,0.7959855705365523,0.17121464014053345,0.1970482507140018,0.0,0.976562
0031.jpg,P6,whole potted plant including the pot,1.1028237306647,0.3939763537271448,1.0,0.7005905208697916,0.8001153716180539,0.7379833459854126,0.09059412404787813,1.0,1,0.37629061222461935,0.7131482077988818,0.6654005524861878,0.3046347010025304,0.0,0.9830705034825604,0.16562065972222223,1,8.54734599487552,0.8001153716180539,0.18449583649635315,0.22076486979917365,0.0,0.333984;0.972656
