图像,共识启用,共识接受,回退IoU,删除像素比例,补回像素比例,粘连切割像素比例
0000.png,1,0,0.7184,0.01359,0.05121,0.0
0001.png,1,0,0.7215,0.01248,0.05105,0.0
0002.png,1,0,0.7324,0.00996,0.04952,0.0
0003.png,1,1,0.7551,0.00639,0.04666,0.0
0004.png,1,1,0.8046,0.00163,0.03821,0.0
0005.png,1,1,0.8405,0.00079,0.0296,0.0
0006.png,1,1,0.8836,0.00056,0.02006,0.0
0007.png,1,1,0.893,0.00034,0.01823,0.0
0008.png,1,1,0.8573,0.00466,0.02175,0.0
0009.png,1,1,0.816,0.00842,0.02923,0.0
0010.png,1,1,0.8159,0.01326,0.02673,0.0
0011.png,1,1,0.8212,0.02085,0.01928,0.0
0012.png,1,0,0.6615,0.04729,0.03079,0.00418
0013.png,1,0,0.6527,0.02326,0.04557,0.0
0014.png,1,0,0.7077,0.03218,0.03329,0.0
0015.png,1,0,0.7464,0.01337,0.03374,0.0
0016.png,1,1,0.8088,0.00814,0.02326,0.0
0017.png,1,1,0.7967,0.00569,0.02599,0.0
0018.png,1,1,0.7994,0.00463,0.02475,0.0
0019.png,1,1,0.7941,0.00434,0.02526,0.0
0020.png,1,1,0.8216,0.00396,0.02239,0.0
0021.png,1,1,0.8864,0.00442,0.01265,0.0
0022.png,1,1,0.8648,0.00986,0.01295,0.0
0023.png,1,1,0.847,0.01152,0.01558,0.0
0024.png,1,1,0.9049,0.00794,0.00896,0.0
0025.png,1,1,0.7827,0.03997,0.00557,0.01202
0026.png,1,1,0.8232,0.03199,0.00332,0.012
0027.png,1,1,0.9404,0.00039,0.00889,0.0
0028.png,1,1,0.8975,7e-05,0.01501,0.0
0029.png,1,1,0.8383,0.00053,0.02427,0.0
0030.png,1,1,0.7971,0.00027,0.03282,0.0
0031.png,1,1,0.817,0.00187,0.029,0.0
0032.png,1,1,0.8101,0.00889,0.02421,0.0
0033.png,1,1,0.7593,0.00748,0.03429,0.0
0034.png,1,0,0.709,0.01067,0.036,0.0
0035.png,1,0,0.5667,0.08508,0.02019,0.0113
0036.png,1,1,0.76,0.00022,0.03143,0.0
0037.png,1,1,0.7537,0.00024,0.03233,0.0
0038.png,1,1,0.7606,1e-05,0.03042,0.0
0039.png,1,0,0.7485,0.00412,0.0293,0.0
0040.png,1,1,0.7537,0.00409,0.02969,0.0
0041.png,1,1,0.8482,0.02036,0.00593,0.00734
0042.png,1,1,0.8499,0.02121,0.00549,0.00901
0043.png,1,1,0.7899,0.0253,0.01384,0.01157
0044.png,1,0,0.6914,0.03309,0.02711,0.01138
0045.png,1,0,0.6914,0.03512,0.0242,0.01202
0046.png,1,0,0.686,0.03586,0.02503,0.01201
0047.png,1,0,0.6328,0.03833,0.03575,0.01089
0048.png,1,0,0.5925,0.0395,0.04256,0.01022
0049.png,1,0,0.6653,0.03421,0.0305,0.0116
0050.png,1,0,0.7069,0.03224,0.02373,0.01184
0051.png,1,0,0.7373,0.02977,0.0196,0.01183
0052.png,1,1,0.767,0.0279,0.01557,0.01154
0053.png,1,1,0.793,0.02686,0.0119,0.01165
0054.png,1,1,0.8113,0.02644,0.0098,0.01189
0055.png,1,1,0.7985,0.03027,0.01065,0.01186
