图像,选择提示词,选择分数,A1s基础分数,前景面积比例,恢复细结构像素,共识启用,共识接受,共识回退IoU,共识删除像素比例,共识补回像素比例,记忆后端,记忆种子帧,记忆候选采用,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
0000.jpg,A6共识,1.0618485589063051,1.0845330408108622,0.18410108024691357,0,1,0,0.7184,0.01359,0.05121,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.705698081887182
0001.jpg,A6共识,1.0585919062326306,1.0714108878414748,0.18215543016975308,0,1,0,0.7215,0.01248,0.05105,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7086060611082856
0002.jpg,A6共识,1.057703855496961,1.0575717574511896,0.17821361400462962,0,1,0,0.7324,0.00996,0.04952,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7178118268222137
0003.jpg,A6共识,1.0492807170016087,1.0394123557877442,0.17311378761574073,0,1,1,0.7551,0.00639,0.04666,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7513933927847588
0004.jpg,A1s,1.0604368095061643,1.0422447092800813,0.16999626253858025,0,1,1,0.8046,0.00163,0.03821,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9748317507144832
0005.jpg,A1s,1.082239875333426,1.0534826132832715,0.1656442901234568,0,1,1,0.8405,0.00079,0.0296,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9718418110676356
0006.jpg,A1s,1.0791118250385896,1.0440098965499907,0.15892288773148147,0,1,1,0.8836,0.00056,0.02006,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9882398101619208
0007.jpg,A1s,1.0815842614242095,1.071913604763724,0.1565334442515432,0,1,1,0.893,0.00034,0.01823,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9920139728521283
0008.jpg,A1s,1.070878766849551,1.0628379577930278,0.16518868152006172,0,1,1,0.8573,0.00466,0.02175,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9884483041725202
0009.jpg,A6共识,1.0553196888527916,1.055191825575097,0.17761320891203702,0,1,1,0.816,0.00842,0.02923,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.81240711118488
0010.jpg,A6共识,1.0614665346239014,1.099571263450825,0.19282130111882717,0,1,1,0.8159,0.01326,0.02673,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.811887734961397
0011.jpg,A6共识,1.0565142200396451,1.0959112182639086,0.2079683883101852,0,1,1,0.8212,0.02085,0.01928,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8155486021445908
0012.jpg,A6共识,0.7700546888193259,0.7637156484283703,0.19122853973765433,0,1,0,0.6615,0.04729,0.03079,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6884970083635396
0013.jpg,A6共识,0.7669287624628986,0.8128456724915372,0.15465410397376544,0,1,0,0.6527,0.02326,0.04557,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6515445094346577
0014.jpg,A6共识,0.774368712684752,0.8131740978845348,0.19311209972993826,0,1,0,0.7077,0.03218,0.03329,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7053701442372923
0015.jpg,A6共识,1.1058991251357901,1.1025749935285294,0.15470317322530863,0,1,0,0.7464,0.01337,0.03374,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.745624757931795
0016.jpg,A6共识,1.1292669494930048,1.084469928793172,0.14339192708333334,0,1,1,0.8088,0.00814,0.02326,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8083947065550751
0017.jpg,A6共识,1.1042766739600105,1.097980673153108,0.13198941454475308,0,1,1,0.7967,0.00569,0.02599,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8003177803083931
0018.jpg,A1s,1.1221283733316656,1.105814339813909,0.1245288387345679,0,1,1,0.7994,0.00463,0.02475,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9770846120037872
0019.jpg,A1s,1.1655995731020916,1.1306164689564318,0.12167377989969136,0,1,1,0.7941,0.00434,0.02526,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9740848916216039
0020.jpg,A1s,1.1714432004693418,1.1535367417645601,0.12763961226851853,0,1,1,0.8216,0.00396,0.02239,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9801402982399033
0021.jpg,A6共识,1.1691686229119402,1.132877109891168,0.1425706500771605,0,1,1,0.8864,0.00442,0.01265,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8713252145075127
0022.jpg,A6共识,1.1372676305859075,1.1328495715945885,0.1576850646219136,0,1,1,0.8648,0.00986,0.01295,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.86035399659635
0023.jpg,A6共识,1.0996037183058942,1.1734156802842484,0.16026222511574073,0,1,1,0.847,0.01152,0.01558,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8575167135819846
0024.jpg,A6共识,1.142860499378701,1.1854942421398476,0.1682155430169753,0,1,1,0.9049,0.00794,0.00896,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9017643092344032
0025.jpg,A6共识,1.2698440346874835,1.2945349461347424,0.16500337577160493,0,1,1,0.7827,0.03997,0.00557,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8883774915313278
0026.jpg,A6共识,1.297067130662598,1.3183411344630132,0.16014732831790124,0,1,1,0.8232,0.03199,0.00332,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8877292262068803
0027.jpg,A1s,0.8604442943583042,0.8412593152006591,0.14839530285493827,0,1,1,0.9404,0.00039,0.00889,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9878007490867815
0028.jpg,A1s,0.8399078051984893,0.8314891362265113,0.13488606770833333,0,1,1,0.8975,7e-05,0.01501,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.979260747438873
0029.jpg,A1s,0.8176845314018035,0.7933459446653198,0.12736243730709876,0,1,1,0.8383,0.00053,0.02427,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9442977974309149
0030.jpg,A1s,0.8302021646592941,0.8125453055736187,0.13126603491512345,0,1,1,0.7971,0.00027,0.03282,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9709615774307957
0031.jpg,A1s,1.0752031853313544,1.0978544372779593,0.1418016975308642,0,1,1,0.817,0.00187,0.029,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9842752306206046
0032.jpg,A6共识,1.083346292755353,1.0753560744329205,0.14287229938271606,0,1,1,0.8101,0.00889,0.02421,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8260989122834335
0033.jpg,A6共识,1.0082268612560954,0.9841282736733274,0.14120816454475307,0,1,1,0.7593,0.00748,0.03429,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7576973337149043
0034.jpg,A6共识,1.0181771172974536,0.9771007517783679,0.1154832175925926,0,1,0,0.709,0.01067,0.036,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7475597800266625
0035.jpg,A6共识,1.0010837427381498,1.0758707336512008,0.12629979263117283,0,1,0,0.5667,0.08508,0.02019,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.65695602440175
0036.jpg,A6共识,0.753307932092328,0.6817096880155056,0.10426733699845679,0,1,1,0.76,0.00022,0.03143,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7651068335788189
0037.jpg,A6共识,0.9790693863316265,0.9509369399084417,0.10146930459104939,0,1,1,0.7537,0.00024,0.03233,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7556519492527978
0038.jpg,A1s,0.9815121167001352,0.9389054655693339,0.09813693576388889,0,1,1,0.7606,1e-05,0.03042,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9820211159907825
0039.jpg,A6共识,0.9765216298321074,0.9266466098322776,0.10534710165895061,0,1,0,0.7485,0.00412,0.0293,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7491643495437362
0040.jpg,A6共识,0.7655343567803006,0.7369638557928898,0.10946373456790123,0,1,1,0.7537,0.00409,0.02969,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7524880389444303
0041.jpg,A6共识,0.776045035151107,0.7254098313136434,0.16813078703703704,0,1,1,0.8482,0.02036,0.00593,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8461866552003939
0042.jpg,A6共识,0.7860766098521133,0.7441748793995638,0.17366801697530865,0,1,1,0.8499,0.02121,0.00549,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8468363849097602
0043.jpg,A6共识,0.7882259629114049,0.7296918300644297,0.1717938609182099,0,1,1,0.7899,0.0253,0.01384,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.793831839841526
0044.jpg,A6共识,0.7523756469695649,0.6971034702607775,0.11572120949074075,0,1,0,0.6914,0.03309,0.02711,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6091337968787878
