图像,共识启用,共识接受,回退IoU,删除像素比例,补回像素比例,粘连切割像素比例
0000.png,1,0,0.68,0.01345,0.06428,0.0
0001.png,1,0,0.6828,0.01233,0.06405,0.0
0002.png,1,0,0.6923,0.00981,0.06252,0.0
0003.png,1,0,0.7144,0.00523,0.05948,0.0
0004.png,1,1,0.7589,0.00143,0.05069,0.0
0005.png,1,1,0.7914,0.00053,0.0417,0.0
0006.png,1,1,0.829,0.00023,0.03203,0.0
0007.png,1,1,0.8367,0.00014,0.03008,0.0
0008.png,1,1,0.807,0.00419,0.03375,0.0
0009.png,1,1,0.7731,0.0078,0.04116,0.0
0010.png,1,1,0.776,0.01254,0.03859,0.0
0011.png,1,1,0.8012,0.01583,0.03002,0.0
0012.png,1,0,0.6656,0.037,0.04354,0.0
0013.png,1,0,0.6308,0.03828,0.05007,0.0
0014.png,1,0,0.6805,0.03061,0.0442,0.0
0015.png,1,1,0.7577,0.02576,0.02564,0.005
0016.png,1,1,0.8054,0.0215,0.01574,0.00673
0017.png,1,1,0.7909,0.02047,0.01793,0.00781
0018.png,1,1,0.8095,0.01774,0.01486,0.0082
0019.png,1,1,0.852,0.01384,0.01049,0.00715
0020.png,1,1,0.8784,0.01367,0.00691,0.00737
0021.png,1,1,0.8296,0.02421,0.00689,0.01234
0022.png,1,0,0.7359,0.04194,0.01268,0.0132
0023.png,1,0,0.694,0.04983,0.01558,0.01312
0024.png,1,0,0.7435,0.04519,0.00909,0.01318
0025.png,1,1,0.7947,0.03727,0.0055,0.01213
0026.png,1,1,0.8342,0.02971,0.00326,0.01199
0027.png,1,1,0.8582,0.02368,0.00243,0.01287
0028.png,1,1,0.865,0.01835,0.00483,0.01168
0029.png,1,1,0.8584,0.01436,0.01013,0.01012
0030.png,1,1,0.8268,0.01566,0.01716,0.00958
0031.png,1,1,0.8223,0.02081,0.01461,0.011
0032.png,1,1,0.7907,0.03102,0.01304,0.01195
0033.png,1,0,0.6369,0.05859,0.0266,0.01112
0034.png,1,0,0.712,0.03556,0.02169,0.01191
0035.png,1,0,0.7204,0.02821,0.02175,0.01229
0036.png,1,0,0.7222,0.02443,0.02204,0.01063
0037.png,1,0,0.6743,0.03255,0.02557,0.00921
0038.png,1,0,0.725,0.02642,0.02018,0.0085
0039.png,1,1,0.7795,0.0212,0.01592,0.00658
0040.png,1,1,0.7986,0.02044,0.01436,0.00601
0041.png,1,1,0.8417,0.01783,0.01019,0.00637
0042.png,1,1,0.8555,0.0184,0.00751,0.00784
