图像,选择提示词,选择分数,A1s基础分数,前景面积比例,恢复细结构像素,共识启用,共识接受,共识回退IoU,共识删除像素比例,共识补回像素比例,记忆后端,记忆种子帧,记忆候选采用,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
0000.jpg,A6共识,1.0804565256417418,1.0840221759533404,0.1832055362654321,0,1,0,0.68,0.01345,0.06428,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6702006069059218
0001.jpg,A6共识,1.077063671865289,1.0709370721211058,0.18135223765432099,0,1,0,0.6828,0.01233,0.06405,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6729521153043629
0002.jpg,A6共识,1.0754196469201838,1.05735839522369,0.1772196903935185,0,1,0,0.6923,0.00981,0.06252,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6814141060010296
0003.jpg,A6共识,1.0700485114975928,1.044295961951078,0.1720481288580247,0,1,0,0.7144,0.00523,0.05948,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7033084696070181
0004.jpg,A1s,1.0612059709136137,1.0445558437484848,0.16703498746141976,0,1,1,0.7589,0.00143,0.05069,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.990544207867196
0005.jpg,A1s,1.082302082142346,1.0530174966740986,0.16233181423611112,0,1,1,0.7914,0.00053,0.0417,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9896711292913495
0006.jpg,A1s,1.0792282046042772,1.0435646058905568,0.15846872588734567,0,1,1,0.829,0.00023,0.03203,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.988734989622831
0007.jpg,A1s,1.0813460470902512,1.071376497480132,0.15633427372685185,0,1,1,0.8367,0.00014,0.03008,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9914249470806649
0008.jpg,A6共识,1.0782185269111286,1.0625166502791217,0.16509693287037036,0,1,1,0.807,0.00419,0.03375,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8017829025371327
0009.jpg,A6共识,1.0711661539040342,1.0539966038462911,0.17685124903549382,0,1,1,0.7731,0.0078,0.04116,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7689387663042605
0010.jpg,A6共识,1.0794655066813268,1.0974022454071366,0.19220582561728394,0,1,1,0.776,0.01254,0.03859,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7712195762916383
0011.jpg,A6共识,0.8119028193240236,0.8163653934241443,0.20716700424382717,0,1,1,0.8012,0.01583,0.03002,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7834524312433149
0012.jpg,A6共识,0.7520268508238308,0.758387417392408,0.20135778356481482,0,1,0,0.6656,0.037,0.04354,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6729704023384676
0013.jpg,A6共识,0.7547141552478301,0.8117100759352379,0.19105107060185186,0,1,0,0.6308,0.03828,0.05007,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6299773238538622
0014.jpg,A6共识,0.7854143436999583,0.8123969520480865,0.19278368537808643,0,1,0,0.6805,0.03061,0.0442,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6776144982552914
0015.jpg,A6共识,1.108941262879498,1.0979593127976202,0.18875325520833333,0,1,1,0.7577,0.02576,0.02564,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7548732347020672
0016.jpg,A6共识,1.1214891925119184,1.0855489292455864,0.1775780044367284,0,1,1,0.8054,0.0215,0.01574,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8029620501014979
0017.jpg,A6共识,1.096955625451158,1.0936916537856787,0.16712914737654322,0,1,1,0.7909,0.02047,0.01793,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7890361131065108
0018.jpg,A6共识,1.108521956409757,1.1032757601300742,0.15801842206790123,0,1,1,0.8095,0.01774,0.01486,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8078549798186407
0019.jpg,A6共识,1.1320041086470316,1.1144371500874901,0.1566701630015432,0,1,1,0.852,0.01384,0.01049,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8510878861445385
0020.jpg,A6共识,1.162497974658285,1.1588564871319522,0.16395628375771604,0,1,1,0.8784,0.01367,0.00691,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8737853228813344
0021.jpg,A6共识,1.1533705634356182,1.1272232574884617,0.17983711902006172,0,1,1,0.8296,0.02421,0.00689,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8157418471189982
0022.jpg,A6共识,1.13764629211055,1.1272368213417834,0.15202293113425927,0,1,0,0.7359,0.04194,0.01268,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.867377232063553
0023.jpg,A6共识,1.1198537644190045,1.1538325338346955,0.15109061535493828,0,1,0,0.694,0.04983,0.01558,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8093010113769519
0024.jpg,A6共识,1.1469921057800172,1.1745830894779759,0.15894121334876543,0,1,0,0.7435,0.04519,0.00909,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8748895311674958
0025.jpg,A6共识,1.2869984520899345,1.3134941505175501,0.20111159336419754,0,1,1,0.7947,0.03727,0.0055,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8040796528701039
0026.jpg,A6共识,1.2986960807004417,1.31826837540122,0.19455017843364197,0,1,1,0.8342,0.02971,0.00326,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.840081227266156
0027.jpg,A6共识,0.8402525589546636,0.8248060129268461,0.17091664255401234,0,1,1,0.8582,0.02368,0.00243,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.9077439408361504
0028.jpg,A6共识,0.8076956495810972,0.8103329479846129,0.16762152777777778,0,1,1,0.865,0.01835,0.00483,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8621592477751717
0029.jpg,A6共识,0.7983644998697897,0.800649524008626,0.11904851466049382,0,1,1,0.8584,0.01436,0.01013,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.748670483363958
0030.jpg,A6共识,0.7937702258351463,0.8011889397251774,0.17481517650462963,0,1,1,0.8268,0.01566,0.01716,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8170537998703133
0031.jpg,A6共识,1.0713285205657648,1.0912269501746592,0.185834659529321,0,1,1,0.8223,0.02081,0.01461,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8186773575072785
0032.jpg,A6共识,1.0653613538043814,1.0655334792360887,0.1983521412037037,0,1,1,0.7907,0.03102,0.01304,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7895744892260357
0033.jpg,A6共识,0.994232351949141,0.9545409499750196,0.13912205825617283,0,1,0,0.6369,0.05859,0.0266,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7147793036220105
0034.jpg,A6共识,0.7496574674588107,0.6701819319691563,0.12209563078703704,0,1,0,0.712,0.03556,0.02169,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7107131034143789
0035.jpg,A6共识,0.7369480504955797,0.6665662215474377,0.1590599681712963,0,1,0,0.7204,0.02821,0.02175,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7191954513281803
0036.jpg,A6共识,0.7463462741704732,0.6783662355162541,0.13286807966820988,0,1,0,0.7222,0.02443,0.02204,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7874552150614953
0037.jpg,A6共识,0.9767448359547745,0.9202746215070812,0.10161096643518519,0,1,0,0.6743,0.03255,0.02557,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6883367103263622
0038.jpg,A6共识,0.9689601549712492,0.9251728957854075,0.15118079668209877,0,1,0,0.725,0.02642,0.02018,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7300859956346458
0039.jpg,A6共识,0.9686547146509084,0.9230986812218523,0.15376820505401234,0,1,1,0.7795,0.0212,0.01592,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7794398013937233
0040.jpg,A6共识,0.7587672073514353,0.7286622439846313,0.16020773051697532,0,1,1,0.7986,0.02044,0.01436,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7961904669522212
0041.jpg,A6共识,0.7755448211295397,0.7252341509514734,0.16855770158179012,0,1,1,0.8417,0.01783,0.01019,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.8379556624263949
0042.jpg,A6共识,0.7850622338226754,0.7439002166758756,0.1739283130787037,0,1,1,0.8555,0.0184,0.00751,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.850480032039898
0043.jpg,A6共识,0.7912273700264011,0.7292309560826283,0.17204740547839506,0,1,1,0.796,0.02355,0.01446,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.7975393048377575
0044.jpg,A6共识,0.7559168845120187,0.696722459424667,0.11964216820987654,0,1,0,0.6938,0.03161,0.02831,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6217446247894979
0045.jpg,A6共识,1.0612306365824848,1.0360185200557477,0.10735399787808642,0,1,0,0.6947,0.03328,0.0254,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6620101914643663
0046.jpg,A6共识,1.0478544139601333,1.0700714234771445,0.1108619068287037,0,1,0,0.6889,0.03411,0.02625,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6277411883386623
0047.jpg,A6共识,1.0150775415041464,1.0234115354591533,0.11528899016203703,0,1,0,0.634,0.03699,0.03717,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.58588142899337
0048.jpg,A6共识,0.9973907215871026,1.0466909798108852,0.10304518711419754,0,1,0,0.5932,0.03836,0.04401,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.5811716642443986
0049.jpg,A6共识,1.0209189307522464,1.026915045095202,0.10792016300154321,0,1,0,0.6673,0.03275,0.03178,sam3_video,0068,0,0,sam3_if_supported,1,ok,1,10,0.6526611370056915
