image,mask_stem,registered_points,inside_mask_points,geometry_score,geometry_flag
0197.jpg,,0,0,,missing_mask
0198.jpg,,0,0,,missing_mask
0202.jpg,,0,0,,missing_mask
0187.jpg,,0,0,,missing_mask
0201.jpg,,0,0,,missing_mask
0188.jpg,,0,0,,missing_mask
0189.jpg,,0,0,,missing_mask
0185.jpg,,0,0,,missing_mask
0186.jpg,,0,0,,missing_mask
0184.jpg,,0,0,,missing_mask
0183.jpg,,0,0,,missing_mask
0203.jpg,,0,0,,missing_mask
0196.jpg,,0,0,,missing_mask
0182.jpg,,0,0,,missing_mask
0190.jpg,,0,0,,missing_mask
0200.jpg,,0,0,,missing_mask
0206.jpg,,0,0,,missing_mask
0199.jpg,,0,0,,missing_mask
0209.jpg,,0,0,,missing_mask
0174.jpg,,0,0,,missing_mask
0208.jpg,,0,0,,missing_mask
0177.jpg,,0,0,,missing_mask
0195.jpg,,0,0,,missing_mask
0204.jpg,,0,0,,missing_mask
0207.jpg,,0,0,,missing_mask
0118.jpg,,0,0,,missing_mask
0175.jpg,,0,0,,missing_mask
0194.jpg,,0,0,,missing_mask
0104.jpg,,0,0,,missing_mask
0191.jpg,,0,0,,missing_mask
0173.jpg,,0,0,,missing_mask
0180.jpg,,0,0,,missing_mask
0192.jpg,,0,0,,missing_mask
0205.jpg,,0,0,,missing_mask
0113.jpg,,0,0,,missing_mask
0099.jpg,,0,0,,missing_mask
0193.jpg,,0,0,,missing_mask
0163.jpg,,0,0,,missing_mask
0172.jpg,,0,0,,missing_mask
0091.jpg,,0,0,,missing_mask
0145.jpg,,0,0,,missing_mask
0103.jpg,,0,0,,missing_mask
0170.jpg,,0,0,,missing_mask
0179.jpg,,0,0,,missing_mask
0165.jpg,,0,0,,missing_mask
0107.jpg,,0,0,,missing_mask
0178.jpg,,0,0,,missing_mask
0149.jpg,,0,0,,missing_mask
0140.jpg,,0,0,,missing_mask
0138.jpg,,0,0,,missing_mask
0101.jpg,,0,0,,missing_mask
0157.jpg,,0,0,,missing_mask
0154.jpg,,0,0,,missing_mask
0167.jpg,,0,0,,missing_mask
0160.jpg,,0,0,,missing_mask
0136.jpg,,0,0,,missing_mask
0171.jpg,,0,0,,missing_mask
0141.jpg,,0,0,,missing_mask
0146.jpg,,0,0,,missing_mask
0168.jpg,,0,0,,missing_mask
0152.jpg,,0,0,,missing_mask
0164.jpg,,0,0,,missing_mask
0143.jpg,,0,0,,missing_mask
0142.jpg,,0,0,,missing_mask
0161.jpg,,0,0,,missing_mask
0162.jpg,,0,0,,missing_mask
0147.jpg,,0,0,,missing_mask
0150.jpg,,0,0,,missing_mask
0126.jpg,,0,0,,missing_mask
0139.jpg,,0,0,,missing_mask
0148.jpg,,0,0,,missing_mask
0151.jpg,,0,0,,missing_mask
0144.jpg,,0,0,,missing_mask
0131.jpg,,0,0,,missing_mask
0120.jpg,,0,0,,missing_mask
0134.jpg,,0,0,,missing_mask
0127.jpg,,0,0,,missing_mask
0137.jpg,,0,0,,missing_mask
0128.jpg,,0,0,,missing_mask
0155.jpg,,0,0,,missing_mask
0133.jpg,,0,0,,missing_mask
0135.jpg,,0,0,,missing_mask
0115.jpg,,0,0,,missing_mask
0062.jpg,,0,0,,missing_mask
0064.jpg,,0,0,,missing_mask
0042.jpg,,0,0,,missing_mask
0032.jpg,,0,0,,missing_mask
0022.jpg,,0,0,,missing_mask
0045.jpg,,0,0,,missing_mask
0054.jpg,,0,0,,missing_mask
0061.jpg,,0,0,,missing_mask
0015.jpg,,0,0,,missing_mask
0040.jpg,,0,0,,missing_mask
0058.jpg,,0,0,,missing_mask
0055.jpg,,0,0,,missing_mask
0050.jpg,0050,1945,1263,0.6493573264781491,low
0014.jpg,,0,0,,missing_mask
0057.jpg,,0,0,,missing_mask
0033.jpg,,0,0,,missing_mask
0037.jpg,,0,0,,missing_mask
0043.jpg,,0,0,,missing_mask
0059.jpg,,0,0,,missing_mask
0026.jpg,,0,0,,missing_mask
0048.jpg,,0,0,,missing_mask
0044.jpg,,0,0,,missing_mask
0025.jpg,0025,4163,3803,0.9135239010329089,ok
0031.jpg,,0,0,,missing_mask
0013.jpg,,0,0,,missing_mask
0035.jpg,,0,0,,missing_mask
0024.jpg,,0,0,,missing_mask
0049.jpg,,0,0,,missing_mask
0038.jpg,,0,0,,missing_mask
0039.jpg,,0,0,,missing_mask
0002.jpg,,0,0,,missing_mask
0012.jpg,,0,0,,missing_mask
0011.jpg,,0,0,,missing_mask
