图像,提示词编号,提示词文本,总分,面积得分,连通域得分,边界得分,时序得分,前背景对比得分,下方泄漏得分,侧边泄漏得分,语义门控启用,语义门控总修正,目标框得分,垂直覆盖得分,花盆重叠惩罚,侧边干扰惩罚,中心先验得分,面积比例,连通域数量,边界密度,时序IoU,前背景对比,下方区域占比,侧边区域占比,SAM3原始分数
0000.jpg,P1,green plant,0.7108024526995,0.3756516521136115,1.0,0.6405959429192278,1.0,0.5377646684646606,1.0,0.5475977490621092,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15838240258487654,1,11.220928295079418,1.0,0.13444116711616516,0.0,0.007304631925260736,
0000.jpg,P2,entire plant excluding pot,0.7563640091851446,0.543769961615096,1.0,0.6589078118382452,1.0,0.5791422724723816,0.595855357770605,0.7710083738240463,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22478913483796295,1,10.35325980458976,1.0,0.1447855681180954,0.033565192859606185,0.00518801109793504,
0000.jpg,P3,leaves and stems,0.7247291577313253,0.410872609489764,1.0,0.6466769925289841,1.0,0.5660961866378784,1.0,0.17753661718119138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1722946807484568,1,10.927341209071384,1.0,0.1415240466594696,0.0,0.02253056334805375,
0000.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0000.jpg,P5,plant body without background,0.7100367011765616,0.3753067495897796,1.0,0.6393174000804125,1.0,0.535559356212616,1.0,0.5427714256176988,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15824616608796296,1,11.28336566075697,1.0,0.133889839053154,0.0,0.007369584711368725,
0025.jpg,P1,green plant,0.5596564242493941,0.6312384625527425,1.0,0.6930256019309996,0.32569590665203,0.14832215011119843,0.9870204418748709,0.30931631735988785,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25933919270833333,1,8.858962705379648,0.32569590665203,0.037080537527799606,0.020263004849230357,0.012931745839150225,
0025.jpg,P2,entire plant excluding pot,0.6713168871022747,0.9012309052195655,1.0,0.7074620819586345,0.39331968863239836,0.35457175970077515,0.09079528681261656,0.26419233698135375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3659862075617284,1,8.270066354127804,0.39331968863239836,0.08864293992519379,0.22027575111113454,0.015140484564025463,
0025.jpg,P3,leaves and stems,0.5578175435974224,0.6321440605954055,1.0,0.6942049937897172,0.3143093890429681,0.148429274559021,0.9909281196089708,0.3091539289558665,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2596969039351852,1,8.809933922858285,0.3143093890429681,0.03710731863975525,0.020183098656936068,0.012938538460467124,
0025.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0025.jpg,P5,plant body without background,0.5591677514952138,0.6316789000234411,1.0,0.6930805590597904,0.3227890069642716,0.14829029142856598,0.9788122413714703,0.30902390352451364,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25951316550925924,1,8.856674362834996,0.3227890069642716,0.037072572857141495,0.02043292794538087,0.012943982502255511,
0050.jpg,P1,green plant,0.5342290885805985,0.3637415269964056,1.0,0.7160772165700807,0.5172748721441994,0.07405182719230652,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15367790316358024,1,7.929948806076346,0.5172748721441994,0.01851295679807663,0.0,0.002845451279001715,
0050.jpg,P2,entire plant excluding pot,0.593699449274176,0.5524489910532895,1.0,0.7247017519077531,0.5698032077283607,0.12154329568147659,0.08139079211858667,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22821735146604938,1,7.597559889086329,0.5698032077283607,0.030385823920369148,0.24572804219499336,0.0018817428679198235,
0050.jpg,P3,leaves and stems,0.5347275391559807,0.36470023392326933,1.0,0.7163500356899616,0.518539495628018,0.07404793053865433,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15405659239969136,1,7.919311793900797,0.518539495628018,0.018511982634663582,0.0,0.003074799245895507,
0050.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0050.jpg,P5,plant body without background,0.3904761904761905,0.0,1.0,0.9523809523809523,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,
0075.jpg,P1,green plant,0.6060160054696915,0.5477970801101735,1.0,0.7411615312133453,0.30092081897713285,0.4402005970478058,1.0,0.10254829944976175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2263798466435185,1,6.984670895234237,0.30092081897713285,0.11005014926195145,0.0,0.039006010060260374,
0075.jpg,P2,entire plant excluding pot,0.6431032756485802,0.6204271419362399,1.0,0.7548425173683985,0.30742852073422194,0.5328181982040405,1.0,0.11452927324401135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2550687210648148,1,6.495592841969001,0.30742852073422194,0.13320454955101013,0.0,0.0349255686926238,
0075.jpg,P3,leaves and stems,0.3904761904761905,0.0,1.0,0.9523809523809523,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,
