image,label,x,y,source
0000.jpg,1,1275,1805,distance_transform
0000.jpg,1,1147,1368,distance_transform
0000.jpg,1,1295,1890,distance_transform
0000.jpg,1,1152,1282,distance_transform
0000.jpg,1,1314,1974,distance_transform
0000.jpg,0,766,582,outer_ring
0000.jpg,0,2159,753,outer_ring
0000.jpg,0,251,869,outer_ring
0000.jpg,0,1821,1148,outer_ring
0000.jpg,0,1770,1410,outer_ring
0000.jpg,0,2069,1651,outer_ring
0000.jpg,0,919,1984,outer_ring
0000.jpg,0,1327,2537,outer_ring
0025.jpg,1,1155,1869,distance_transform
0025.jpg,1,1098,1935,distance_transform
0025.jpg,1,1044,2003,distance_transform
0025.jpg,1,1156,1783,distance_transform
0025.jpg,1,1004,2080,distance_transform
0025.jpg,0,1035,799,outer_ring
0025.jpg,0,220,986,outer_ring
0025.jpg,0,760,1270,outer_ring
0025.jpg,0,44,1602,outer_ring
0025.jpg,0,90,1887,outer_ring
0025.jpg,0,1975,2387,outer_ring
0025.jpg,0,647,2686,outer_ring
0025.jpg,0,1077,3200,outer_ring
0050.jpg,1,880,1838,distance_transform
0050.jpg,1,796,1817,distance_transform
0050.jpg,1,950,1788,distance_transform
0050.jpg,1,910,1919,distance_transform
0050.jpg,1,856,1755,distance_transform
0050.jpg,0,1368,957,outer_ring
0050.jpg,0,752,1261,outer_ring
0050.jpg,0,292,1540,outer_ring
0050.jpg,0,1832,1822,outer_ring
0050.jpg,0,1520,1959,outer_ring
0050.jpg,0,340,2295,outer_ring
0050.jpg,0,1499,2716,outer_ring
0050.jpg,0,1095,3077,outer_ring
0075.jpg,1,543,1216,distance_transform
0075.jpg,1,533,1130,distance_transform
0075.jpg,1,526,1301,distance_transform
0075.jpg,1,514,1388,distance_transform
0075.jpg,1,514,1475,distance_transform
0075.jpg,0,8,276,outer_ring
0075.jpg,0,166,401,outer_ring
0075.jpg,0,1296,558,outer_ring
0075.jpg,0,1121,963,outer_ring
0075.jpg,0,1146,1402,outer_ring
0075.jpg,0,0,1832,outer_ring
0075.jpg,0,334,2132,outer_ring
0075.jpg,0,661,2390,outer_ring
0100.jpg,1,1146,1665,distance_transform
0100.jpg,1,1169,1748,distance_transform
0100.jpg,1,1132,1580,distance_transform
0100.jpg,1,1232,1659,distance_transform
0100.jpg,1,1061,1682,distance_transform
0100.jpg,0,995,381,outer_ring
0100.jpg,0,903,716,outer_ring
0100.jpg,0,469,1126,outer_ring
0100.jpg,0,2153,1322,outer_ring
0100.jpg,0,2053,1790,outer_ring
0100.jpg,0,568,2079,outer_ring
0100.jpg,0,1815,2467,outer_ring
0100.jpg,0,1450,2706,outer_ring
