图像,COLMAP图像,后端,接受,原因,注册点数,掩膜内点数,正修正点支撑像素,负修正删除像素,几何修正像素,几何修正像素比例,修正前后IoU,正提示框xyxy,负提示框xyxy
0000.jpg,0000.jpg,colmap_tracks,1,ok,3808,1717,421422,0,141491,0.01705861786265432,0.8508602170938766,"0,1,2078,3840",
0001.jpg,0001.jpg,colmap_tracks,1,ok,3915,1772,418004,0,145029,0.017485170717592594,0.8480318293937787,"0,0,2124,3840",
0002.jpg,0002.jpg,colmap_tracks,1,ok,4481,1999,467848,0,154540,0.01863184799382716,0.8389522202688438,"0,0,2133,3814",
0003.jpg,0003.jpg,colmap_tracks,1,ok,2632,1326,300983,0,85626,0.010323350694444445,0.9036558046066896,"0,0,2154,3816",
0004.jpg,0004.jpg,colmap_tracks,1,ok,4905,2193,502233,0,145662,0.017561487268518517,0.8444230830850076,"0,0,2160,3836",
0005.jpg,0005.jpg,colmap_tracks,1,ok,4683,2124,485947,0,143640,0.017317708333333334,0.8457668012073225,"0,0,2160,3840",
0006.jpg,0006.jpg,colmap_tracks,1,ok,2814,1058,393159,0,75601,0.009114703896604938,0.9125945434743903,"0,0,2160,3806",
0007.jpg,0007.jpg,colmap_tracks,1,ok,842,221,161577,0,5230,0.0006305459104938272,0.9935211818949862,"0,0,2160,3833",
0008.jpg,0008.jpg,colmap_tracks,1,ok,4035,1897,396033,0,132295,0.015949918016975307,0.8563394383235275,"0,0,2160,3840",
0009.jpg,0009.jpg,colmap_tracks,1,ok,950,277,177201,0,6268,0.0007556905864197531,0.9924622873855152,"0,0,2160,3814",
0010.jpg,0010.jpg,colmap_tracks,1,ok,951,282,176372,0,3620,0.00043643904320987654,0.9957863860694665,"0,0,2160,3821",
0011.jpg,0011.jpg,colmap_tracks,1,ok,3286,1327,396108,0,142409,0.017169294945987654,0.8569143479514625,"0,0,2160,3840",
0012.jpg,0012.jpg,colmap_tracks,1,ok,3130,1239,376676,0,149553,0.018030598958333335,0.8504232172915493,"0,0,2160,3836",
0013.jpg,0013.jpg,colmap_tracks,1,ok,2739,1024,372378,0,101151,0.012195095486111111,0.8922702684856108,"0,0,2157,3794",
0014.jpg,0014.jpg,colmap_tracks,1,ok,1485,510,246303,0,22938,0.0027654803240740743,0.9742240990851792,"0,0,2159,3747",
0015.jpg,0015.jpg,colmap_tracks,1,ok,1459,433,248710,0,40408,0.004871720679012346,0.9563089212710721,"0,0,2160,3700",
0016.jpg,0016.jpg,colmap_tracks,1,ok,2414,775,345973,0,112059,0.013510199652777779,0.8892063740025172,"0,0,2160,3667",
0017.jpg,0017.jpg,colmap_tracks,1,ok,680,198,127084,0,3026,0.00036482445987654323,0.9967573348421478,"0,0,2156,3779",
0018.jpg,0018.jpg,colmap_tracks,1,ok,1870,524,313333,0,85192,0.0102710262345679,0.9140947285309928,"0,0,2160,3840",
0019.jpg,0019.jpg,colmap_tracks,1,ok,2331,690,354355,0,131255,0.015824532214506172,0.8729130700418378,"0,0,2160,3816",
0020.jpg,0020.jpg,colmap_tracks,1,ok,1873,498,324667,0,52644,0.00634693287037037,0.9417048701082984,"0,0,2137,3840",
0021.jpg,0021.jpg,colmap_tracks,1,ok,3028,1021,410124,0,163375,0.01969702449845679,0.8276925835302059,"0,0,2140,3840",
0022.jpg,0022.jpg,colmap_tracks,1,ok,3250,1167,416079,0,154316,0.018604841820987653,0.8257507579564253,"0,0,2160,3840",
0023.jpg,0023.jpg,colmap_tracks,1,ok,2386,817,348649,0,110350,0.013304157021604939,0.8601025365368817,"0,0,2144,3840",
0024.jpg,0024.jpg,colmap_tracks,1,ok,1314,387,234294,0,20675,0.0024926456404320988,0.9698866251463794,"0,0,2134,3840",
0025.jpg,0025.jpg,colmap_tracks,1,ok,1152,391,191609,0,24937,0.0030064863040123457,0.9650959347408614,"0,0,2157,3782",
0026.jpg,0026.jpg,colmap_tracks,1,ok,2443,809,336423,0,132716,0.01600067515432099,0.8445380513723983,"0,0,2160,3786",
0027.jpg,0027.jpg,colmap_tracks,1,ok,993,388,155247,0,13253,0.0015978250385802468,0.9834984155839305,"0,0,2143,3818",
0028.jpg,0028.jpg,colmap_tracks,1,ok,838,56,203729,0,1254,0.0001511863425925926,0.9975012503711261,"0,5,2150,3618",
0029.jpg,0029.jpg,colmap_tracks,1,ok,1714,71,388636,0,5775,0.0006962528935185185,0.9890114281147606,"0,0,2160,3729",
0030.jpg,0030.jpg,colmap_tracks,1,ok,2477,83,519538,0,5586,0.0006734664351851851,0.9889261146244276,"0,15,2143,3771",
0031.jpg,0031.jpg,colmap_tracks,1,ok,2271,65,492608,0,4450,0.0005365065586419753,0.989358114975404,"0,50,2160,3800",
0032.jpg,0032.jpg,colmap_tracks,1,ok,2655,1144,332142,0,120397,0.014515456211419753,0.8907583230803291,"0,43,2160,3802",
0033.jpg,0033.jpg,colmap_tracks,1,ok,2256,639,374575,0,9808,0.0011824845679012346,0.9872847297486504,"0,176,2160,3795",
0034.jpg,0034.jpg,colmap_tracks,1,ok,2607,641,428771,0,11773,0.0014193913966049382,0.9671320608278823,"0,0,2160,3818",
0035.jpg,0035.jpg,colmap_tracks,1,ok,2027,685,295017,0,90816,0.010949074074074075,0.89898524754821,"0,97,2156,3840",
0036.jpg,0036.jpg,colmap_tracks,1,ok,2540,997,315941,0,159356,0.019212480709876543,0.8284866168631076,"0,49,2136,3840",
0037.jpg,0037.jpg,colmap_tracks,1,ok,2680,1256,292436,0,129846,0.015654658564814815,0.8453976860732184,"0,20,2160,3822",
0038.jpg,0038.jpg,colmap_tracks,1,ok,2904,1277,318884,0,137816,0.016615547839506174,0.830858898943175,"0,0,2153,3840",
0039.jpg,0039.jpg,colmap_tracks,1,ok,2218,9,461454,0,1465,0.00017662519290123456,0.9954103578667719,"0,0,2155,3840",
0040.jpg,0040.jpg,colmap_tracks,1,ok,1443,19,327720,0,1808,0.00021797839506172839,0.9968778061753125,"0,0,2131,3840",
0041.jpg,0041.jpg,colmap_tracks,1,ok,1828,14,404902,0,894,0.00010778356481481481,0.9969300188525688,"0,0,2160,3804",
0042.jpg,0042.jpg,colmap_tracks,1,ok,2250,9,477221,0,1098,0.00013237847222222223,0.9957929744973026,"0,0,2123,3840",
0043.jpg,0043.jpg,colmap_tracks,1,ok,2341,884,305064,0,112398,0.013551070601851851,0.8502220723824042,"0,0,2133,3840",
0044.jpg,0044.jpg,colmap_tracks,1,ok,983,122,214303,0,2516,0.0003033371913580247,0.9885808170434482,"0,59,2140,3840",
0045.jpg,0045.jpg,colmap_tracks,1,ok,2253,331,392380,0,10859,0.0013091965663580246,0.9519615302944507,"0,73,2143,3840",
0046.jpg,0046.jpg,colmap_tracks,1,ok,2051,352,367131,0,9821,0.0011840518904320987,0.9590335915372519,"0,175,2160,3802",
0047.jpg,0047.jpg,colmap_tracks,1,ok,2654,460,437892,0,14707,0.0017731240354938271,0.944690357009887,"0,97,2160,3817",
0048.jpg,0048.jpg,colmap_tracks,1,ok,2701,458,438090,0,13993,0.0016870418595679012,0.9500474786346145,"0,69,2160,3828",
0049.jpg,0049.jpg,colmap_tracks,1,ok,2323,849,293100,0,122149,0.014726683063271606,0.8433223878299685,"0,237,2160,3840",
0050.jpg,0050.jpg,colmap_tracks,1,ok,2110,304,356101,0,5626,0.0006782889660493827,0.9799780776676916,"0,206,2134,3787",
0051.jpg,0051.jpg,colmap_tracks,1,ok,2818,631,397827,0,21948,0.0026461226851851854,0.9173529444990455,"0,0,2157,3805",
0052.jpg,0052.jpg,colmap_tracks,1,ok,3050,676,430483,0,30638,0.0036938175154320988,0.8873627787622332,"0,0,2159,3840",
0053.jpg,0053.jpg,colmap_tracks,1,ok,2523,641,370729,0,23250,0.0028030960648148147,0.9158313150949748,"0,0,2158,3834",
0054.jpg,0054.jpg,colmap_tracks,1,ok,2723,850,361519,0,128580,0.015502025462962962,0.8258537675476911,"0,0,2155,3840",
0055.jpg,0055.jpg,colmap_tracks,1,ok,1187,326,216419,0,13615,0.0016414689429012346,0.9793489653247666,"3,0,2160,3791",
0056.jpg,0056.jpg,colmap_tracks,1,ok,2075,607,329513,0,92980,0.01120997299382716,0.8770860212779458,"0,96,2160,3840",
0057.jpg,0057.jpg,colmap_tracks,1,ok,2118,684,321890,0,96084,0.011584201388888889,0.8735267559805086,"0,86,2160,3840",
0058.jpg,0058.jpg,colmap_tracks,1,ok,2217,737,327100,0,108761,0.013112581983024691,0.8564364734596036,"0,67,2160,3840",
0059.jpg,0059.jpg,colmap_tracks,1,ok,3032,915,441565,0,113140,0.013640528549382715,0.8486880907069024,"0,60,2160,3840",
0060.jpg,0060.jpg,colmap_tracks,1,ok,3078,926,448468,0,105284,0.01269338348765432,0.8538181070941621,"0,64,2160,3840",
