image,mask_stem,registered_points,inside_mask_points,geometry_score,geometry_flag
0007.jpg,0007,842,243,0.28859857482185275,low
0009.jpg,0009,950,301,0.31751054852320676,low
0014.jpg,0014,1485,607,0.40875420875420876,low
0017.jpg,0017,680,210,0.30927835051546393,low
0010.jpg,0010,951,299,0.31440588853838064,low
0015.jpg,0015,1459,620,0.4249485949280329,low
0006.jpg,0006,2814,1431,0.5085287846481876,low
0003.jpg,0003,2632,1734,0.6588145896656535,low
0018.jpg,0018,1870,923,0.49358288770053477,low
0001.jpg,0001,3915,2696,0.6886334610472542,low
0020.jpg,0020,1873,739,0.394554191137213,low
0028.jpg,0028,838,60,0.07159904534606205,low
0024.jpg,0024,1314,473,0.3599695585996956,low
0000.jpg,0000,3808,2551,0.6699054621848739,low
0023.jpg,0023,2386,1396,0.5850796311818944,low
0027.jpg,0027,993,446,0.44914400805639476,low
0013.jpg,0013,2739,1575,0.5750273822562979,low
0002.jpg,0002,4481,3071,0.6854910714285715,low
0005.jpg,0005,4683,3145,0.6715780482596626,low
0019.jpg,0019,2331,1369,0.5873015873015873,low
0012.jpg,0012,3130,2158,0.689677213167146,low
0029.jpg,0029,1714,95,0.05542590431738623,low
0008.jpg,0008,4035,2906,0.7201982651796778,ok
0004.jpg,0004,4905,3284,0.6696574225122349,low
0044.jpg,0044,983,133,0.1353001017293998,low
0022.jpg,0022,3250,2105,0.6476923076923077,low
0025.jpg,0025,1152,497,0.4314236111111111,low
0026.jpg,0026,2443,1594,0.6524764633647155,low
0016.jpg,0016,2414,1357,0.5621375310687655,low
0041.jpg,0041,1828,18,0.009846827133479213,low
0035.jpg,0035,2027,1117,0.5510606808090774,low
0011.jpg,0011,3286,2218,0.674984783931832,low
0036.jpg,0036,2540,1838,0.7236220472440945,ok
0055.jpg,0055,1187,387,0.3263069139966273,low
0021.jpg,0021,3028,1947,0.642998678996037,low
0040.jpg,0040,1443,29,0.020097020097020097,low
0062.jpg,0062,1158,386,0.3333333333333333,low
0048.jpg,0048,2701,527,0.1951129211403184,low
0032.jpg,0032,2655,1731,0.6519774011299435,low
0030.jpg,0030,2477,109,0.04400484457004441,low
0039.jpg,0039,2218,16,0.007213706041478809,low
0045.jpg,0045,2253,381,0.16910785619174434,low
0058.jpg,0058,2217,1298,0.5854758682904826,low
0031.jpg,0031,2271,88,0.038749449581682076,low
0043.jpg,0043,2341,1502,0.6416061512174285,low
0057.jpg,0057,2118,1199,0.5663675011809164,low
