图像,选择提示词,选择分数,前景面积比例,恢复细结构像素,A5c接受,A5c原因,A5c修正像素比例,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU,几何分数,几何标记
0000.jpg,P2,1.0237189121457453,0.11438006365740741,3,1,ok,0.01705861786265432,1,sam3_if_supported,1,ok,1,9,0.9840750325498654,0.6699054621848739,low
0001.jpg,P2,0.9898637562146251,0.11505811149691358,1,1,ok,0.017485170717592594,1,sam3_if_supported,1,ok,1,9,0.9831967765093431,0.6886334610472542,low
0002.jpg,P2,0.9944258908951036,0.11569143036265432,2,1,ok,0.01863184799382716,1,sam3_if_supported,1,ok,1,9,0.9846866844460785,0.6854910714285715,low
0003.jpg,P2,0.9864846457287821,0.1071507282021605,5,1,ok,0.010323350694444445,1,sam3_if_supported,1,ok,1,9,0.9903055386427505,0.6588145896656535,low
0004.jpg,P2,1.0122498865783127,0.11287977430555556,2,1,ok,0.017561487268518517,1,sam3_if_supported,1,ok,1,9,0.9913181071348616,0.6696574225122349,low
0005.jpg,P2,1.0168009159160298,0.1122826244212963,3,1,ok,0.017317708333333334,1,sam3_if_supported,1,ok,1,9,0.9926531068168202,0.6715780482596626,low
0006.jpg,P2,1.0067715182004777,0.10428071952160493,2,1,ok,0.009114703896604938,1,sam3_if_supported,1,ok,1,9,0.9915626247078274,0.5085287846481876,low
0007.jpg,P2,0.9804350511017277,0.09732421875,3,1,ok,0.0006305459104938272,1,sam3_if_supported,1,ok,1,9,0.9908409959513463,0.28859857482185275,low
0008.jpg,P2,0.987581476850843,0.11102502893518519,7,1,ok,0.015949918016975307,0,sam3_if_supported,1,ok,1,9,0.9946330175241166,0.7201982651796778,ok
0009.jpg,P2,1.0364060905846004,0.10025462962962962,1,1,ok,0.0007556905864197531,1,sam3_if_supported,1,ok,1,9,0.9939674550193294,0.31751054852320676,low
0010.jpg,P2,1.0250101917182772,0.10357831790123456,3,1,ok,0.00043643904320987654,1,sam3_if_supported,1,ok,1,9,0.9938823666841891,0.31440588853838064,low
0011.jpg,P2,1.0531906213533335,0.11999312789351851,3,1,ok,0.017169294945987654,1,sam3_if_supported,1,ok,1,9,0.994586634368599,0.674984783931832,low
0012.jpg,P2,1.0620366494283031,0.12054410204475309,1,1,ok,0.018030598958333335,1,sam3_if_supported,1,ok,1,9,0.993719226739325,0.689677213167146,low
0013.jpg,P2,1.0511464329413571,0.1132008342978395,5,1,ok,0.012195095486111111,1,sam3_if_supported,1,ok,1,9,0.9920028837362527,0.5750273822562979,low
0014.jpg,P2,1.0614318830128986,0.10728937596450618,1,1,ok,0.0027654803240740743,1,sam3_if_supported,1,ok,1,9,0.9908682803946582,0.40875420875420876,low
0015.jpg,P2,1.0462265842279224,0.11150378568672839,4,1,ok,0.004871720679012346,1,sam3_if_supported,1,ok,1,9,0.9909141274238227,0.4249485949280329,low
0016.jpg,P2,1.070328064215678,0.12194022472993828,2,1,ok,0.013510199652777779,1,sam3_if_supported,1,ok,1,9,0.990231964437012,0.5621375310687655,low
0017.jpg,P2,1.0550311030968609,0.11250759548611111,3,1,ok,0.00036482445987654323,1,sam3_if_supported,1,ok,1,9,0.9835296621968119,0.30927835051546393,low
0018.jpg,P2,1.026053921306353,0.11956223476080247,5,1,ok,0.0102710262345679,1,sam3_if_supported,1,ok,1,9,0.9818456599798125,0.49358288770053477,low
0019.jpg,P2,1.0537429264973586,0.12451738522376543,4,1,ok,0.015824532214506172,1,sam3_if_supported,1,ok,1,9,0.9838421282646843,0.5873015873015873,low
0020.jpg,P2,1.0553037485225318,0.10887586805555556,4,1,ok,0.00634693287037037,1,sam3_if_supported,1,ok,1,9,0.985548249327388,0.394554191137213,low
0021.jpg,P2,1.040860811548942,0.11431327160493827,0,1,ok,0.01969702449845679,1,sam3_if_supported,1,ok,1,9,0.9892148805086743,0.642998678996037,low
0022.jpg,P2,1.0396387517658958,0.10677143614969135,0,1,ok,0.018604841820987653,1,sam3_if_supported,1,ok,1,9,0.9887390621218151,0.6476923076923077,low
0023.jpg,P2,1.0321345852784791,0.09509934413580247,2,1,ok,0.013304157021604939,1,sam3_if_supported,1,ok,1,9,0.9876010034756103,0.5850796311818944,low
0024.jpg,P2,1.0227747784363597,0.08277536651234568,6,1,ok,0.0024926456404320988,1,sam3_if_supported,1,ok,1,9,0.9877145486951024,0.3599695585996956,low
0025.jpg,P2,1.0166036122467657,0.08613570601851851,1,1,ok,0.0030064863040123457,1,sam3_if_supported,1,ok,1,9,0.9875925842667297,0.4314236111111111,low
0026.jpg,P2,1.0404459345047121,0.10292341820987655,2,1,ok,0.01600067515432099,1,sam3_if_supported,1,ok,1,9,0.9928750943145,0.6524764633647155,low
0027.jpg,P2,1.0054659757635238,0.09682858314043209,3,1,ok,0.0015978250385802468,1,sam3_if_supported,1,ok,1,9,0.9878424878652761,0.44914400805639476,low
0028.jpg,P1,0.9893241134386563,0.060504798418209875,8,1,ok,0.0001511863425925926,1,sam3_if_supported,1,ok,1,9,0.962820392451413,0.07159904534606205,low
0029.jpg,P1,0.7944053246603447,0.06336154513888889,13,1,ok,0.0006962528935185185,1,sam3_if_supported,1,ok,1,9,0.9793366012065994,0.05542590431738623,low
0030.jpg,P3,1.0448560446188844,0.06081573109567901,6,1,ok,0.0006734664351851851,1,sam3_if_supported,1,ok,1,9,0.9547013482249083,0.04400484457004441,low
0031.jpg,P3,1.0184009710755046,0.050414617091049385,6,1,ok,0.0005365065586419753,1,sam3_if_supported,1,ok,1,9,0.940617752089239,0.038749449581682076,low
0032.jpg,P2,1.0105665939199782,0.13287471064814815,4,1,ok,0.014515456211419753,1,sam3_if_supported,1,ok,1,9,0.9904718443714209,0.6519774011299435,low
0033.jpg,P1,0.6803124342871252,0.09299720293209876,18,1,ok,0.0011824845679012346,1,sam3_if_supported,1,ok,1,9,0.9071937510718907,0.3042128603104213,low
0034.jpg,P4,0.6764245567575856,0.04318467881944445,2,1,ok,0.0014193913966049382,1,sam3_if_supported,1,ok,1,9,0.9927626286363466,0.2669735327963176,low
0035.jpg,P2,0.9554898137006781,0.10839084201388889,0,1,ok,0.010949074074074075,1,sam3_if_supported,1,ok,1,9,0.9938098189334926,0.5510606808090774,low
0036.jpg,P2,0.9105283875957413,0.11201738522376543,7,1,ok,0.019212480709876543,0,sam3_if_supported,1,ok,1,9,0.981141524620967,0.7236220472440945,ok
0037.jpg,P2,0.6753124550977468,0.10125759548611112,4,1,ok,0.015654658564814815,0,sam3_if_supported,1,ok,1,9,0.9878295917519502,0.7380597014925373,ok
0038.jpg,P2,0.6683511002207106,0.0982348331404321,1,1,ok,0.016615547839506174,0,sam3_if_supported,1,ok,1,9,0.9865714610681678,0.7296831955922864,ok
0039.jpg,P1,0.796767838836621,0.03848343460648148,4,1,ok,0.00017662519290123456,1,sam3_if_supported,1,ok,1,9,0.9862081335196163,0.007213706041478809,low
0040.jpg,P1,0.9953552545151988,0.06981577932098765,18,1,ok,0.00021797839506172839,1,sam3_if_supported,1,ok,1,9,0.9674416045151494,0.020097020097020097,low
0041.jpg,P3,0.8764026926665656,0.03510886863425926,14,1,ok,0.00010778356481481481,1,sam3_if_supported,1,ok,1,9,0.9780645516141341,0.009846827133479213,low
0042.jpg,P1,0.9659945326096216,0.03146604938271605,3,1,ok,0.00013237847222222223,1,sam3_if_supported,1,ok,1,9,0.9861653408611472,0.0057777777777777775,low
0043.jpg,P2,0.819685584210178,0.09047441647376543,2,1,ok,0.013551070601851851,1,sam3_if_supported,1,ok,1,9,0.9887576347931847,0.6416061512174285,low
0044.jpg,P1,0.6482609086065886,0.026563826195987655,3,1,ok,0.0003033371913580247,1,sam3_if_supported,1,ok,1,9,0.982654403306891,0.1353001017293998,low
0045.jpg,P1,0.7243691755125719,0.027253086419753086,10,1,ok,0.0013091965663580246,1,sam3_if_supported,1,ok,1,9,0.9825102642017118,0.16910785619174434,low
0046.jpg,P1,0.6884569992888306,0.028902994791666668,2,1,ok,0.0011840518904320987,1,sam3_if_supported,1,ok,1,9,0.9874565762757553,0.19307654802535348,low
0047.jpg,P1,0.9606826583741124,0.032058135609567905,3,1,ok,0.0017731240354938271,1,sam3_if_supported,1,ok,1,9,0.9827307542257502,0.199698568198945,low
0048.jpg,P3,1.0051912312115834,0.03377290702160494,6,1,ok,0.0016870418595679012,1,sam3_if_supported,1,ok,1,9,0.9680272645632071,0.1951129211403184,low
0049.jpg,P2,0.8349141140861633,0.09399353780864197,1,1,ok,0.014726683063271606,1,sam3_if_supported,1,ok,1,9,0.9868283163820153,0.673697804563065,low
0050.jpg,P4,0.9038787012723295,0.03387731481481481,6,1,ok,0.0006782889660493827,1,sam3_if_supported,1,ok,1,9,0.9660466146466865,0.15497630331753554,low
0051.jpg,P1,0.682504001504166,0.03201714409722222,7,1,ok,0.0026461226851851854,1,sam3_if_supported,1,ok,1,9,0.9522566344436919,0.2721788502484031,low
0052.jpg,P3,0.6626362230400622,0.03279393325617284,4,1,ok,0.0036938175154320988,1,sam3_if_supported,1,ok,1,9,0.9629776938119387,0.28524590163934427,low
0053.jpg,P1,0.6724562660369586,0.033303313078703704,5,1,ok,0.0028030960648148147,1,sam3_if_supported,1,ok,1,9,0.9697873971866391,0.3135156559651209,low
0054.jpg,P2,0.9021587478642511,0.08901728877314814,1,1,ok,0.015502025462962962,1,sam3_if_supported,1,ok,1,9,0.9914344050576862,0.6309217774513405,low
0055.jpg,P2,0.8853304922173736,0.07948603877314815,3,1,ok,0.0016414689429012346,1,sam3_if_supported,1,ok,1,9,0.9889108125772449,0.3263069139966273,low
0056.jpg,P2,0.8959272806553695,0.09120177469135803,1,1,ok,0.01120997299382716,1,sam3_if_supported,1,ok,1,9,0.9921083489327582,0.5241080038572806,low
0057.jpg,P2,0.9319014334609754,0.09159408757716049,1,1,ok,0.011584201388888889,1,sam3_if_supported,1,ok,1,9,0.9913883254926661,0.5663675011809164,low
0058.jpg,P2,0.9540228863467072,0.09133644386574075,1,1,ok,0.013112581983024691,1,sam3_if_supported,1,ok,1,9,0.9914768348694554,0.5854758682904826,low
0059.jpg,P2,0.9974900881036327,0.09014841338734568,2,1,ok,0.013640528549382715,1,sam3_if_supported,1,ok,1,9,0.99427188306132,0.5138522427440633,low
0060.jpg,P2,1.0448881271084642,0.08683280285493827,3,1,ok,0.01269338348765432,1,sam3_if_supported,1,ok,1,9,0.9939913325581963,0.49772579597141,low
0061.jpg,P2,1.00633758914255,0.08180338541666667,3,1,ok,0.010530357831790123,1,sam3_if_supported,1,ok,1,9,0.9924945320204543,0.46404715127701374,low
0062.jpg,P2,0.9976045824456388,0.07078498746141976,1,1,ok,0.0022095630787037036,1,sam3_if_supported,1,ok,1,9,0.9902881897073095,0.3333333333333333,low
0063.jpg,P2,1.0084789873803093,0.07371672453703704,1,1,ok,0.006731168016975308,1,sam3_if_supported,1,ok,1,9,0.9903816560326131,0.4666666666666667,low
0064.jpg,P2,0.7512655084032431,0.07303264853395061,3,1,ok,0.005275487075617284,1,sam3_if_supported,1,ok,1,9,0.9913168341319593,0.4056482670089859,low
0065.jpg,P2,1.0370795848453234,0.0790014949845679,2,1,ok,0.010144675925925927,1,sam3_if_supported,1,ok,1,9,0.9921751067190077,0.4925438596491228,low
0066.jpg,P2,1.0234286178208791,0.07624059606481481,3,1,ok,0.004955271026234568,1,sam3_if_supported,1,ok,1,9,0.9893840302124716,0.3831258644536653,low
0067.jpg,P2,1.0294176204703602,0.08280140817901234,3,1,ok,0.00958791473765432,1,sam3_if_supported,1,ok,1,9,0.9890608069610352,0.4952107279693487,low
0068.jpg,P2,1.046904830482783,0.08241162712191358,6,1,ok,0.008698519483024691,1,sam3_if_supported,1,ok,1,9,0.9903370264603226,0.45723053317990026,low
0069.jpg,P2,1.031994881460971,0.08250626929012346,5,1,ok,0.007901234567901235,1,sam3_if_supported,1,ok,1,9,0.9864141149701683,0.46410684474123537,low
0070.jpg,P2,1.0208744493344837,0.07181520061728396,4,0,missing_colmap_observation,0.0,0,sam3_if_supported,1,ok,1,9,0.985681525155121,,
0071.jpg,P2,1.0241499257227857,0.07871624228395062,1,1,ok,0.011231433256172839,1,sam3_if_supported,1,ok,1,9,0.9845608543875257,0.46078813889972686,low
0072.jpg,P2,0.999755158758693,0.06619261188271605,3,0,missing_colmap_observation,0.0,0,sam3_if_supported,1,ok,1,9,0.9858477163277647,,
0073.jpg,P2,0.9949458758692726,0.06929494598765432,0,1,ok,0.0015042679398148148,1,sam3_if_supported,1,ok,1,9,0.9907840166179368,0.25156110615521854,low
0074.jpg,P2,0.9746985422285387,0.07249843267746914,6,1,ok,0.004006799768518519,1,sam3_if_supported,1,ok,1,9,0.9911110172340654,0.316622691292876,low
0075.jpg,P2,0.9802508340493835,0.07442298418209876,6,1,ok,0.004041401427469136,1,sam3_if_supported,1,ok,1,9,0.9898573589391767,0.3670774647887324,low
0076.jpg,P2,0.9643418156788495,0.07588288483796296,5,1,ok,0.005103804976851852,1,sam3_if_supported,1,ok,1,9,0.9917590887643913,0.325085910652921,low
0077.jpg,P2,0.9715930072434589,0.0790844425154321,6,1,ok,0.007901475694444444,1,sam3_if_supported,1,ok,1,9,0.9926682914189032,0.402104032729398,low
0078.jpg,P1,0.6774852369539835,0.03018506462191358,10,1,ok,0.0005554349922839506,1,sam3_if_supported,1,ok,1,9,0.933553008479569,0.13312532501300053,low
0079.jpg,P1,0.8935388153931734,0.028867066936728396,2,1,ok,0.0005081741898148148,1,sam3_if_supported,1,ok,1,9,0.9729883519964669,0.14335260115606938,low
0080.jpg,P2,0.9309309239494447,0.07081344039351851,2,1,ok,0.0016136188271604938,1,sam3_if_supported,1,ok,1,9,0.9929936782840609,0.23916408668730652,low
0081.jpg,P2,0.8766337619663725,0.06714470003858025,5,1,ok,0.002300708912037037,1,sam3_if_supported,1,ok,1,9,0.9885081619752352,0.25206301575393847,low
0082.jpg,P2,0.8709448426489368,0.07309160397376543,1,1,ok,0.0115625,1,sam3_if_supported,1,ok,1,9,0.9898990888605859,0.5150195907705704,low
0083.jpg,P2,0.9077064474425485,0.06934992283950617,6,1,ok,0.00877977912808642,1,sam3_if_supported,1,ok,1,9,0.9841966462656118,0.4835164835164835,low
0084.jpg,P1,0.5648648279265889,0.024818672839506173,7,1,ok,0.0005360243055555555,1,sam3_if_supported,1,ok,1,9,0.9777785498729352,0.1546468401486989,low
0085.jpg,P1,0.6082882590030327,0.0260473331404321,3,1,ok,0.00019241898148148148,1,sam3_if_supported,1,ok,1,9,0.9565961455064327,0.12816691505216096,low
0086.jpg,P1,0.5777849074278081,0.02660035686728395,6,1,ok,0.0012102141203703704,1,sam3_if_supported,1,ok,1,9,0.9877860785011265,0.20443037974683545,low
0087.jpg,P1,0.5588829004351197,0.02491524402006173,6,0,missing_colmap_observation,0.0,0,sam3_if_supported,1,ok,1,9,0.9643909591069433,,
0088.jpg,P1,0.5836666900106569,0.02583128375771605,9,1,ok,0.0011536699459876543,1,sam3_if_supported,1,ok,1,9,0.9814941339527983,0.18802966101694915,low
0089.jpg,P1,0.5669237978813242,0.02579716435185185,7,1,ok,0.00145483699845679,1,sam3_if_supported,1,ok,1,9,0.9832381853856696,0.24888035828534869,low
0090.jpg,P1,0.6281792069224206,0.024347632137345677,4,0,missing_colmap_observation,0.0,0,sam3_if_supported,1,ok,1,9,0.9515402630156728,,
0091.jpg,P1,0.8037916955898974,0.027878086419753086,8,1,ok,0.0012993103780864197,1,sam3_if_supported,1,ok,1,9,0.9749685377413222,0.13397299218194741,low
0092.jpg,P2,0.8780841695764989,0.0731127025462963,7,1,ok,0.0014046826774691359,1,sam3_if_supported,1,ok,1,9,0.98967513929567,0.256993006993007,low
0093.jpg,P1,0.6466433462054122,0.03448760609567901,5,1,ok,0.0013921440972222221,1,sam3_if_supported,1,ok,1,9,0.9750540956016815,0.11467410247472987,low
0094.jpg,P1,0.8001024689522527,0.038146098572530866,14,1,ok,3.3878279320987655e-05,1,sam3_if_supported,1,ok,1,9,0.9752364383994939,0.125,low
0095.jpg,P1,0.8213461786733289,0.048167799961419754,8,1,ok,0.0025245949074074073,1,sam3_if_supported,1,ok,1,9,0.9880087649528304,0.25101419878296144,low
0096.jpg,P1,0.8878911808756169,0.050615113811728396,2,1,ok,0.0021027440200617285,1,sam3_if_supported,1,ok,1,9,0.9874469007368877,0.2827356130108424,low
0097.jpg,P2,0.8796176541097522,0.11016215760030865,7,1,ok,0.00048369984567901236,1,sam3_if_supported,1,ok,1,9,0.9792539877786168,0.36247723132969034,low
0098.jpg,P2,0.8323512454500459,0.12267505787037038,1,1,ok,0.005717110339506173,1,sam3_if_supported,1,ok,1,9,0.9838985007669344,0.620824295010846,low
0099.jpg,P2,0.9339466285000894,0.1286815200617284,3,1,ok,0.007634307484567901,0,sam3_if_supported,1,ok,1,9,0.9876744746587199,0.7021121631463948,ok
0100.jpg,P2,0.9178748039659052,0.12991801697530864,10,1,ok,0.0008819203317901235,1,sam3_if_supported,1,ok,1,9,0.9678270204816136,0.4624591947769314,low
0101.jpg,P2,0.9113993565718885,0.17065200617283952,0,1,ok,0.03289978780864197,0,sam3_if_supported,1,ok,1,9,0.9903270866081088,0.7793858100953053,ok
0102.jpg,P2,1.021090885637257,0.1713920235339506,8,1,ok,0.03315152391975309,0,sam3_if_supported,1,ok,1,9,0.9920435854187344,0.7809098200985447,ok
0103.jpg,P2,1.0138811532440122,0.16918848861882715,2,1,ok,0.031828703703703706,0,sam3_if_supported,1,ok,1,9,0.9926254062741099,0.766076421248835,ok
0104.jpg,P2,1.0107289917708198,0.1556219859182099,4,1,ok,0.015853226273148148,1,sam3_if_supported,1,ok,1,9,0.9921901012509294,0.6596045197740112,low
0105.jpg,P2,1.0182830672083736,0.16490981867283952,1,1,ok,0.024012104552469136,1,sam3_if_supported,1,ok,1,9,0.9914303708001115,0.6948329448329449,low
0106.jpg,P2,1.0151703726056205,0.16991741415895062,1,1,ok,0.02789870273919753,0,sam3_if_supported,1,ok,1,9,0.9931304967910625,0.7789291882556131,ok
0107.jpg,P2,1.0186438015342778,0.1561865837191358,1,1,ok,0.010938826195987654,0,sam3_if_supported,1,ok,1,9,0.990115734227134,0.78840820854132,ok
0108.jpg,P2,1.0137266021109697,0.16098222897376543,5,1,ok,0.015245466820987654,1,sam3_if_supported,1,ok,1,9,0.9869730203284417,0.6461670480549199,low
