image,label,x,y,source
0000.jpg,1,1236,1453,distance_transform
0000.jpg,1,1252,1368,distance_transform
0000.jpg,1,1250,1538,distance_transform
0000.jpg,1,1262,1624,distance_transform
0000.jpg,1,1279,1286,distance_transform
0000.jpg,0,1350,923,outer_ring
0000.jpg,0,1484,981,outer_ring
0000.jpg,0,780,1081,outer_ring
0000.jpg,0,770,1273,outer_ring
0000.jpg,0,618,1393,outer_ring
0000.jpg,0,926,1664,outer_ring
0000.jpg,0,1600,1977,outer_ring
0000.jpg,0,1272,2122,outer_ring
0001.jpg,1,1277,1448,distance_transform
0001.jpg,1,1306,1367,distance_transform
0001.jpg,1,1290,1534,distance_transform
0001.jpg,1,1302,1620,distance_transform
0001.jpg,1,1312,1706,distance_transform
0001.jpg,0,1151,938,outer_ring
0001.jpg,0,1628,995,outer_ring
0001.jpg,0,1633,1091,outer_ring
0001.jpg,0,804,1284,outer_ring
0001.jpg,0,686,1406,outer_ring
0001.jpg,0,967,1682,outer_ring
0001.jpg,0,1081,1995,outer_ring
0001.jpg,0,1302,2135,outer_ring
0002.jpg,1,1329,1453,distance_transform
0002.jpg,1,1357,1371,distance_transform
0002.jpg,1,1339,1539,distance_transform
0002.jpg,1,1351,1625,distance_transform
0002.jpg,1,1360,1711,distance_transform
0002.jpg,0,1211,939,outer_ring
0002.jpg,0,1711,999,outer_ring
0002.jpg,0,914,1091,outer_ring
0002.jpg,0,680,1282,outer_ring
0002.jpg,0,873,1403,outer_ring
0002.jpg,0,1690,1681,outer_ring
0002.jpg,0,1130,1995,outer_ring
0002.jpg,0,1375,2135,outer_ring
0003.jpg,1,1413,1417,distance_transform
0003.jpg,1,1436,1334,distance_transform
0003.jpg,1,1423,1503,distance_transform
0003.jpg,1,1432,1589,distance_transform
0003.jpg,1,1468,1254,distance_transform
0003.jpg,0,1553,889,outer_ring
0003.jpg,0,1313,950,outer_ring
0003.jpg,0,1025,1041,outer_ring
0003.jpg,0,942,1231,outer_ring
0003.jpg,0,1817,1349,outer_ring
0003.jpg,0,1759,1632,outer_ring
0003.jpg,0,1765,1948,outer_ring
0003.jpg,0,1466,2086,outer_ring
0004.jpg,1,1457,1395,distance_transform
0004.jpg,1,1484,1313,distance_transform
0004.jpg,1,1466,1481,distance_transform
0004.jpg,1,1474,1567,distance_transform
0004.jpg,1,1481,1653,distance_transform
0004.jpg,0,1594,874,outer_ring
0004.jpg,0,1847,934,outer_ring
0004.jpg,0,1843,1022,outer_ring
0004.jpg,0,1901,1208,outer_ring
0004.jpg,0,863,1324,outer_ring
0004.jpg,0,1142,1611,outer_ring
0004.jpg,0,1811,1926,outer_ring
0004.jpg,0,1455,2061,outer_ring
0005.jpg,1,1499,1380,distance_transform
0005.jpg,1,1533,1301,distance_transform
0005.jpg,1,1507,1466,distance_transform
0005.jpg,1,1513,1552,distance_transform
0005.jpg,1,1518,1638,distance_transform
0005.jpg,0,1645,875,outer_ring
0005.jpg,0,2050,937,outer_ring
0005.jpg,0,1901,1017,outer_ring
0005.jpg,0,1107,1205,outer_ring
0005.jpg,0,1053,1321,outer_ring
0005.jpg,0,1847,1613,outer_ring
0005.jpg,0,1274,1928,outer_ring
0005.jpg,0,1489,2056,outer_ring
0006.jpg,1,1549,1435,distance_transform
0006.jpg,1,1577,1353,distance_transform
0006.jpg,1,1556,1521,distance_transform
0006.jpg,1,1560,1607,distance_transform
0006.jpg,1,1611,1274,distance_transform
0006.jpg,0,1466,909,outer_ring
0006.jpg,0,1961,983,outer_ring
0006.jpg,0,1131,1057,outer_ring
0006.jpg,0,1154,1245,outer_ring
0006.jpg,0,1100,1354,outer_ring
0006.jpg,0,1901,1648,outer_ring
0006.jpg,0,1317,1964,outer_ring
0006.jpg,0,1561,2093,outer_ring
0007.jpg,1,1668,1458,distance_transform
0007.jpg,1,1676,1544,distance_transform
0007.jpg,1,1715,1385,distance_transform
0007.jpg,1,1681,1630,distance_transform
0007.jpg,1,1684,1716,distance_transform
0007.jpg,0,1615,955,outer_ring
0007.jpg,0,2156,1047,outer_ring
0007.jpg,0,1215,1139,outer_ring
0007.jpg,0,1282,1311,outer_ring
0007.jpg,0,1208,1451,outer_ring
0007.jpg,0,2015,1733,outer_ring
0007.jpg,0,1430,2035,outer_ring
0007.jpg,0,1679,2146,outer_ring
0008.jpg,1,1783,1537,distance_transform
0008.jpg,1,1797,1622,distance_transform
0008.jpg,1,1804,1708,distance_transform
0008.jpg,1,1787,1451,distance_transform
0008.jpg,1,1804,1795,distance_transform
0008.jpg,0,1762,996,outer_ring
0008.jpg,0,2125,1105,outer_ring
0008.jpg,0,1227,1197,outer_ring
0008.jpg,0,1308,1354,outer_ring
0008.jpg,0,1384,1525,outer_ring
0008.jpg,0,1477,1855,outer_ring
0008.jpg,0,2105,2125,outer_ring
0008.jpg,0,1801,2213,outer_ring
0009.jpg,1,1750,1604,distance_transform
0009.jpg,1,1753,1690,distance_transform
0009.jpg,1,1797,1531,distance_transform
0009.jpg,1,1755,1776,distance_transform
0009.jpg,1,1755,1863,distance_transform
0009.jpg,0,1739,1078,outer_ring
0009.jpg,0,2078,1192,outer_ring
0009.jpg,0,1287,1266,outer_ring
0009.jpg,0,1227,1464,outer_ring
0009.jpg,0,2140,1680,outer_ring
0009.jpg,0,1421,1954,outer_ring
0009.jpg,0,2041,2223,outer_ring
0009.jpg,0,1717,2312,outer_ring
0010.jpg,1,1690,1685,distance_transform
0010.jpg,1,1696,1771,distance_transform
0010.jpg,1,1745,1618,distance_transform
0010.jpg,1,1699,1857,distance_transform
0010.jpg,1,1700,1943,distance_transform
0010.jpg,0,1713,1150,outer_ring
0010.jpg,0,1407,1272,outer_ring
0010.jpg,0,1245,1342,outer_ring
0010.jpg,0,1167,1526,outer_ring
0010.jpg,0,2108,1719,outer_ring
0010.jpg,0,2035,2011,outer_ring
0010.jpg,0,2001,2304,outer_ring
0010.jpg,0,1646,2403,outer_ring
0011.jpg,1,1672,1698,distance_transform
0011.jpg,1,1675,1784,distance_transform
0011.jpg,1,1722,1628,distance_transform
0011.jpg,1,1677,1870,distance_transform
0011.jpg,1,1679,1956,distance_transform
0011.jpg,0,1711,1161,outer_ring
0011.jpg,0,1567,1282,outer_ring
0011.jpg,0,1227,1351,outer_ring
0011.jpg,0,2078,1529,outer_ring
0011.jpg,0,2082,1719,outer_ring
0011.jpg,0,2019,2016,outer_ring
0011.jpg,0,1405,2319,outer_ring
0011.jpg,0,1616,2412,outer_ring
0012.jpg,1,1678,1672,distance_transform
0012.jpg,1,1681,1758,distance_transform
0012.jpg,1,1684,1844,distance_transform
0012.jpg,1,1732,1605,distance_transform
0012.jpg,1,1685,1930,distance_transform
0012.jpg,0,1741,1145,outer_ring
0012.jpg,0,1482,1260,outer_ring
0012.jpg,0,1238,1331,outer_ring
0012.jpg,0,1178,1507,outer_ring
0012.jpg,0,2085,1707,outer_ring
0012.jpg,0,2022,2003,outer_ring
0012.jpg,0,1980,2299,outer_ring
0012.jpg,0,1586,2388,outer_ring
0013.jpg,1,1671,1764,distance_transform
0013.jpg,1,1700,1683,distance_transform
0013.jpg,1,1674,1850,distance_transform
0013.jpg,1,1674,1937,distance_transform
0013.jpg,1,1743,1608,distance_transform
0013.jpg,0,1765,1173,outer_ring
0013.jpg,0,1426,1289,outer_ring
0013.jpg,0,1080,1378,outer_ring
0013.jpg,0,1105,1531,outer_ring
0013.jpg,0,2095,1721,outer_ring
0013.jpg,0,1338,2012,outer_ring
0013.jpg,0,1389,2314,outer_ring
0013.jpg,0,1724,2407,outer_ring
0014.jpg,1,1654,1739,distance_transform
0014.jpg,1,1683,1657,distance_transform
0014.jpg,1,1655,1825,distance_transform
0014.jpg,1,1657,1911,distance_transform
0014.jpg,1,1658,1997,distance_transform
0014.jpg,0,1787,1154,outer_ring
0014.jpg,0,1996,1266,outer_ring
0014.jpg,0,1069,1360,outer_ring
0014.jpg,0,1282,1512,outer_ring
0014.jpg,0,2109,1708,outer_ring
0014.jpg,0,1303,2004,outer_ring
0014.jpg,0,1948,2307,outer_ring
0014.jpg,0,1684,2404,outer_ring
0015.jpg,1,1581,1699,distance_transform
0015.jpg,1,1580,1785,distance_transform
0015.jpg,1,1616,1620,distance_transform
0015.jpg,1,1581,1871,distance_transform
0015.jpg,1,1586,1958,distance_transform
0015.jpg,0,1720,1134,outer_ring
0015.jpg,0,1558,1244,outer_ring
0015.jpg,0,2032,1334,outer_ring
0015.jpg,0,1191,1494,outer_ring
0015.jpg,0,1166,1699,outer_ring
0015.jpg,0,1940,1999,outer_ring
0015.jpg,0,1876,2301,outer_ring
0015.jpg,0,1586,2399,outer_ring
0016.jpg,1,1549,1707,distance_transform
0016.jpg,1,1578,1623,distance_transform
0016.jpg,1,1547,1793,distance_transform
0016.jpg,1,1546,1879,distance_transform
0016.jpg,1,1552,1965,distance_transform
0016.jpg,0,1724,1121,outer_ring
0016.jpg,0,1331,1231,outer_ring
0016.jpg,0,2019,1320,outer_ring
0016.jpg,0,1201,1487,outer_ring
0016.jpg,0,1969,1693,outer_ring
0016.jpg,0,1906,1999,outer_ring
0016.jpg,0,1837,2303,outer_ring
0016.jpg,0,1544,2402,outer_ring
0017.jpg,1,1495,1734,distance_transform
0017.jpg,1,1494,1820,distance_transform
0017.jpg,1,1493,1906,distance_transform
0017.jpg,1,1539,1660,distance_transform
0017.jpg,1,1499,1992,distance_transform
0017.jpg,0,1695,1171,outer_ring
0017.jpg,0,1465,1281,outer_ring
0017.jpg,0,1983,1363,outer_ring
0017.jpg,0,1136,1542,outer_ring
0017.jpg,0,1069,1762,outer_ring
0017.jpg,0,1861,2064,outer_ring
0017.jpg,0,1218,2364,outer_ring
0017.jpg,0,1466,2467,outer_ring
0018.jpg,1,1394,1816,distance_transform
0018.jpg,1,1392,1902,distance_transform
0018.jpg,1,1425,1735,distance_transform
0018.jpg,1,1393,1988,distance_transform
0018.jpg,1,1399,2078,distance_transform
0018.jpg,0,1622,1239,outer_ring
0018.jpg,0,1174,1356,outer_ring
0018.jpg,0,1904,1458,outer_ring
0018.jpg,0,942,1585,outer_ring
0018.jpg,0,922,1803,outer_ring
0018.jpg,0,1764,2094,outer_ring
0018.jpg,0,1706,2416,outer_ring
0018.jpg,0,1376,2533,outer_ring
0019.jpg,1,1341,1848,distance_transform
0019.jpg,1,1345,1934,distance_transform
0019.jpg,1,1361,1764,distance_transform
0019.jpg,1,1347,2020,distance_transform
0019.jpg,1,1355,2106,distance_transform
0019.jpg,0,1568,1266,outer_ring
0019.jpg,0,1394,1383,outer_ring
0019.jpg,0,802,1474,outer_ring
0019.jpg,0,944,1605,outer_ring
0019.jpg,0,1782,1841,outer_ring
0019.jpg,0,1704,2134,outer_ring
0019.jpg,0,1070,2452,outer_ring
0019.jpg,0,1310,2566,outer_ring
0020.jpg,1,1292,1867,distance_transform
0020.jpg,1,1299,1953,distance_transform
0020.jpg,1,1304,2039,distance_transform
0020.jpg,1,1294,1781,distance_transform
0020.jpg,1,1309,2125,distance_transform
0020.jpg,0,1556,1311,outer_ring
0020.jpg,0,1361,1423,outer_ring
0020.jpg,0,784,1504,outer_ring
0020.jpg,0,1685,1638,outer_ring
0020.jpg,0,1698,1875,outer_ring
0020.jpg,0,1645,2160,outer_ring
0020.jpg,0,1031,2468,outer_ring
0020.jpg,0,1255,2577,outer_ring
0021.jpg,1,1252,1915,distance_transform
0021.jpg,1,1261,2001,distance_transform
0021.jpg,1,1266,2087,distance_transform
0021.jpg,1,1256,1829,distance_transform
0021.jpg,1,1270,2173,distance_transform
