图像,提示词编号,提示词文本,总分,面积得分,连通域得分,边界得分,时序得分,前背景对比得分,下方泄漏得分,侧边泄漏得分,语义门控启用,语义门控总修正,目标框得分,垂直覆盖得分,花盆重叠惩罚,侧边干扰惩罚,中心先验得分,面积比例,连通域数量,边界密度,时序IoU,前背景对比,下方区域占比,侧边区域占比,SAM3原始分数
0000.jpg,P1,green plant,0.9517362283483211,0.07657782221831544,1.0,0.7416674306433133,1.0,0.4228746294975281,1.0,1.0,1,0.3035122518764897,0.5277321945662228,0.13028720626631854,0.0,0.0,0.9535428665037443,0.04024823977623457,1,6.96626435739836,1.0,0.10571865737438202,0.0,0.0,0.875000;0.431641
0000.jpg,P2,entire plant excluding pot,1.0237189121457453,0.21714330364119394,1.0,0.7552694285320961,1.0,0.4248294532299042,1.0,1.0,1,0.34427047506510633,0.5659893897679429,0.30548302872062666,0.0,0.0,0.9118724347661357,0.09577160493827161,1,6.480616379337634,1.0,0.10620736330747604,0.0,0.0,0.925781
0000.jpg,P3,leaves and stems,0.9522418409967541,0.07584833811923741,1.0,0.73741937878547,1.0,0.4300121068954468,1.0,1.0,1,0.3035858762367233,0.5275336535354342,0.1300261096605744,0.0,0.0,0.9554439776041791,0.039960093557098765,1,7.121608918035226,1.0,0.1075030267238617,0.0,0.0,0.855469
0000.jpg,P4,crop seedling,0.9505811965320666,0.07787227496483817,1.0,0.739144705372319,1.0,0.4178910553455353,1.0,1.0,1,0.3035995893955282,0.528084501056421,0.1308093994778068,0.0,0.0,0.9522432211977563,0.04075954861111111,1,7.058301107528977,1.0,0.10447276383638382,0.0,0.0,0.373047
0000.jpg,P5,plant body without background,0.9514684901136805,0.07625642190185955,1.0,0.738233832454329,1.0,0.42500820755958557,1.0,1.0,1,0.30356879773052575,0.5276447202124904,0.13054830287206268,0.0,0.0,0.9539445113918282,0.040121286651234565,1,7.091687106113906,1.0,0.10625205188989639,0.0,0.0,0.503906
0001.jpg,P1,green plant,0.9041034717551364,0.07659796696749488,1.0,0.7415911812640767,0.7725088793208713,0.4272480905056,1.0,1.0,1,0.30051424814352784,0.527674272385966,0.12950391644908615,0.0,0.0,0.9251754784760423,0.04025619695216049,1,6.969036991390683,0.7725088793208713,0.1068120226264,0.0,0.0,0.875000;0.392578
0001.jpg,P2,entire plant excluding pot,0.9898637562146251,0.21755291354117834,1.0,0.7565466072642896,0.8448092630406534,0.4227824807167053,1.0,1.0,1,0.3415255033020598,0.5659497733766506,0.3049608355091384,0.0,0.0,0.8855013222858714,0.09593340084876543,1,6.435912616568333,0.8448092630406534,0.10569562017917633,0.0,0.0,0.929688
0001.jpg,P3,leaves and stems,0.9031828385793772,0.07643772464447574,1.0,0.7402996097440333,0.7678071428001627,0.4285581111907959,1.0,1.0,1,0.30056232090348367,0.527630759509387,0.12950391644908615,0.0,0.0,0.9258085011436276,0.0401929012345679,1,7.01608880614596,0.7678071428001627,0.10713952779769897,0.0,0.0,0.832031
0001.jpg,P4,crop seedling,0.3904761904761905,0.0,1.0,0.9523809523809523,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,
0001.jpg,P5,plant body without background,0.904046966264319,0.0764276522698859,1.0,0.7411929344325558,0.7718635123129386,0.428300142288208,1.0,1.0,1,0.30049011800360137,0.5276280244142877,0.12924281984334204,0.0,0.0,0.925566018867991,0.04018892264660494,1,6.983527595701708,0.7718635123129386,0.107075035572052,0.0,0.0,0.394531
