图像,重提示分数,IoU下降,面积变化,SSIM下降,边界变化,是否标记,几何分数,几何标记,最终重提示标记
0000.jpg,0.0,0.0,0.0,0.0,0.0,0,0.6699054621848739,low,1
0001.jpg,0.13585004896722536,0.16347076205677935,0.005928024673400002,0.23288099902646608,0.1262201754825737,0,0.6886334610472542,low,1
0002.jpg,0.13206761011612014,0.1660952669321487,0.005504339133514506,0.24051506363775987,0.08286277331366333,0,0.6854910714285715,low,1
0003.jpg,0.19451520675635742,0.30427183878150343,0.0738231183910645,0.26345316529208307,0.024673281746962282,0,0.6588145896656535,low,1
0004.jpg,0.1459269921177014,0.17076077434564108,0.05346716909460576,0.26549330861504095,0.0428040111287692,0,0.6696574225122349,low,1
0005.jpg,0.12442085666289003,0.14793331878855198,0.005290140664551848,0.27091254980355595,0.023956816465799335,0,0.6715780482596626,low,1
0006.jpg,0.17041096684116439,0.21787106458676242,0.07126574517591762,0.2674640603942857,0.06315761895497823,0,0.5085287846481876,low,1
0007.jpg,0.2816085305388775,0.37763724951829514,0.06670936682752449,0.25455461299614845,0.4607966550103734,0,0.28859857482185275,low,1
0008.jpg,0.33599346299300514,0.37297154800685406,0.1407749310619069,0.2748578070755543,0.6769682443749394,0,0.7201982651796778,ok,0
0009.jpg,0.23134167575521605,0.22675115151417036,0.097008750268763,0.27024185165958536,0.40110748162112886,0,0.31751054852320676,low,1
0010.jpg,0.17210276581278283,0.25393946779747134,0.03315246671284538,0.2514252653505582,0.0805301271187797,0,0.31440588853838064,low,1
0011.jpg,0.3212056142655295,0.1894867877000883,0.1584772790762641,0.26106367520573026,1.125954863930884,0,0.674984783931832,low,1
0012.jpg,0.11181129610035627,0.11040846034874507,0.004591714216530039,0.26740967243324487,0.03445325543901172,0,0.689677213167146,low,1
0013.jpg,0.13191224752293645,0.1303975513935417,0.06091768591206007,0.2509107407834017,0.055439985742209354,0,0.5750273822562979,low,1
0014.jpg,0.17218044513140493,0.14938612530875883,0.05222097849367309,0.23722349754086158,0.3168945484313711,0,0.40875420875420876,low,1
0015.jpg,0.15000691374363126,0.20985647348951908,0.03928077392878527,0.2266049772928842,0.06723806811254822,0,0.4249485949280329,low,1
0016.jpg,0.18268482887817974,0.15914633160841463,0.09359717231961275,0.23650659049426925,0.29638448074509427,0,0.5621375310687655,low,1
0017.jpg,0.2267200494584704,0.20497871381995547,0.07735453386868577,0.23705223329567848,0.509172052202633,0,0.30927835051546393,low,1
0018.jpg,0.3433822405098115,0.33978056137027957,0.06270367119846801,0.23513250492238658,1.0435820833682266,0,0.49358288770053477,low,1
0019.jpg,0.17598095771963485,0.1989352824686359,0.041444110449058554,0.25443302709994475,0.21589549645574319,0,0.5873015873015873,low,1
0020.jpg,0.2057238181020624,0.21640987275318757,0.12561713482901282,0.2559365820728061,0.23061288941994681,0,0.394554191137213,low,1
0021.jpg,0.20633415801304034,0.25565924663988115,0.049941310654884476,0.2537379178521687,0.27289076374879095,0,0.642998678996037,low,1
0022.jpg,0.13472488027663673,0.1486209800037558,0.06597515187310164,0.26431800027962093,0.0008949949142771498,0,0.6476923076923077,low,1
0023.jpg,0.18702380889188347,0.21355350280279706,0.1093184884909186,0.2813409326243299,0.09743485088061593,0,0.5850796311818944,low,1
0024.jpg,0.265343692068409,0.29929613995126236,0.12959056379882145,0.26961246342683876,0.40526190852701427,0,0.3599695585996956,low,1
0025.jpg,0.1720466090119949,0.26677718258632,0.04059588797678891,0.26716603494478586,0.011560762509261406,0,0.4314236111111111,low,1
0026.jpg,0.29045582646561524,0.20185463998266218,0.19489841051223064,0.2643438774085055,0.6999742032766629,0,0.6524764633647155,low,1
0027.jpg,0.22398357210142156,0.18516076242344714,0.059217184732595636,0.26760131775874396,0.5164845308692012,0,0.44914400805639476,low,1
0028.jpg,0.5362549733978393,0.9990381458766066,0.375134939954055,0.24642582097082566,0.20800954739871302,1,0.07159904534606205,low,1
0029.jpg,0.17610329616610093,0.22456071833439328,0.047215209295189284,0.2255018149392013,0.19551859126977109,0,0.05542590431738623,low,1
0030.jpg,0.16186137222882255,0.23803805242215537,0.04017916604826225,0.22747056145341438,0.07757081337099345,0,0.04400484457004441,low,1
0031.jpg,0.21844564263652164,0.31061381519074027,0.17102670340780676,0.22827168337364567,0.06604140416266305,0,0.038749449581682076,low,1
0032.jpg,0.732502087510726,0.9884174791132687,1.635638596801695,0.22470118871046374,0.5358711509564404,1,0.6519774011299435,low,1
