图像,COLMAP图像,后端,接受,原因,注册点数,掩膜内点数,正修正点支撑像素,负修正删除像素,几何修正像素,几何修正像素比例,修正前后IoU,正提示框xyxy,负提示框xyxy
0000.jpg,0000.jpg,colmap_tracks,1,ok,4234,2545,373555,0,20591,0.002482518325617284,0.9892425200223602,"0,0,2116,3840",
0001.jpg,0001.jpg,colmap_tracks,1,ok,4168,2489,373239,0,17704,0.0021344521604938272,0.9908301880733399,"0,0,2143,3840",
0002.jpg,0002.jpg,colmap_tracks,1,ok,4276,2607,372339,0,17642,0.002126977237654321,0.9908563337329347,"0,0,2160,3840",
0003.jpg,0003.jpg,colmap_tracks,1,ok,3097,1942,283297,0,11500,0.0013864776234567902,0.9939784428253147,"0,0,2160,3840",
0004.jpg,0004.jpg,colmap_tracks,1,ok,4066,2258,397514,0,20173,0.0024321228780864197,0.9893549039049608,"0,10,2160,3840",
0005.jpg,0005.jpg,colmap_tracks,1,ok,3816,2165,388517,0,18859,0.0022737027391975307,0.9898277475572624,"0,0,2160,3840",
0006.jpg,0006.jpg,colmap_tracks,1,ok,4640,2354,469579,0,26195,0.003158154899691358,0.986683578022693,"0,0,2160,3840",
0007.jpg,0007.jpg,colmap_tracks,1,ok,3801,2631,287839,0,13521,0.0016301359953703703,0.9943187237570291,"0,33,2156,3840",
0008.jpg,0008.jpg,colmap_tracks,1,ok,2486,1548,241473,0,13337,0.0016079523533950616,0.9938297621333284,"0,0,2160,3835",
0009.jpg,0009.jpg,colmap_tracks,1,ok,3891,2281,374262,0,14709,0.001773365162037037,0.9926106963799496,"0,0,2160,3840",
0010.jpg,0010.jpg,colmap_tracks,1,ok,2570,1644,241901,0,12486,0.0015053530092592592,0.9950163765872677,"0,0,2160,3840",
0011.jpg,0011.jpg,colmap_tracks,1,ok,4235,3135,283794,0,17914,0.002159770447530864,0.9922826728471914,"0,0,2160,3840",
0012.jpg,0012.jpg,colmap_tracks,1,ok,4041,3030,260980,0,14488,0.0017467206790123457,0.9941836470877287,"0,0,2127,3840",
0013.jpg,0013.jpg,colmap_tracks,1,ok,4731,3673,271872,0,16744,0.0020187114197530863,0.9936308203780274,"0,0,2160,3840",
0014.jpg,0014.jpg,colmap_tracks,1,ok,5467,4488,248180,0,15202,0.0018328028549382716,0.9942809999559845,"0,0,2156,3840",
0015.jpg,0015.jpg,colmap_tracks,1,ok,5917,4984,234877,0,13321,0.0016060233410493828,0.9949337982327433,"0,0,2160,3840",
0016.jpg,0016.jpg,colmap_tracks,1,ok,5968,4986,245270,0,17810,0.0021472318672839507,0.9930550491664304,"0,0,2147,3840",
0017.jpg,0017.jpg,colmap_tracks,1,ok,6213,5071,282745,0,21483,0.0025900607638888887,0.9916706989122243,"0,0,2152,3840",
0018.jpg,0018.jpg,colmap_tracks,1,ok,3675,2868,210361,0,11083,0.001336202739197531,0.9958974750019156,"0,0,2160,3840",
0019.jpg,0019.jpg,colmap_tracks,1,ok,2678,2031,170989,0,8299,0.0010005545910493827,0.9971864582496374,"0,0,2160,3840",
0020.jpg,0020.jpg,colmap_tracks,1,ok,3284,2734,144715,0,15629,0.0018842833719135803,0.9950901438777277,"0,0,2147,3791",
0021.jpg,0021.jpg,colmap_tracks,1,ok,3224,2834,104820,0,15483,0.0018666811342592593,0.9954578724490319,"0,0,2151,3831",
