image,mask_stem,registered_points,inside_mask_points,geometry_score,geometry_flag
0197.jpg,0197,8401,8202,0.976312343768599,ok
0198.jpg,0198,8446,8249,0.9766753492777647,ok
0202.jpg,0202,7810,7575,0.9699103713188221,ok
0187.jpg,0187,9665,9584,0.9916192446973616,ok
0201.jpg,0201,8390,8152,0.9716328963051252,ok
0188.jpg,0188,9626,9535,0.9905464367338458,ok
0189.jpg,0189,10680,10587,0.9912921348314607,ok
0185.jpg,0185,9092,9002,0.990210097899021,ok
0186.jpg,0186,9103,9004,0.989233135574599,ok
0184.jpg,0184,10004,9913,0.9909036385445822,ok
0183.jpg,0183,10089,9994,0.9905838041431262,ok
0203.jpg,0203,4641,4459,0.9607843137254902,ok
0196.jpg,0196,5412,5257,0.971359940872136,ok
0182.jpg,0182,8646,8555,0.9895893580104106,ok
0190.jpg,0190,7268,7198,0.9905050227053804,ok
0200.jpg,0200,5951,5730,0.9628633843051588,ok
0206.jpg,0206,3264,2956,0.9056372549019608,ok
0199.jpg,0199,5686,5458,0.9599015124868097,ok
0209.jpg,0209,3095,2704,0.8736672051696285,ok
0174.jpg,0174,7564,7464,0.9869099563665212,ok
0208.jpg,0208,3168,2782,0.8781565656565656,ok
0177.jpg,0177,6862,6772,0.9873159352675317,ok
0195.jpg,0195,4623,4473,0.9675535366645036,ok
0204.jpg,0204,1874,1715,0.9151547491995731,ok
0207.jpg,0207,3457,3102,0.8973098061903384,ok
0118.jpg,0118,4916,4585,0.9326688364524003,ok
0175.jpg,0175,6571,6487,0.9872165576015827,ok
0194.jpg,0194,2536,2442,0.9629337539432177,ok
0104.jpg,0104,7237,6789,0.9380958960895399,ok
0191.jpg,0191,2660,2600,0.9774436090225563,ok
0173.jpg,0173,5731,5660,0.9876112371313907,ok
0180.jpg,0180,4230,4136,0.9780089855757862,ok
0192.jpg,0192,1646,1605,0.9750911300121506,ok
0205.jpg,0205,1244,1078,0.8665594855305466,ok
0113.jpg,0113,4548,4152,0.9129287598944591,ok
0099.jpg,0099,8610,8097,0.9404181184668989,ok
0193.jpg,0193,1477,1438,0.973595125253893,ok
0163.jpg,0163,5244,4555,0.8686117467581999,ok
0172.jpg,0172,4921,4854,0.9863848811217232,ok
0091.jpg,0091,10599,9503,0.8965940183036135,ok
0145.jpg,0145,4994,4661,0.933319983980777,ok
0103.jpg,0103,7234,6865,0.9489908764169201,ok
0170.jpg,0170,4228,4059,0.9602555003548616,ok
0179.jpg,0179,1944,1853,0.9531893004115226,ok
0165.jpg,0165,4524,3867,0.8547745358090185,ok
0107.jpg,0107,3229,2945,0.9120470733973366,ok
0178.jpg,0178,2202,2125,0.9650317892824705,ok
0149.jpg,0149,3193,3020,0.9458189790165988,ok
0140.jpg,0140,4824,4484,0.9295190713101161,ok
0138.jpg,0138,4208,3945,0.9375,ok
0101.jpg,0101,4608,4296,0.9322916666666666,ok
0157.jpg,0157,3399,2981,0.8770226537216829,ok
0154.jpg,0154,2590,2371,0.9154440154440154,ok
0167.jpg,0167,2175,1601,0.7360919540229885,ok
0160.jpg,0160,3541,2944,0.8314035583168596,ok
0136.jpg,0136,4993,4679,0.9371119567394353,ok
0171.jpg,0171,1851,1792,0.9681253376553215,ok
0141.jpg,0141,3276,3065,0.9355921855921856,ok
0146.jpg,0146,3829,3538,0.92400104465918,ok
0168.jpg,0168,920,745,0.8097826086956522,ok
0152.jpg,0152,2599,2443,0.9399769141977684,ok
0164.jpg,0164,2957,2244,0.7588772404463984,ok
0143.jpg,0143,2830,2474,0.8742049469964664,ok
0142.jpg,0142,2982,2696,0.9040912139503688,ok
0161.jpg,0161,2738,2206,0.8056975894813733,ok
0162.jpg,0162,1876,1380,0.7356076759061834,ok
0147.jpg,0147,2790,2591,0.928673835125448,ok
0150.jpg,0150,2484,2352,0.9468599033816425,ok
0126.jpg,0126,5946,5602,0.9421459804910864,ok
0139.jpg,0139,4666,4301,0.9217745392198885,ok
0148.jpg,0148,1769,1615,0.9129451667608819,ok
0151.jpg,0151,1928,1796,0.9315352697095436,ok
0144.jpg,0144,2180,1911,0.8766055045871559,ok
0131.jpg,0131,5892,5501,0.9336388323150034,ok
0120.jpg,0120,6993,6550,0.9366509366509367,ok
0134.jpg,0134,5711,5350,0.9367886534757486,ok
0127.jpg,0127,5378,5030,0.9352919300855337,ok
0137.jpg,0137,3865,3503,0.9063389391979302,ok
0128.jpg,0128,5146,4848,0.9420909444228527,ok
0155.jpg,0155,1088,884,0.8125,ok
0133.jpg,0133,5003,4631,0.9256446132320607,ok
0135.jpg,0135,3824,3528,0.9225941422594143,ok
0115.jpg,0115,6699,6214,0.927739623768289,ok
0062.jpg,0062,3410,2336,0.6850439882697947,low
0064.jpg,0064,3064,1978,0.6455613577023499,low
0042.jpg,0042,3773,3079,0.8160614895308773,ok
0032.jpg,0032,4786,4250,0.8881922675026124,ok
0022.jpg,0022,4387,4067,0.9272685818513452,ok
0045.jpg,0045,1366,1131,0.8279648609077599,ok
0054.jpg,0054,2152,1629,0.7569702602230484,ok
0061.jpg,0061,2810,1819,0.6473309608540925,low
0015.jpg,0015,5917,5047,0.8529660300828122,ok
0040.jpg,0040,4054,3323,0.8196842624568328,ok
0058.jpg,0058,1600,984,0.6153846153846154,low
0055.jpg,0055,1993,1300,0.6522829904666332,low
0050.jpg,0050,1945,1291,0.6637532133676093,low
0014.jpg,0014,5467,4565,0.8351628247347237,ok
0057.jpg,0057,1772,1203,0.6788939051918735,low
0033.jpg,0033,4368,3823,0.8752289377289377,ok
0037.jpg,0037,1888,1647,0.8728139904610492,ok
0043.jpg,0043,2742,2176,0.7935813274981766,ok
0059.jpg,0059,1373,721,0.5251274581209031,low
0026.jpg,0026,3947,3462,0.8771218647073726,ok
0048.jpg,0048,2064,1472,0.7131782945736435,ok
0044.jpg,0044,1570,1326,0.8445859872611465,ok
0025.jpg,0025,4163,3863,0.9279365841940908,ok
0031.jpg,0031,3652,3192,0.8742810188989318,ok
0013.jpg,0013,4731,3754,0.7934897484675544,ok
0035.jpg,0035,2217,1805,0.8145306859205776,ok
0024.jpg,0024,3638,3427,0.9420010995052226,ok
0049.jpg,0049,1801,1226,0.6807329261521377,low
0038.jpg,0038,1864,1593,0.8546137339055794,ok
0039.jpg,0039,2306,1879,0.8148308759757156,ok
0002.jpg,0002,4276,2677,0.6260523854069223,low
0012.jpg,0012,4041,3097,0.7665841584158416,ok
0011.jpg,0011,4235,3218,0.7598583234946872,ok
0009.jpg,0009,3891,2352,0.6044718581341557,low
0029.jpg,0029,2591,2239,0.8641451177151679,ok
0007.jpg,0007,3801,2682,0.7056037884767167,ok
0020.jpg,0020,3284,2799,0.8525738653670424,ok
0004.jpg,0004,4066,2347,0.5772257747171667,low
0005.jpg,0005,3816,2249,0.5893605870020965,low
0008.jpg,0008,2486,1601,0.6440064360418343,low
0010.jpg,0010,2570,1696,0.6599221789883268,low
0030.jpg,0030,2202,1904,0.8646684831970936,ok
0003.jpg,0003,3097,1987,0.6415886341620923,low
0053.jpg,0053,1908,1469,0.7703198741478763,ok
0006.jpg,0006,4640,2484,0.5353448275862069,low
0001.jpg,0001,4168,2564,0.6151631477927063,low
0016.jpg,0016,5968,5069,0.8493632707774799,ok
0027.jpg,0027,4162,3650,0.8769822200864968,ok
0000.jpg,0000,4234,2625,0.6199811053377421,low
0017.jpg,0017,6213,5175,0.8329309512312892,ok
0036.jpg,0036,980,709,0.7234693877551021,ok
0028.jpg,0028,2544,2126,0.835691823899371,ok
0052.jpg,0052,1367,933,0.6825164594001463,low
0046.jpg,0046,607,454,0.7479406919275123,ok
0018.jpg,0018,3675,2916,0.793469387755102,ok
0051.jpg,0051,1291,869,0.673121611154144,low
0021.jpg,0021,3224,2889,0.8960918114143921,ok
0019.jpg,0019,2678,2065,0.7710978342046303,ok
0023.jpg,0023,3603,3374,0.9364418540105468,ok
0034.jpg,0034,3796,3249,0.8559009483667018,ok
0041.jpg,0041,4349,3630,0.8346746378477811,ok
0066.jpg,0066,1749,1036,0.592338479130932,low
0047.jpg,0047,1800,1340,0.7444444444444445,ok
0056.jpg,0056,2589,1804,0.6967941290073387,low
0060.jpg,0060,3207,2134,0.6654193950732772,low
0063.jpg,0063,2750,1600,0.5818181818181818,low
0073.jpg,0073,550,214,0.3890909090909091,low
0068.jpg,0068,864,416,0.48148148148148145,low
0072.jpg,0072,611,197,0.32242225859247137,low
0071.jpg,0071,600,146,0.24333333333333335,low
0070.jpg,0070,571,259,0.45359019264448336,low
0075.jpg,0075,614,321,0.5228013029315961,low
0067.jpg,0067,1544,879,0.569300518134715,low
0069.jpg,0069,763,499,0.653997378768021,low
0076.jpg,0076,1592,1334,0.8395217117684078,ok
0078.jpg,0078,2862,2614,0.9133473095737247,ok
0065.jpg,0065,2642,1617,0.6120363361090083,low
0074.jpg,0074,849,400,0.4711425206124853,low
0077.jpg,0077,3901,3611,0.9256600871571392,ok
0159.jpg,0159,2859,2366,0.8275620846449807,ok
0169.jpg,0169,991,812,0.8202020202020202,ok
0158.jpg,0158,2569,2097,0.8162709225379525,ok
0095.jpg,0095,4809,4268,0.8875025992929924,ok
0156.jpg,0156,2164,1935,0.8941774491682071,ok
0153.jpg,0153,2274,2105,0.9256816182937555,ok
0083.jpg,0083,7896,7187,0.9102077001013171,ok
0084.jpg,0084,5501,4939,0.8978367569532812,ok
0085.jpg,0085,8600,7892,0.9176744186046512,ok
0082.jpg,0082,8181,7641,0.934221787504585,ok
0081.jpg,0081,8255,7439,0.9012599951538648,ok
0092.jpg,0092,8178,7091,0.8670824162386892,ok
0166.jpg,0166,3177,2482,0.7812401636764243,ok
0122.jpg,0122,2455,2185,0.890020366598778,ok
0096.jpg,0096,7647,7117,0.9306917745521119,ok
0079.jpg,0079,9658,8969,0.928660178090702,ok
0111.jpg,0111,2990,2618,0.8755852842809364,ok
