image,label,x,y,source
0000.jpg,1,1275,1805,distance_transform
0000.jpg,1,1147,1368,distance_transform
0000.jpg,1,1295,1890,distance_transform
0000.jpg,1,1152,1282,distance_transform
0000.jpg,1,1314,1974,distance_transform
0000.jpg,0,766,582,outer_ring
0000.jpg,0,2159,753,outer_ring
0000.jpg,0,251,869,outer_ring
0000.jpg,0,1821,1148,outer_ring
0000.jpg,0,1770,1410,outer_ring
0000.jpg,0,2069,1651,outer_ring
0000.jpg,0,919,1984,outer_ring
0000.jpg,0,1327,2537,outer_ring
0001.jpg,1,1181,1361,distance_transform
0001.jpg,1,1307,1806,distance_transform
0001.jpg,1,1326,1893,distance_transform
0001.jpg,1,1187,1275,distance_transform
0001.jpg,1,1345,1979,distance_transform
0001.jpg,0,805,573,outer_ring
0001.jpg,0,392,746,outer_ring
0001.jpg,0,1110,865,outer_ring
0001.jpg,0,711,1158,outer_ring
0001.jpg,0,657,1411,outer_ring
0001.jpg,0,851,1653,outer_ring
0001.jpg,0,959,1993,outer_ring
0001.jpg,0,1371,2541,outer_ring
0002.jpg,1,1223,1364,distance_transform
0002.jpg,1,1330,1794,distance_transform
0002.jpg,1,1229,1278,distance_transform
0002.jpg,1,1347,1879,distance_transform
0002.jpg,1,1371,1962,distance_transform
0002.jpg,0,858,561,outer_ring
0002.jpg,0,2158,738,outer_ring
0002.jpg,0,1125,845,outer_ring
0002.jpg,0,619,1117,outer_ring
0002.jpg,0,1637,1423,outer_ring
0002.jpg,0,522,1682,outer_ring
0002.jpg,0,1758,2046,outer_ring
0002.jpg,0,1412,2548,outer_ring
0003.jpg,1,1257,1391,distance_transform
0003.jpg,1,1359,1817,distance_transform
0003.jpg,1,1375,1902,distance_transform
0003.jpg,1,1264,1305,distance_transform
0003.jpg,1,1399,1994,distance_transform
0003.jpg,0,883,587,outer_ring
0003.jpg,0,511,772,outer_ring
0003.jpg,0,402,897,outer_ring
0003.jpg,0,1908,1217,outer_ring
0003.jpg,0,1926,1431,outer_ring
0003.jpg,0,964,1684,outer_ring
0003.jpg,0,1027,2051,outer_ring
0003.jpg,0,1412,2572,outer_ring
