图像,提示词编号,提示词文本,总分,面积得分,连通域得分,边界得分,时序得分,前背景对比得分,下方泄漏得分,侧边泄漏得分,语义门控启用,语义门控总修正,目标框得分,垂直覆盖得分,花盆重叠惩罚,侧边干扰惩罚,中心先验得分,面积比例,连通域数量,边界密度,时序IoU,前背景对比,下方区域占比,侧边区域占比,SAM3原始分数
0000.jpg,P1,green plant,1.0635327660357294,0.3400586273245819,1.0,0.7108023623096877,1.0,0.4250427782535553,1.0,0.6613668508287293,1,0.3683520124581643,0.6171758394244037,0.38718741219443664,0.0,0.0,0.826467344646244,0.14432315779320987,1,8.137216560468113,1.0,0.10626069456338882,0.0,0.006048080569789336,0.871094
0000.jpg,P2,entire plant excluding pot,1.084685192441317,0.4277288809774964,1.0,0.7224514102656124,1.0,0.2761874198913574,1.0,0.8091071136549469,1,0.3994116502144238,0.6452917018400853,0.502669289126159,0.0,0.0,0.8307908252768533,0.1789529079861111,1,7.683522678219857,1.0,0.06904685497283936,0.0,0.004943721211312754,0.914062
0000.jpg,P3,leaves and stems,1.0651987384331867,0.3435268816416627,1.0,0.7104613885695651,1.0,0.42530062794685364,1.0,0.6750101941069683,1,0.3693409588015705,0.6182881090613513,0.3899971902219725,0.0,0.0,0.8274062639014244,0.1456931182484568,1,8.150720534254189,1.0,0.10632515698671341,0.0,0.0059258364316882054,0.820312;0.314453
0000.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0000.jpg,P5,plant body without background,1.064353888527711,0.34138116063056734,1.0,0.7105972614858965,1.0,0.4257492423057556,1.0,0.6679121612230716,1,0.3688083556432672,0.6175999760377007,0.38859230120820454,0.0,0.0,0.8270174981259515,0.14484555844907407,1,8.145337850273922,1.0,0.1064373105764389,0.0,0.005988811451905974,0.361328
0001.jpg,P1,green plant,1.0473984050758618,0.33510301902641026,1.0,0.7096515775920614,0.9349686512085864,0.4221009612083435,1.0,0.6250300383750166,1,0.3670335632687815,0.6155865751609624,0.3854196100593388,0.0,0.0,0.8220273215176371,0.1423656925154321,1,8.182844414807839,0.9349686512085864,0.10552524030208588,0.0,0.006399692421822469,0.851562
0001.jpg,P2,entire plant excluding pot,1.0714540884366235,0.4228471367596499,1.0,0.7225252701074334,0.9472698770087721,0.2726469337940216,1.0,0.766642996997781,1,0.39839624490264813,0.643726125797373,0.5024018084204578,0.0,0.0,0.8265977535788521,0.17702461902006172,1,7.680692741758597,0.9472698770087721,0.0681617334485054,0.0,0.005217552388353164,0.824219
0001.jpg,P3,leaves and stems,1.0491478148173443,0.33781645569620244,1.0,0.7133974338253296,0.9351542005207935,0.421239972114563,1.0,0.6260078926598264,1,0.36762620238596655,0.6164567746745121,0.38654987284543657,0.0,0.0,0.8228735413770873,0.1434375,1,8.034863950599606,0.9351542005207935,0.10530999302864075,0.0,0.006389695796013879,0.832031
0001.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0001.jpg,P5,plant body without background,1.048302050395591,0.33611941318956085,1.0,0.7098258382925273,0.9345250162590681,0.42363524436950684,1.0,0.6263782068235917,1,0.3674809479734584,0.6159125329090075,0.38711500423848544,0.0,0.0,0.8223086069237845,0.14276716820987653,1,8.175925587760545,0.9345250162590681,0.10590881109237671,0.0,0.006385918214307429,0.375000
0002.jpg,P1,green plant,1.031351126614656,0.32619201974917944,1.0,0.7089808910764823,0.8680561006043501,0.4231732487678528,1.0,0.6457207737594617,1,0.3660706745750829,0.61469085614583,0.38305761551625783,0.0,0.0,0.8197850413111604,0.13884584780092593,1,8.20950501166959,0.8680561006043501,0.1057933121919632,0.0,0.0061946280227466325,0.875000
0002.jpg,P2,entire plant excluding pot,1.0576327097843898,0.4120883145804032,1.0,0.7225167075153847,0.896513248375002,0.2704891264438629,1.0,0.7927335085050478,1,0.3973112304014592,0.6427172631377673,0.49942954934398176,0.0,0.0,0.8246286942132395,0.17277488425925927,1,7.681020787431598,0.896513248375002,0.06762228161096573,0.0,0.0050458318679416966,0.902344
0002.jpg,P3,leaves and stems,1.0279621576626892,0.33530599263556804,1.0,0.693410750314306,0.858675272229033,0.41901081800460815,1.0,0.53931439004907,1,0.3666815910259862,0.6176645806112369,0.38391329150028525,0.0,0.0,0.8139459534200191,0.1424458670910494,1,8.842933269976696,0.858675272229033,0.10475270450115204,0.0,0.007416824163798145,0.816406
0002.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0002.jpg,P5,plant body without background,1.0319025299167612,0.3271812490232848,1.0,0.7079624137301453,0.8681300426010436,0.42457500100135803,1.0,0.6444665178571429,1,0.36633278864559493,0.6150136237611141,0.38362806617227607,0.0,0.0,0.8202496841819525,0.13923659336419753,1,8.250087309894132,0.8681300426010436,0.10614375025033951,0.0,0.006206683961332913,0.339844
0003.jpg,P1,green plant,1.018632842219386,0.3155201862595718,1.0,0.7092719529551538,0.818300018597254,0.42344069480895996,1.0,0.8328763751631549,1,0.36532627169519805,0.6121251013131144,0.3804976851851852,0.0,0.0,0.8259290290227475,0.13463047357253086,1,8.197928758737444,0.818300018597254,0.10586017370223999,0.0,0.0048026335231521325,0.320312;0.898438
0003.jpg,P2,entire plant excluding pot,1.039499529873773,0.4051588260861071,1.0,0.698400917500451,0.8418923505848089,0.26892638206481934,1.0,0.9029199743918054,1,0.39662383462653583,0.6416135433845047,0.4976851851851852,0.0,0.0,0.8247576110862584,0.17003773630401234,1,8.636846686254653,0.8418923505848089,0.06723159551620483,0.0,0.004430071449791933,0.878906
0003.jpg,P3,leaves and stems,1.0145162127809981,0.3241381710032818,1.0,0.6911488037436088,0.8095456256669851,0.4190583825111389,1.0,0.7134531858544946,1,0.3657380161959952,0.6149601615547556,0.38078703703703703,0.0,0.0,0.8196029298516405,0.1380345775462963,1,8.937328534275055,0.8095456256669851,0.10476459562778473,0.0,0.00560653463928295,0.796875
0003.jpg,P4,crop seedling,0.5904761904761905,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,
0003.jpg,P5,plant body without background,0.3904761904761905,0.0,1.0,0.9523809523809523,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,
