图像,选择提示词,选择分数,前景面积比例,恢复细结构像素,A5c接受,A5c原因,A5c修正像素比例,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU,几何分数,几何标记
0000.jpg,P2,1.084685192441317,0.18062885802469136,7,1,ok,0.0005455488040123457,0,sam3_if_supported,1,ok,1,9,0.993281187458752,0.9867531003382187,ok
0001.jpg,P2,1.0714540884366235,0.17864354263117285,4,1,ok,0.0005594135802469136,0,sam3_if_supported,1,ok,1,9,0.9935484438632719,0.9887114537444934,ok
0002.jpg,P2,1.0576327097843898,0.1745187114197531,7,1,ok,0.0005063657407407407,0,sam3_if_supported,1,ok,1,9,0.992710555284986,0.9837283339228865,ok
0003.jpg,P2,1.039499529873773,0.16925877700617284,4,1,ok,0.0003499951774691358,0,sam3_if_supported,1,ok,1,9,0.9762278326542893,0.9770992366412213,ok
0004.jpg,P2,1.042299783979169,0.17054808063271604,11,1,ok,0.0005164930555555555,0,sam3_if_supported,1,ok,1,9,0.974754493565427,0.9864406779661017,ok
0005.jpg,P2,1.0534727738981424,0.16604552469135803,11,1,ok,0.00043390721450617284,0,sam3_if_supported,1,ok,1,9,0.9721276245692146,0.9839786381842457,ok
0006.jpg,P2,1.04401132052545,0.1592925347222222,6,1,ok,0.000568455825617284,0,sam3_if_supported,1,ok,1,9,0.9894937446308493,0.9869827986982799,ok
0007.jpg,P2,1.0719555500291302,0.15696638695987655,8,1,ok,0.0005680941358024691,0,sam3_if_supported,1,ok,1,9,0.9927961852999637,0.9877460081693279,ok
0008.jpg,P2,1.0628736700990853,0.16543173707561729,3,1,ok,0.0002594521604938272,0,sam3_if_supported,1,ok,1,9,0.9886880998430829,0.9764957264957265,ok
0009.jpg,P2,1.0552416177603066,0.17700629340277776,4,1,ok,0.0003811005015432099,0,sam3_if_supported,1,ok,1,9,0.9918831323838533,0.9750859106529209,ok
0010.jpg,P2,1.0996406568917667,0.1915184944058642,6,1,ok,0.0003452932098765432,0,sam3_if_supported,1,ok,1,9,0.991966822795674,0.9789132197891321,ok
0011.jpg,P2,1.0959236932457606,0.20227575231481482,5,1,ok,0.0003197337962962963,0,sam3_if_supported,1,ok,1,9,0.975043155068206,0.9685714285714285,ok
0012.jpg,P2,0.7636650674284099,0.20143819926697532,7,1,ok,0.0006674382716049383,0,sam3_if_supported,1,ok,1,9,0.9948784041174461,0.982003599280144,ok
0013.jpg,P3,0.8128597212031843,0.15370924961419752,27,1,ok,0.0005784625771604938,0,sam3_if_supported,1,ok,1,9,0.9905231982655561,0.9699170124481328,ok
0014.jpg,P2,0.8131995333601463,0.1927885079089506,9,1,ok,0.0003913483796296296,0,sam3_if_supported,1,ok,1,9,0.9901763620159345,0.9763313609467456,ok
0015.jpg,P1,1.1016561173103079,0.15290653935185186,10,1,ok,3.7254050925925924e-05,0,sam3_if_supported,1,ok,1,9,0.9872288263858233,0.9331395348837209,ok
0016.jpg,P1,1.0962775899983228,0.14297538097993828,5,1,ok,0.00013852719907407406,0,sam3_if_supported,1,ok,1,9,0.9800561961344689,0.9430255402750491,ok
0017.jpg,P3,1.0980005986885173,0.13309039834104938,8,1,ok,0.0003352864583333333,0,sam3_if_supported,1,ok,1,9,0.9767238992597433,0.9518348623853211,ok
0018.jpg,P3,1.1057997545846814,0.12489619502314815,6,1,ok,0.0004776716820987654,0,sam3_if_supported,1,ok,1,9,0.977584149054074,0.9585439838220424,ok
0019.jpg,P3,1.1306090207832873,0.12249011381172839,7,1,ok,0.0001953125,0,sam3_if_supported,1,ok,1,9,0.9693129725839684,0.9546191247974068,ok
0020.jpg,P3,1.1539557459237724,0.12788025655864196,6,1,ok,0.000341796875,0,sam3_if_supported,1,ok,1,9,0.9815979710462407,0.9750566893424036,ok
