image,label,x,y,source
0000.jpg,1,1301,1304,distance_transform
0000.jpg,1,1368,1248,distance_transform
0000.jpg,1,1308,1390,distance_transform
0000.jpg,1,1442,1204,distance_transform
0000.jpg,1,1219,1330,distance_transform
0000.jpg,0,1170,289,outer_ring
0000.jpg,0,1845,562,outer_ring
0000.jpg,0,2035,731,outer_ring
0000.jpg,0,930,900,outer_ring
0000.jpg,0,764,1179,outer_ring
0000.jpg,0,618,1425,outer_ring
0000.jpg,0,996,1786,outer_ring
0000.jpg,0,1344,2107,outer_ring
0001.jpg,1,1324,1298,distance_transform
0001.jpg,1,1401,1259,distance_transform
0001.jpg,1,1313,1384,distance_transform
0001.jpg,1,1328,1212,distance_transform
0001.jpg,1,1244,1332,distance_transform
0001.jpg,0,1176,311,outer_ring
0001.jpg,0,1652,582,outer_ring
0001.jpg,0,2023,750,outer_ring
0001.jpg,0,832,919,outer_ring
0001.jpg,0,688,1193,outer_ring
0001.jpg,0,1894,1437,outer_ring
0001.jpg,0,1674,1799,outer_ring
0001.jpg,0,1354,2118,outer_ring
0002.jpg,1,1325,1327,distance_transform
0002.jpg,1,1403,1290,distance_transform
0002.jpg,1,1317,1413,distance_transform
0002.jpg,1,1332,1241,distance_transform
0002.jpg,1,1246,1364,distance_transform
0002.jpg,0,1183,359,outer_ring
0002.jpg,0,1861,623,outer_ring
0002.jpg,0,1162,790,outer_ring
0002.jpg,0,948,953,outer_ring
0002.jpg,0,773,1226,outer_ring
0002.jpg,0,1886,1466,outer_ring
0002.jpg,0,1683,1825,outer_ring
0002.jpg,0,1347,2139,outer_ring
0003.jpg,1,1334,1354,distance_transform
0003.jpg,1,1307,1436,distance_transform
0003.jpg,1,1415,1323,distance_transform
0003.jpg,1,1315,1270,distance_transform
0003.jpg,1,1249,1372,distance_transform
0003.jpg,0,1182,421,outer_ring
0003.jpg,0,1858,704,outer_ring
0003.jpg,0,2056,874,outer_ring
0003.jpg,0,699,1097,outer_ring
0003.jpg,0,618,1398,outer_ring
0003.jpg,0,675,1567,outer_ring
0003.jpg,0,1679,1800,outer_ring
0003.jpg,0,1316,2170,outer_ring
0004.jpg,1,1269,1430,distance_transform
0004.jpg,1,1348,1396,distance_transform
0004.jpg,1,1183,1426,distance_transform
0004.jpg,1,1274,1516,distance_transform
0004.jpg,1,1266,1344,distance_transform
0004.jpg,0,1141,491,outer_ring
0004.jpg,0,1192,742,outer_ring
0004.jpg,0,1443,901,outer_ring
0004.jpg,0,919,1050,outer_ring
0004.jpg,0,633,1364,outer_ring
0004.jpg,0,609,1593,outer_ring
0004.jpg,0,969,1925,outer_ring
0004.jpg,0,1287,2218,outer_ring
0005.jpg,1,1225,1488,distance_transform
0005.jpg,1,1305,1455,distance_transform
0005.jpg,1,1139,1482,distance_transform
0005.jpg,1,1230,1574,distance_transform
0005.jpg,1,1206,1404,distance_transform
0005.jpg,0,1089,569,outer_ring
0005.jpg,0,1711,807,outer_ring
0005.jpg,0,1391,965,outer_ring
0005.jpg,0,910,1105,outer_ring
0005.jpg,0,2024,1426,outer_ring
0005.jpg,0,1766,1655,outer_ring
0005.jpg,0,1579,1975,outer_ring
0005.jpg,0,1241,2262,outer_ring
0006.jpg,1,1169,1535,distance_transform
0006.jpg,1,1247,1498,distance_transform
0006.jpg,1,1083,1525,distance_transform
0006.jpg,1,1172,1621,distance_transform
0006.jpg,1,1140,1454,distance_transform
0006.jpg,0,1028,631,outer_ring
0006.jpg,0,1481,870,outer_ring
0006.jpg,0,1195,1021,outer_ring
0006.jpg,0,789,1162,outer_ring
0006.jpg,0,1942,1483,outer_ring
0006.jpg,0,1674,1709,outer_ring
0006.jpg,0,878,2015,outer_ring
0006.jpg,0,1201,2296,outer_ring
0007.jpg,1,1158,1535,distance_transform
0007.jpg,1,1073,1521,distance_transform
0007.jpg,1,1157,1621,distance_transform
0007.jpg,1,1233,1492,distance_transform
0007.jpg,1,1132,1453,distance_transform
0007.jpg,0,1022,636,outer_ring
0007.jpg,0,1116,871,outer_ring
0007.jpg,0,960,1020,outer_ring
0007.jpg,0,1737,1142,outer_ring
0007.jpg,0,1889,1453,outer_ring
0007.jpg,0,480,1722,outer_ring
0007.jpg,0,1493,2019,outer_ring
0007.jpg,0,1148,2296,outer_ring
0008.jpg,1,1204,1543,distance_transform
0008.jpg,1,1266,1483,distance_transform
0008.jpg,1,1201,1629,distance_transform
0008.jpg,1,1120,1524,distance_transform
0008.jpg,1,1342,1440,distance_transform
0008.jpg,0,1073,621,outer_ring
0008.jpg,0,1695,890,outer_ring
0008.jpg,0,923,1057,outer_ring
0008.jpg,0,1891,1226,outer_ring
0008.jpg,0,2004,1629,outer_ring
0008.jpg,0,1807,1781,outer_ring
