图像,提示词编号,提示词文本,总分,面积得分,连通域得分,边界得分,时序得分,前背景对比得分,下方泄漏得分,面积比例,连通域数量,边界密度,时序IoU,前背景对比,下方区域占比,SAM3原始分数
0000.jpg,P1,green plant,0.7934303233567856,0.3756516521136115,1.0,0.6405959429192278,1.0,0.5377646684646606,1.0,0.15838240258487654,1,11.220928295079418,1.0,0.13444116711616516,0.0,
0000.jpg,P2,entire plant excluding pot,0.7105043944952761,0.543769961615096,1.0,0.6589078118382452,1.0,0.5791422724723816,0.595855357770605,0.22478913483796295,1,10.35325980458976,1.0,0.1447855681180954,0.033565192859606185,
0000.jpg,P3,leaves and stems,0.8033779698080894,0.410872609489764,1.0,0.6466769925289841,1.0,0.5660961866378784,1.0,0.1722946807484568,1,10.927341209071384,1.0,0.1415240466594696,0.0,
0000.jpg,P4,crop seedling,0.7074829931972789,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,
0000.jpg,P5,plant body without background,0.7928833579832583,0.3753067495897796,1.0,0.6393174000804125,1.0,0.535559356212616,1.0,0.15824616608796296,1,11.28336566075697,1.0,0.133889839053154,0.0,
0001.jpg,P1,green plant,0.7725624036101978,0.37708955989217063,1.0,0.6379628181048097,0.8582252404071867,0.534659206867218,1.0,0.1589503761574074,1,11.349789411573887,0.8582252404071867,0.1336648017168045,0.0,
0001.jpg,P2,entire plant excluding pot,0.6861290671088666,0.5481029140295358,1.0,0.6592994988792736,0.8835201584436614,0.5726404190063477,0.5696702397016238,0.22650065104166667,1,10.335227061445499,0.8835201584436614,0.14316010475158691,0.03510803023601058,
0001.jpg,P3,leaves and stems,0.7626874275925513,0.3676859299304578,1.0,0.6559378049108467,0.7941075855656187,0.5210806727409363,1.0,0.15523594232253085,1,10.490695688318109,0.7941075855656187,0.13027016818523407,0.0,
0001.jpg,P4,crop seedling,0.7074829931972789,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,
0001.jpg,P5,plant body without background,0.7708653644659395,0.3705330544811689,1.0,0.6511194384404531,0.8546605429209471,0.5197445154190063,1.0,0.15636055652006173,1,10.716330705628387,0.8546605429209471,0.1299361288547516,0.0,
0002.jpg,P1,green plant,0.7694370563928616,0.3744847827785591,1.0,0.6402782916176446,0.8480255941499086,0.5232707262039185,1.0,0.15792148919753085,1,11.236417448217052,0.8480255941499086,0.13081768155097961,0.0,
0002.jpg,P2,entire plant excluding pot,0.66955973556436,0.5452792916862008,1.0,0.6727305610310454,0.8753367289757035,0.5585467219352722,0.5175124226611485,0.22538532021604937,1,9.729584410952649,0.8753367289757035,0.13963668048381805,0.038646415282470224,
0002.jpg,P3,leaves and stems,0.770985657915414,0.3690167042701984,1.0,0.6559214806118381,0.8577433881657835,0.5142180323600769,1.0,0.15576159818672838,1,10.49145452797821,0.8577433881657835,0.12855450809001923,0.0,
0002.jpg,P4,crop seedling,0.7074829931972789,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,
0002.jpg,P5,plant body without background,0.5646258503401361,0.0,1.0,0.9523809523809523,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,
0003.jpg,P1,green plant,0.7642763616999136,0.3721760724331926,1.0,0.6480928116242048,0.8182225693240841,0.5114430785179138,1.0,0.1570095486111111,1,10.859777552349948,0.8182225693240841,0.12786076962947845,0.0,
0003.jpg,P2,entire plant excluding pot,0.6370038465996753,0.5466405883731833,1.0,0.6673985021946582,0.8666633422427893,0.5417357683181763,0.4182943625344599,0.2259230324074074,1,9.967103513466762,0.8666633422427893,0.13543394207954407,0.047813219090066895,
0003.jpg,P3,leaves and stems,0.7657806285352953,0.36451648939287384,1.0,0.663230593218274,0.8358141658621914,0.4969031512737274,1.0,0.15398401331018519,1,10.155424379553393,0.8358141658621914,0.12422578781843185,0.0,
0003.jpg,P4,crop seedling,0.7074829931972789,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,
0003.jpg,P5,plant body without background,0.7074829931972789,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,
0004.jpg,P1,green plant,0.7299718673632883,0.37055045221909666,1.0,0.6653711252878924,0.5872915258315303,0.4865899682044983,1.0,0.1563674286265432,1,10.058412876492662,0.5872915258315303,0.12164749205112457,0.0,
0004.jpg,P2,entire plant excluding pot,0.5531255587896073,0.539336590678231,1.0,0.6855915837852024,0.6878281506084384,0.5101262331008911,0.2244981766772446,0.22303795331790124,1,9.171886693209542,0.6878281506084384,0.12753155827522278,0.08908758323125938,
0004.jpg,P3,leaves and stems,0.730353011813289,0.36456166246679167,1.0,0.6810485902137897,0.5895332745944277,0.4773275554180145,1.0,0.1540018566743827,1,9.366480288464805,0.5895332745944277,0.11933188885450363,0.0,
0004.jpg,P4,crop seedling,0.7074829931972789,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,
0004.jpg,P5,plant body without background,0.6451441876655009,0.36845204084622596,1.0,0.6660070561374748,0.0,0.4815502166748047,1.0,0.15553855613425926,1,10.029711871208267,0.0,0.12038755416870117,0.0,
0005.jpg,P1,green plant,0.7537782894291329,0.3606108498398187,1.0,0.6758545786872601,0.782645158416641,0.4573374390602112,1.0,0.1524412856867284,1,9.592164691473743,0.782645158416641,0.1143343597650528,0.0,
0005.jpg,P2,entire plant excluding pot,0.5649006138413581,0.5280820855797781,1.0,0.692396519953259,0.8405528101517691,0.4999900162220001,0.1966414324913506,0.21859242380401234,1,8.885182729327008,0.8405528101517691,0.12499750405550003,0.10170796533878847,
0005.jpg,P3,leaves and stems,0.7546972336269305,0.360654191572902,1.0,0.6786404656566287,0.7909497958507862,0.452636182308197,1.0,0.1524584056712963,1,9.470685896469055,0.7909497958507862,0.11315904557704926,0.0,
0005.jpg,P4,crop seedling,0.7074829931972789,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,
0005.jpg,P5,plant body without background,0.5646258503401361,0.0,1.0,0.9523809523809523,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,
0006.jpg,P1,green plant,0.7567322077144818,0.36223677527738707,1.0,0.6877490252280349,0.800450584224863,0.44668906927108765,1.0,0.1530835262345679,1,9.08037564047242,0.800450584224863,0.11167226731777191,0.0,
0006.jpg,P2,entire plant excluding pot,0.5600479751701762,0.5211602276722925,1.0,0.703147285109507,0.8387749759788706,0.4919016659259796,0.18267583575229185,0.21585828993055556,1,8.443542944043697,0.8387749759788706,0.1229754164814949,0.10948355548853199,
0006.jpg,P3,leaves and stems,0.8157780197231298,0.568732968530239,1.0,0.6792097831745827,0.5453091987159434,0.9171941876411438,1.0,0.23464952256944444,1,9.445983399298651,0.5453091987159434,0.22929854691028595,0.006263753823325251,
0006.jpg,P4,crop seedling,0.7074829931972789,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,
0006.jpg,P5,plant body without background,0.6422769203172286,0.3631353531801843,1.0,0.6874526208816938,0.0,0.4453504681587219,1.0,0.15343846450617285,1,9.09291403144112,0.0,0.11133761703968048,0.0,
0007.jpg,P1,green plant,0.8123955076329157,0.5405486330872011,1.0,0.6385282635142019,0.5876049153815581,0.9200867414474487,1.0,0.22351671006944446,1,11.322027767303632,0.5876049153815581,0.23002168536186218,0.005163066490393147,
0007.jpg,P2,entire plant excluding pot,0.6382768505376778,0.7260903192881699,1.0,0.6824882992925587,0.639656786608323,0.9702101349830627,0.22474620679581517,0.29680567611882713,1,9.304531697805276,0.639656786608323,0.24255253374576569,0.08898926609324383,
0007.jpg,P3,leaves and stems,0.8572038530593301,0.5533881636779183,1.0,0.6764351416663438,0.832527229551426,0.9380764365196228,1.0,0.22858832465277779,1,9.566766668466693,0.832527229551426,0.2345191091299057,0.005178789274067604,
0007.jpg,P4,crop seedling,0.7074829931972789,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,
0007.jpg,P5,plant body without background,0.7641904236917293,0.3552850054696046,1.0,0.6952600719499683,0.849350359573884,0.44943752884864807,1.0,0.15033757716049384,1,8.766213977895772,0.849350359573884,0.11235938221216202,0.0,
0008.jpg,P1,green plant,0.8091237068502268,0.5187626972964525,1.0,0.6890701746943135,0.7382432471835083,0.7177898287773132,1.0,0.21491126543209876,1,9.02462003796991,0.7382432471835083,0.1794474571943283,0.0,
0008.jpg,P2,entire plant excluding pot,0.6407338066819641,0.7526597173386467,1.0,0.6711817035030497,0.8125993896624623,0.8975024223327637,0.17559670696841306,0.30730058834876545,1,9.798190110987022,0.8125993896624623,0.22437560558319092,0.11389735232106413,
0008.jpg,P3,leaves and stems,0.8133407212235811,0.537364541822941,1.0,0.684057898418231,0.7411597742899301,0.7308028340339661,1.0,0.22225899402006172,1,9.237291238426806,0.7411597742899301,0.18270070850849152,0.0,
0008.jpg,P4,crop seedling,0.7074829931972789,0.0,1.0,0.9523809523809523,1.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,
0008.jpg,P5,plant body without background,0.5646258503401361,0.0,1.0,0.9523809523809523,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,
0009.jpg,P1,green plant,0.7312809122243972,0.4190730485232067,1.0,0.7097275166748386,0.6469348576194387,0.3432309627532959,1.0,0.17553385416666667,1,8.179828920403816,0.6469348576194387,0.08580774068832397,0.0,
0009.jpg,P2,entire plant excluding pot,0.5182342707965503,0.5702734313955304,1.0,0.7208501377618071,0.6737847741382619,0.3867748975753784,0.13797832735243684,0.23525800540123457,1,7.745017934100287,0.6737847741382619,0.0966937243938446,0.14495030041141296,
0009.jpg,P3,leaves and stems,0.8157393651012893,0.547074616150961,1.0,0.6934583613282246,0.8339399086093251,0.6357026696205139,1.0,0.22609447337962962,1,8.840952990591587,0.8339399086093251,0.15892566740512848,0.0,
