图像,选择提示词,选择分数,前景面积比例,恢复细结构像素,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
0000.jpg,P3,0.8033779698080894,0.1722946807484568,0,0,disabled,0,module_off,,,
0001.jpg,P1,0.7725624036101978,0.1589503761574074,0,0,disabled,0,module_off,,,
0002.jpg,P3,0.770985657915414,0.15576159818672838,0,0,disabled,0,module_off,,,
0003.jpg,P3,0.7657806285352953,0.15398401331018519,0,0,disabled,0,module_off,,,
0004.jpg,P3,0.730353011813289,0.1540018566743827,0,0,disabled,0,module_off,,,
0005.jpg,P3,0.7546972336269305,0.1524584056712963,0,0,disabled,0,module_off,,,
0006.jpg,P3,0.8157780197231298,0.23464952256944444,0,0,disabled,0,module_off,,,
0007.jpg,P3,0.8572038530593301,0.22858832465277779,0,0,disabled,0,module_off,,,
0008.jpg,P3,0.8133407212235811,0.22225899402006172,0,0,disabled,0,module_off,,,
0009.jpg,P3,0.8157393651012893,0.22609447337962962,0,0,disabled,0,module_off,,,
