image,label,x,y,source
0000.jpg,1,1153,1340,distance_transform
0000.jpg,1,1149,1254,distance_transform
0000.jpg,1,1083,1390,distance_transform
0000.jpg,1,1231,1378,distance_transform
0000.jpg,1,1222,1207,distance_transform
0000.jpg,0,768,582,outer_ring
0000.jpg,0,1315,744,outer_ring
0000.jpg,0,487,836,outer_ring
0000.jpg,0,279,1048,outer_ring
0000.jpg,0,1978,1359,outer_ring
0000.jpg,0,1724,1545,outer_ring
0000.jpg,0,1011,1761,outer_ring
0000.jpg,0,2148,1910,outer_ring
0001.jpg,1,1186,1349,distance_transform
0001.jpg,1,1192,1263,distance_transform
0001.jpg,1,1107,1384,distance_transform
0001.jpg,1,1135,1198,distance_transform
0001.jpg,1,1255,1204,distance_transform
0001.jpg,0,805,574,outer_ring
0001.jpg,0,319,738,outer_ring
0001.jpg,0,1382,832,outer_ring
0001.jpg,0,1880,1096,outer_ring
0001.jpg,0,732,1347,outer_ring
0001.jpg,0,1989,1571,outer_ring
0001.jpg,0,1491,1722,outer_ring
0001.jpg,0,1286,1874,outer_ring
0002.jpg,1,1229,1310,distance_transform
0002.jpg,1,1170,1373,distance_transform
0002.jpg,1,1266,1232,distance_transform
0002.jpg,1,1183,1208,distance_transform
0002.jpg,1,1302,1356,distance_transform
0002.jpg,0,852,563,outer_ring
0002.jpg,0,1394,730,outer_ring
0002.jpg,0,602,821,outer_ring
0002.jpg,0,1936,1013,outer_ring
0002.jpg,0,751,1299,outer_ring
0002.jpg,0,1611,1587,outer_ring
0002.jpg,0,1325,1718,outer_ring
0002.jpg,0,1294,1846,outer_ring
0003.jpg,1,1267,1334,distance_transform
0003.jpg,1,1205,1394,distance_transform
0003.jpg,1,1304,1256,distance_transform
0003.jpg,1,1221,1233,distance_transform
0003.jpg,1,1337,1384,distance_transform
0003.jpg,0,886,587,outer_ring
0003.jpg,0,658,755,outer_ring
0003.jpg,0,640,845,outer_ring
0003.jpg,0,2091,1048,outer_ring
0003.jpg,0,779,1314,outer_ring
0003.jpg,0,1684,1631,outer_ring
0003.jpg,0,807,1750,outer_ring
0003.jpg,0,1256,1846,outer_ring
0004.jpg,1,1347,1453,distance_transform
0004.jpg,1,1276,1502,distance_transform
0004.jpg,1,1414,1399,distance_transform
0004.jpg,1,1409,1513,distance_transform
0004.jpg,1,1297,1383,distance_transform
0004.jpg,0,908,720,outer_ring
0004.jpg,0,1916,862,outer_ring
0004.jpg,0,503,992,outer_ring
0004.jpg,0,847,1242,outer_ring
0004.jpg,0,738,1510,outer_ring
0004.jpg,0,1838,1779,outer_ring
0004.jpg,0,1164,1888,outer_ring
0004.jpg,0,1378,2007,outer_ring
0005.jpg,1,1336,1491,distance_transform
0005.jpg,1,1401,1433,distance_transform
0005.jpg,1,1259,1530,distance_transform
0005.jpg,1,1284,1422,distance_transform
0005.jpg,1,1370,1570,distance_transform
0005.jpg,0,969,782,outer_ring
0005.jpg,0,1976,929,outer_ring
0005.jpg,0,1593,1055,outer_ring
0005.jpg,0,956,1363,outer_ring
0005.jpg,0,2057,1570,outer_ring
0005.jpg,0,572,1768,outer_ring
0005.jpg,0,766,1890,outer_ring
0005.jpg,0,1614,2054,outer_ring
0006.jpg,1,900,1357,distance_transform
0006.jpg,1,973,1403,distance_transform
0006.jpg,1,819,1387,distance_transform
0006.jpg,1,1051,1443,distance_transform
0006.jpg,1,1132,1473,distance_transform
0006.jpg,0,960,813,outer_ring
0006.jpg,0,1851,990,outer_ring
0006.jpg,0,417,1149,outer_ring
0006.jpg,0,1993,1426,outer_ring
0006.jpg,0,1718,1632,outer_ring
0006.jpg,0,1057,1909,outer_ring
0006.jpg,0,1430,2077,outer_ring
0006.jpg,0,10,2515,outer_ring
0007.jpg,1,982,1435,distance_transform
0007.jpg,1,1213,1523,distance_transform
0007.jpg,1,1063,1466,distance_transform
0007.jpg,1,942,1358,distance_transform
0007.jpg,1,1295,1495,distance_transform
0007.jpg,0,970,826,outer_ring
0007.jpg,0,418,999,outer_ring
0007.jpg,0,422,1197,outer_ring
0007.jpg,0,1984,1423,outer_ring
0007.jpg,0,1700,1629,outer_ring
0007.jpg,0,3,1908,outer_ring
0007.jpg,0,1523,2098,outer_ring
0007.jpg,0,12,2474,outer_ring
0008.jpg,1,1261,1532,distance_transform
0008.jpg,1,1345,1513,distance_transform
0008.jpg,1,1221,1609,distance_transform
0008.jpg,1,1207,1465,distance_transform
0008.jpg,1,1416,1464,distance_transform
0008.jpg,0,985,801,outer_ring
0008.jpg,0,1537,988,outer_ring
0008.jpg,0,2118,1188,outer_ring
0008.jpg,0,573,1506,outer_ring
0008.jpg,0,1754,1635,outer_ring
0008.jpg,0,1515,1925,outer_ring
0008.jpg,0,1323,2160,outer_ring
0008.jpg,0,221,2361,outer_ring
0009.jpg,1,1281,1544,distance_transform
0009.jpg,1,1366,1529,distance_transform
0009.jpg,1,1238,1619,distance_transform
0009.jpg,1,1229,1475,distance_transform
0009.jpg,1,1194,1695,distance_transform
0009.jpg,0,1023,800,outer_ring
0009.jpg,0,1322,996,outer_ring
0009.jpg,0,2154,1225,outer_ring
0009.jpg,0,534,1536,outer_ring
0009.jpg,0,593,1672,outer_ring
0009.jpg,0,915,1982,outer_ring
0009.jpg,0,1623,2224,outer_ring
0009.jpg,0,311,2329,outer_ring
