图像,选择提示词,选择分数,前景面积比例,恢复细结构像素,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU,几何分数,几何标记
0000.jpg,P2,0.7563640091851446,0.2282888454861111,9,1,sam3_if_supported,1,ok,1,9,0.9845964462193222,0.60108644307983,low
0001.jpg,P2,0.7327125980717637,0.23063500675154322,12,1,sam3_if_supported,1,ok,1,9,0.9820678154820869,0.597168905950096,low
0002.jpg,P2,0.7303786607256445,0.2304905719521605,8,1,sam3_if_supported,1,ok,1,9,0.9777698041539674,0.6096819457436857,low
0003.jpg,P2,0.7244876402257614,0.22886586130401235,13,1,sam3_if_supported,1,ok,1,9,0.987034919277057,0.6270584436551502,low
0004.jpg,P2,0.6845765116345526,0.22604142554012346,11,1,sam3_if_supported,1,ok,1,9,0.9866936619417823,0.5553369404820462,low
0005.jpg,P2,0.7122042863813612,0.22124638310185185,4,1,sam3_if_supported,1,ok,1,9,0.9879633423862105,0.5673480083857443,low
0006.jpg,P3,0.7420892276123817,0.23400426793981483,24,1,sam3_if_supported,1,ok,1,9,0.9669526620033032,0.5073275862068966,low
0007.jpg,P2,0.8036891080344228,0.28530140817901234,99,1,sam3_if_supported,1,ok,1,9,0.9443435896485931,0.6921862667719021,low
0008.jpg,P2,0.8267886465673845,0.25899016203703706,45,1,sam3_if_supported,1,ok,1,9,0.813647371721409,0.6226870474658085,low
0009.jpg,P3,0.7420351111418049,0.23821747202932098,19,1,sam3_if_supported,1,ok,1,9,0.9301941526658026,0.586224620920072,low
