image,label,x,y,source
0000.jpg,1,1275,1805,distance_transform
0000.jpg,1,1147,1368,distance_transform
0000.jpg,1,1295,1890,distance_transform
0000.jpg,1,1152,1282,distance_transform
0000.jpg,1,1314,1974,distance_transform
0000.jpg,0,766,582,outer_ring
0000.jpg,0,2159,753,outer_ring
0000.jpg,0,251,869,outer_ring
0000.jpg,0,1821,1148,outer_ring
0000.jpg,0,1770,1410,outer_ring
0000.jpg,0,2069,1651,outer_ring
0000.jpg,0,919,1984,outer_ring
0000.jpg,0,1327,2537,outer_ring
0001.jpg,1,1181,1361,distance_transform
0001.jpg,1,1307,1806,distance_transform
0001.jpg,1,1326,1893,distance_transform
0001.jpg,1,1187,1275,distance_transform
0001.jpg,1,1345,1979,distance_transform
0001.jpg,0,805,573,outer_ring
0001.jpg,0,392,746,outer_ring
0001.jpg,0,1110,865,outer_ring
0001.jpg,0,711,1158,outer_ring
0001.jpg,0,657,1411,outer_ring
0001.jpg,0,851,1653,outer_ring
0001.jpg,0,959,1993,outer_ring
0001.jpg,0,1371,2541,outer_ring
0002.jpg,1,1223,1364,distance_transform
0002.jpg,1,1330,1794,distance_transform
0002.jpg,1,1229,1278,distance_transform
0002.jpg,1,1347,1879,distance_transform
0002.jpg,1,1371,1962,distance_transform
0002.jpg,0,858,561,outer_ring
0002.jpg,0,2158,738,outer_ring
0002.jpg,0,1125,845,outer_ring
0002.jpg,0,619,1117,outer_ring
0002.jpg,0,1637,1423,outer_ring
0002.jpg,0,522,1682,outer_ring
0002.jpg,0,1758,2046,outer_ring
0002.jpg,0,1412,2548,outer_ring
0003.jpg,1,1257,1391,distance_transform
0003.jpg,1,1359,1817,distance_transform
0003.jpg,1,1375,1902,distance_transform
0003.jpg,1,1264,1305,distance_transform
0003.jpg,1,1399,1994,distance_transform
0003.jpg,0,883,587,outer_ring
0003.jpg,0,511,772,outer_ring
0003.jpg,0,402,897,outer_ring
0003.jpg,0,1908,1217,outer_ring
0003.jpg,0,1926,1431,outer_ring
0003.jpg,0,964,1684,outer_ring
0003.jpg,0,1027,2051,outer_ring
0003.jpg,0,1412,2572,outer_ring
0004.jpg,1,1334,1518,distance_transform
0004.jpg,1,1426,1921,distance_transform
0004.jpg,1,1441,2006,distance_transform
0004.jpg,1,1377,1443,distance_transform
0004.jpg,1,1458,2093,distance_transform
0004.jpg,0,911,720,outer_ring
0004.jpg,0,1563,884,outer_ring
0004.jpg,0,1361,1054,outer_ring
0004.jpg,0,1849,1396,outer_ring
0004.jpg,0,715,1584,outer_ring
0004.jpg,0,842,1825,outer_ring
0004.jpg,0,1857,2222,outer_ring
0004.jpg,0,1455,2678,outer_ring
0005.jpg,1,1308,1569,distance_transform
0005.jpg,1,1349,1493,distance_transform
0005.jpg,1,1397,1950,distance_transform
0005.jpg,1,1408,2036,distance_transform
0005.jpg,1,1325,1654,distance_transform
0005.jpg,0,984,780,outer_ring
0005.jpg,0,363,936,outer_ring
0005.jpg,0,1628,1109,outer_ring
0005.jpg,0,869,1459,outer_ring
0005.jpg,0,1856,1642,outer_ring
0005.jpg,0,963,1877,outer_ring
0005.jpg,0,1074,2274,outer_ring
0005.jpg,0,1401,2707,outer_ring
0006.jpg,1,900,1357,distance_transform
0006.jpg,1,973,1403,distance_transform
0006.jpg,1,819,1387,distance_transform
0006.jpg,1,1051,1443,distance_transform
0006.jpg,1,1132,1473,distance_transform
0006.jpg,0,960,813,outer_ring
0006.jpg,0,1851,990,outer_ring
0006.jpg,0,417,1149,outer_ring
0006.jpg,0,1993,1426,outer_ring
0006.jpg,0,1718,1632,outer_ring
0006.jpg,0,1057,1909,outer_ring
0006.jpg,0,1430,2077,outer_ring
0006.jpg,0,10,2515,outer_ring
0007.jpg,1,1205,1550,distance_transform
0007.jpg,1,981,1433,distance_transform
0007.jpg,1,1127,1512,distance_transform
0007.jpg,1,941,1356,distance_transform
0007.jpg,1,1043,1493,distance_transform
0007.jpg,0,971,826,outer_ring
0007.jpg,0,1838,1036,outer_ring
0007.jpg,0,197,1298,outer_ring
0007.jpg,0,375,1488,outer_ring
0007.jpg,0,1,1726,outer_ring
0007.jpg,0,923,2108,outer_ring
0007.jpg,0,1013,2399,outer_ring
0007.jpg,0,1355,2733,outer_ring
0008.jpg,1,1209,1785,distance_transform
0008.jpg,1,1281,1555,distance_transform
0008.jpg,1,1235,1703,distance_transform
0008.jpg,1,1240,1866,distance_transform
0008.jpg,1,1275,1945,distance_transform
0008.jpg,0,991,802,outer_ring
0008.jpg,0,1322,1043,outer_ring
0008.jpg,0,750,1264,outer_ring
0008.jpg,0,316,1493,outer_ring
0008.jpg,0,1810,1691,outer_ring
0008.jpg,0,948,2250,outer_ring
0008.jpg,0,1732,2529,outer_ring
0008.jpg,0,7,2965,outer_ring
0009.jpg,1,1281,1544,distance_transform
0009.jpg,1,1366,1529,distance_transform
0009.jpg,1,1238,1619,distance_transform
0009.jpg,1,1229,1475,distance_transform
0009.jpg,1,1194,1695,distance_transform
0009.jpg,0,1023,800,outer_ring
0009.jpg,0,1322,996,outer_ring
0009.jpg,0,2154,1225,outer_ring
0009.jpg,0,534,1536,outer_ring
0009.jpg,0,593,1672,outer_ring
0009.jpg,0,915,1982,outer_ring
0009.jpg,0,1623,2224,outer_ring
0009.jpg,0,311,2329,outer_ring
