图像,原连通域数,最大连通域占原掩膜比例,处理后连通域数,原面积比例,处理后面积比例,移除像素比例,相对原掩膜移除比例
0000.jpg,1,1.00000000,1,0.22828885,0.22828885,0.00000000,0.00000000
0001.jpg,1,1.00000000,1,0.23063501,0.23063501,0.00000000,0.00000000
0002.jpg,1,1.00000000,1,0.23049057,0.23049057,0.00000000,0.00000000
0003.jpg,1,1.00000000,1,0.22886586,0.22886586,0.00000000,0.00000000
0004.jpg,1,1.00000000,1,0.22604143,0.22604143,0.00000000,0.00000000
0005.jpg,1,1.00000000,1,0.22124638,0.22124638,0.00000000,0.00000000
0006.jpg,1,1.00000000,1,0.23400427,0.23400427,0.00000000,0.00000000
0007.jpg,3,0.99999915,1,0.28530141,0.28530117,0.00000024,0.00000085
0008.jpg,1,1.00000000,1,0.25899016,0.25899016,0.00000000,0.00000000
0009.jpg,1,1.00000000,1,0.23821747,0.23821747,0.00000000,0.00000000
