image,label,x,y,source
0000.jpg,1,1275,1805,distance_transform
0000.jpg,1,1147,1368,distance_transform
0000.jpg,1,1295,1890,distance_transform
0000.jpg,1,1152,1282,distance_transform
0000.jpg,1,1314,1974,distance_transform
0000.jpg,0,766,582,outer_ring
0000.jpg,0,2159,753,outer_ring
0000.jpg,0,251,869,outer_ring
0000.jpg,0,1821,1148,outer_ring
0000.jpg,0,1770,1410,outer_ring
0000.jpg,0,2069,1651,outer_ring
0000.jpg,0,919,1984,outer_ring
0000.jpg,0,1327,2537,outer_ring
0001.jpg,1,1181,1361,distance_transform
0001.jpg,1,1307,1806,distance_transform
0001.jpg,1,1326,1893,distance_transform
0001.jpg,1,1187,1275,distance_transform
0001.jpg,1,1345,1979,distance_transform
0001.jpg,0,805,573,outer_ring
0001.jpg,0,392,746,outer_ring
0001.jpg,0,1110,865,outer_ring
0001.jpg,0,711,1158,outer_ring
0001.jpg,0,657,1411,outer_ring
0001.jpg,0,851,1653,outer_ring
0001.jpg,0,959,1993,outer_ring
0001.jpg,0,1371,2541,outer_ring
0002.jpg,1,1223,1364,distance_transform
0002.jpg,1,1330,1794,distance_transform
0002.jpg,1,1229,1278,distance_transform
0002.jpg,1,1347,1879,distance_transform
0002.jpg,1,1371,1962,distance_transform
0002.jpg,0,858,561,outer_ring
0002.jpg,0,2158,738,outer_ring
0002.jpg,0,1125,845,outer_ring
0002.jpg,0,619,1117,outer_ring
0002.jpg,0,1637,1423,outer_ring
0002.jpg,0,522,1682,outer_ring
0002.jpg,0,1758,2046,outer_ring
0002.jpg,0,1412,2548,outer_ring
0003.jpg,1,1257,1391,distance_transform
0003.jpg,1,1359,1817,distance_transform
0003.jpg,1,1375,1902,distance_transform
0003.jpg,1,1264,1305,distance_transform
0003.jpg,1,1399,1994,distance_transform
0003.jpg,0,883,587,outer_ring
0003.jpg,0,511,772,outer_ring
0003.jpg,0,402,897,outer_ring
0003.jpg,0,1908,1217,outer_ring
0003.jpg,0,1926,1431,outer_ring
0003.jpg,0,964,1684,outer_ring
0003.jpg,0,1027,2051,outer_ring
0003.jpg,0,1412,2572,outer_ring
0004.jpg,1,1264,1530,distance_transform
0004.jpg,1,1293,1613,distance_transform
0004.jpg,1,1207,1465,distance_transform
0004.jpg,1,1322,1697,distance_transform
0004.jpg,1,1334,1480,distance_transform
0004.jpg,0,911,720,outer_ring
0004.jpg,0,701,882,outer_ring
0004.jpg,0,2145,1042,outer_ring
0004.jpg,0,1826,1402,outer_ring
0004.jpg,0,525,1737,outer_ring
0004.jpg,0,731,1898,outer_ring
0004.jpg,0,1841,2286,outer_ring
0004.jpg,0,1455,2678,outer_ring
0005.jpg,1,1270,1533,distance_transform
0005.jpg,1,1298,1615,distance_transform
0005.jpg,1,1210,1471,distance_transform
0005.jpg,1,1326,1697,distance_transform
0005.jpg,1,1332,1473,distance_transform
0005.jpg,0,984,780,outer_ring
0005.jpg,0,1851,939,outer_ring
0005.jpg,0,2038,1123,outer_ring
0005.jpg,0,1798,1446,outer_ring
0005.jpg,0,1769,1650,outer_ring
0005.jpg,0,751,1891,outer_ring
0005.jpg,0,1073,2283,outer_ring
0005.jpg,0,1401,2707,outer_ring
0006.jpg,1,1242,1518,distance_transform
0006.jpg,1,1167,1475,distance_transform
0006.jpg,1,1277,1597,distance_transform
0006.jpg,1,1308,1462,distance_transform
0006.jpg,1,1125,1399,distance_transform
0006.jpg,0,984,780,outer_ring
0006.jpg,0,1593,1004,outer_ring
0006.jpg,0,631,1318,outer_ring
0006.jpg,0,385,1620,outer_ring
0006.jpg,0,1840,1977,outer_ring
0006.jpg,0,1530,2143,outer_ring
0006.jpg,0,1347,2296,outer_ring
0006.jpg,0,1412,2548,outer_ring
0007.jpg,1,1209,1523,distance_transform
0007.jpg,1,1244,1602,distance_transform
0007.jpg,1,1155,1456,distance_transform
0007.jpg,1,1274,1683,distance_transform
0007.jpg,1,1123,1536,distance_transform
0007.jpg,0,984,780,outer_ring
0007.jpg,0,353,966,outer_ring
0007.jpg,0,532,1187,outer_ring
0007.jpg,0,465,1412,outer_ring
0007.jpg,0,360,1723,outer_ring
0007.jpg,0,1791,2049,outer_ring
0007.jpg,0,982,2322,outer_ring
0007.jpg,0,1355,2733,outer_ring
0008.jpg,1,1252,1559,distance_transform
0008.jpg,1,1261,1645,distance_transform
0008.jpg,1,1315,1500,distance_transform
0008.jpg,1,1216,1480,distance_transform
0008.jpg,1,1168,1579,distance_transform
0008.jpg,0,984,780,outer_ring
0008.jpg,0,428,958,outer_ring
0008.jpg,0,600,1161,outer_ring
0008.jpg,0,375,1486,outer_ring
0008.jpg,0,1707,1792,outer_ring
0008.jpg,0,1763,2102,outer_ring
0008.jpg,0,485,2352,outer_ring
0008.jpg,0,1339,2776,outer_ring
0009.jpg,1,1249,1552,distance_transform
0009.jpg,1,1258,1638,distance_transform
0009.jpg,1,1204,1478,distance_transform
0009.jpg,1,1317,1499,distance_transform
0009.jpg,1,1165,1574,distance_transform
0009.jpg,0,984,780,outer_ring
0009.jpg,0,1277,961,outer_ring
0009.jpg,0,2130,1189,outer_ring
0009.jpg,0,2008,1531,outer_ring
0009.jpg,0,1781,1827,outer_ring
0009.jpg,0,1737,2099,outer_ring
0009.jpg,0,334,2304,outer_ring
0009.jpg,0,1412,2548,outer_ring
