图像,选择提示词,选择分数,A1s基础分数,前景面积比例,恢复细结构像素,共识启用,共识接受,共识回退IoU,共识删除像素比例,共识补回像素比例,记忆后端,记忆种子帧,记忆候选采用,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
0000.jpg,A1s,1.1688098016889006,1.1688098016889006,0.22478913483796295,0,1,1,0.8873,0.00497,0.02294,,,,0,disabled,0,module_off,,,
0001.jpg,A1s,1.1692712076930714,1.1459752393818037,0.22650065104166667,0,1,1,0.9137,0.00222,0.01896,,,,0,disabled,0,module_off,,,
0002.jpg,A1s,1.1949638773954734,1.1700312231906143,0.22538532021604937,0,1,1,0.914,0.00281,0.01813,,,,0,disabled,0,module_off,,,
0003.jpg,A1s,1.1892503173332787,1.1625829857818366,0.2259230324074074,0,1,1,0.9118,0.00458,0.01682,,,,0,disabled,0,module_off,,,
0004.jpg,A1s,1.1764793761165488,1.1140450062382365,0.22303795331790124,0,1,1,0.9078,0.0066,0.01539,,,,0,disabled,0,module_off,,,
0005.jpg,A1s,1.1560463836832922,1.124156945713646,0.21859242380401234,0,1,1,0.9202,0.00391,0.01471,,,,0,disabled,0,module_off,,,
0006.jpg,A1s,1.2338125230822317,1.1428743628254205,0.23464952256944444,0,1,1,0.7628,0.02293,0.04291,,,,0,disabled,0,module_off,,,
0007.jpg,A1s,1.3019531330183907,1.2298844903400554,0.29680567611882713,0,1,1,0.8838,0.02206,0.01405,,,,0,disabled,0,module_off,,,
0008.jpg,A1s,1.282874403199076,1.2453942811315684,0.30730058834876545,0,1,1,0.8523,0.03452,0.01274,,,,0,disabled,0,module_off,,,
0009.jpg,A6共识,1.178078112113347,1.1434614882301686,0.2532030044367284,0,1,1,0.8207,0.01005,0.03716,,,,0,disabled,0,module_off,,,
