image_name,weight,quality_score,raw_score,mask_score,geo_score
0000,0.897490,0.743726,0.630297,0.872288,0.652963
0001,0.885661,0.714154,0.634358,0.872301,0.497964
0002,0.888351,0.720877,0.628783,0.872127,0.541729
0003,0.880854,0.702135,0.587996,0.872753,0.517991
0004,0.873841,0.684601,0.561361,0.863481,0.497793
0005,0.889807,0.724518,0.605733,0.862736,0.621399
0006,0.882200,0.705501,0.611327,0.860874,0.520715
0007,0.886321,0.715803,0.626129,0.853078,0.563862
0008,0.881577,0.703942,0.601305,0.859264,0.534084
0009,0.875525,0.688812,0.573171,0.872229,0.478494
0010,0.885517,0.713792,0.593693,0.884976,0.538803
0011,0.891989,0.729973,0.671306,0.901930,0.445737
0012,0.899501,0.748751,0.658521,0.925247,0.509539
0013,0.910659,0.776647,0.727552,0.945925,0.481686
0014,0.916591,0.791478,0.729686,0.962049,0.515828
0015,0.915770,0.789425,0.748246,0.958056,0.482071
0016,0.928392,0.820980,0.747686,0.945350,0.669410
0017,0.916598,0.791495,0.747676,0.953644,0.503346
0018,0.928004,0.820009,0.745676,0.956813,0.642284
0019,0.923099,0.807748,0.750509,0.966472,0.550787
0020,0.902890,0.757224,0.681011,0.941931,0.475008
0021,0.894915,0.737287,0.653687,0.912321,0.489759
0022,0.907359,0.768397,0.697855,0.912166,0.568366
0023,0.900198,0.750495,0.658332,0.924393,0.520509
0024,0.920079,0.800198,0.726825,0.933639,0.628359
0025,0.921568,0.803919,0.702432,0.956850,0.637426
0026,0.914930,0.787324,0.695357,0.939711,0.605397
0027,0.912676,0.781691,0.706584,0.944542,0.546714
0028,0.904558,0.761395,0.701309,0.939818,0.465094
0029,0.910448,0.776120,0.728817,0.940226,0.489662
0030,0.898191,0.745477,0.643156,0.941934,0.482511
0031,0.895670,0.739175,0.629801,0.936342,0.486954
0032,0.876319,0.690798,0.577533,0.865707,0.495467
0033,0.860594,0.651485,0.593690,0.717129,0.604929
0034,0.871101,0.677752,0.639380,0.787777,0.497346
0035,0.887694,0.719235,0.584682,0.919867,0.503280
0036,0.870580,0.676450,0.463142,0.923607,0.493635
0037,0.889270,0.723176,0.529419,0.931255,0.594072
0038,0.885775,0.714437,0.481789,0.944719,0.603435
0039,0.900842,0.752104,0.434584,1.000000,0.750000
0040,0.892943,0.732357,0.378163,1.000000,0.750000
0041,0.900169,0.750422,0.429776,1.000000,0.750000
0042,0.901837,0.754592,0.441690,1.000000,0.750000
0043,0.879846,0.699616,0.464400,0.962541,0.519664
0044,0.872211,0.680528,0.493480,0.935726,0.433664
0045,0.874853,0.687132,0.522706,0.902109,0.491177
0046,0.872526,0.681315,0.562066,0.873702,0.457130
0047,0.878155,0.695387,0.640645,0.870999,0.396059
0048,0.894267,0.735669,0.716670,0.857261,0.495333
