image_name,registered,matched_points,matched_norm,inlier_ratio,reprojection_error,reprojection_score,geo_score,accepted,accept_rule
crop_0012,1.0,1667.0,0.361897349357605,0.2300262177452739,1.069344217100905,0.0,0.4979808917757197,False,threshold_0.550
crop_0017,1.0,872.0,0.009020217694342136,0.1848632605469578,1.069344217100905,0.0,0.39847086956032496,False,threshold_0.550
crop_0025,1.0,799.0,0.06967340409755707,0.1864209052729818,1.069344217100905,0.0,0.4140235773426347,False,threshold_0.550
crop_0061,1.0,379.0,0.9614307880401611,0.1597134428992836,1.069344217100905,0.0,0.6302860577348611,True,threshold_0.550
crop_0062,1.0,450.0,0.6660964488983154,0.17354415734670267,1.069344217100905,0.0,0.5599101515612545,True,threshold_0.550
crop_0064,1.0,544.0,0.25349920988082886,0.16042465349454438,1.069344217100905,0.0,0.4534809658438433,False,threshold_0.550
crop_0066,1.0,568.0,0.31181958317756653,0.1903485254691689,1.069344217100905,0.0,0.4755420271616838,False,threshold_0.550
crop_0067,1.0,484.0,0.39315706491470337,0.14622356495468278,1.069344217100905,0.0,0.4848451574673465,False,threshold_0.550
crop_0069,1.0,173.0,0.1894245743751526,0.09730033745781777,1.069344217100905,0.0,0.4216812279582426,False,threshold_0.550
crop_0070,1.0,95.0,0.19611197710037231,0.062050947093403,1.069344217100905,0.0,0.4145407310484438,False,threshold_0.550
crop_0071,1.0,349.0,0.8220840096473694,0.09206014244262728,1.069344217100905,0.0,0.5785360380224991,True,threshold_0.550
crop_0072,1.0,391.0,0.4083981215953827,0.10346652553585604,1.069344217100905,0.0,0.47796616178280965,False,threshold_0.550
crop_0073,1.0,380.0,0.2273716926574707,0.0895592740985152,1.069344217100905,0.0,0.42923274168899644,False,threshold_0.550
crop_0074,1.0,153.0,0.04416796192526817,0.07608155146693188,1.069344217100905,0.0,0.38006237834805,False,threshold_0.550
crop_0075,1.0,231.0,0.1426127552986145,0.10610932475884244,1.069344217100905,0.0,0.4121805200143642,False,threshold_0.550
crop_0102,1.0,6449.0,0.3828926980495453,0.6370641114294182,1.069344217100905,0.0,0.6049892023697409,True,threshold_0.550
crop_0105,1.0,6525.0,0.024883359670639038,0.6265603994622624,1.069344217100905,0.0,0.5128609397832253,False,threshold_0.550
crop_0106,1.0,6277.0,0.42426127195358276,0.6730645507184216,1.069344217100905,0.0,0.6243314556680011,True,threshold_0.550
crop_0107,1.0,5381.0,0.29035770893096924,0.6201452114786217,1.069344217100905,0.0,0.5776257301023977,True,threshold_0.550
crop_0108,1.0,1245.0,0.20373250544071198,0.33315493711533317,1.069344217100905,0.0,0.4842218606390113,False,threshold_0.550
crop_0109,1.0,2610.0,0.04432348534464836,0.43652784746613144,1.069344217100905,0.0,0.4702128332026949,False,threshold_0.550
crop_0111,1.0,2256.0,0.13374805450439453,0.41516378358483624,1.069344217100905,0.0,0.4872279595223077,False,threshold_0.550
crop_0113,1.0,816.0,0.1906687468290329,0.2908054169636493,1.069344217100905,0.0,0.47036854094817054,False,threshold_0.550
crop_0114,1.0,255.0,0.04603421315550804,0.1551094890510949,1.069344217100905,0.0,0.4002859255516507,False,threshold_0.550
crop_0115,1.0,1355.0,0.3561430871486664,0.36710918450284474,1.069344217100905,0.0,0.5308130679128777,False,threshold_0.550
crop_0116,1.0,1758.0,0.35972005128860474,0.3774962422160189,1.069344217100905,0.0,0.5343040733761559,False,threshold_0.550
crop_0117,1.0,968.0,0.20699843764305115,0.4003308519437552,1.069344217100905,0.0,0.5018323223967016,False,threshold_0.550
crop_0118,1.0,1530.0,0.2948678135871887,0.48402404302435936,1.069344217100905,0.0,0.544722964152887,False,threshold_0.550
crop_0119,1.0,2385.0,0.16905131936073303,0.4746268656716418,1.069344217100905,0.0,0.5109195462580937,False,threshold_0.550
crop_0120,1.0,2100.0,0.6524105668067932,0.5040806529044647,1.069344217100905,0.0,0.6391228049278145,True,threshold_0.550
crop_0121,1.0,2233.0,0.1793157011270523,0.4693148381672972,1.069344217100905,0.0,0.5121576348235873,False,threshold_0.550
crop_0122,1.0,1426.0,0.4461897313594818,0.3957812933666389,1.069344217100905,0.0,0.5604927561815302,True,threshold_0.550
crop_0123,1.0,2599.0,0.06982892751693726,0.4917691579943236,1.069344217100905,0.0,0.4903995213778152,False,threshold_0.550
crop_0129,1.0,1813.0,0.2231726348400116,0.3968045524184723,1.069344217100905,0.0,0.5049942968146209,False,threshold_0.550
crop_0131,1.0,1321.0,0.38942456245422363,0.38069164265129685,1.069344217100905,0.0,0.5425290512763801,False,threshold_0.550
crop_0133,1.0,1539.0,0.06049766764044762,0.41182766925341185,1.069344217100905,0.0,0.4680813342234649,False,threshold_0.550
crop_0134,1.0,2184.0,0.46376359462738037,0.46037099494097805,1.069344217100905,0.0,0.5810336473920896,True,threshold_0.550
crop_0135,1.0,2408.0,0.2586314082145691,0.4113426716774855,1.069344217100905,0.0,0.5174935199730136,False,threshold_0.550
crop_0136,1.0,1991.0,0.5555210113525391,0.4757467144563919,1.069344217100905,0.0,0.6078169314522327,True,threshold_0.550
crop_0137,1.0,1013.0,0.5379471182823181,0.33531943065210196,1.069344217100905,0.0,0.568316637233605,True,threshold_0.550
crop_0144,1.0,1313.0,0.16267496347427368,0.2936703198389622,1.069344217100905,0.0,0.4640863208283089,False,threshold_0.550
crop_0145,1.0,241.0,0.14603421092033386,0.12474120082815734,1.069344217100905,0.0,0.4176938529371228,False,threshold_0.550
crop_0146,1.0,2064.0,0.18273717164993286,0.30021818181818183,1.069344217100905,0.0,0.4707388383670287,False,threshold_0.550
crop_0151,1.0,2878.0,1.0,0.36625095444133365,1.069344217100905,0.0,0.6915627386103333,True,threshold_0.550
crop_0157,1.0,334.0,0.08786936104297638,0.20279295689131754,1.069344217100905,0.0,0.4226655794835735,False,threshold_0.550
crop_0158,1.0,397.0,0.1525660902261734,0.26626425217974514,1.069344217100905,0.0,0.4547075856014796,False,threshold_0.550
crop_0159,1.0,245.0,0.33250388503074646,0.19870235198702352,1.069344217100905,0.0,0.48280155925444246,False,threshold_0.550
crop_0160,1.0,1034.0,0.2671850621700287,0.4095049504950495,1.069344217100905,0.0,0.5191725031662695,False,threshold_0.550
crop_0161,1.0,3077.0,0.3360808789730072,0.5532182668104998,1.069344217100905,0.0,0.5723247864458767,True,threshold_0.550
crop_0163,1.0,3961.0,0.98818039894104,0.49811368209255535,1.069344217100905,0.0,0.7215735202583988,True,threshold_0.550
crop_0164,1.0,4211.0,0.046967338770627975,0.49646309832586655,1.069344217100905,0.0,0.4858576092741236,False,threshold_0.550
crop_0165,1.0,3667.0,0.023328149691224098,0.5602750190985485,1.069344217100905,0.0,0.4959007921974431,False,threshold_0.550
crop_0166,1.0,3554.0,0.17884914577007294,0.5360482654600301,1.069344217100905,0.0,0.5287243528075257,False,threshold_0.550
crop_0169,1.0,2823.0,0.5839813351631165,0.5028500178126113,1.069344217100905,0.0,0.6217078382439319,True,threshold_0.550
crop_0170,1.0,1248.0,0.0,0.4148936170212766,1.069344217100905,0.0,0.4537234042553191,False,threshold_0.550
crop_0171,1.0,1405.0,0.6012441515922546,0.46646746347941564,1.069344217100905,0.0,0.6169279037679175,True,threshold_0.550
crop_0172,1.0,1178.0,0.012130637653172016,0.4663499604117181,1.069344217100905,0.0,0.4696201495162225,False,threshold_0.550
crop_0173,1.0,955.0,0.11213063448667526,0.4560649474689589,1.069344217100905,0.0,0.4920488954889085,False,threshold_0.550
crop_0174,1.0,1725.0,0.18382582068443298,0.4966887417218543,1.069344217100905,0.0,0.5201286406015718,False,threshold_0.550
crop_0175,1.0,1141.0,0.2444790005683899,0.48388464800678543,1.069344217100905,0.0,0.5320909121437938,False,threshold_0.550
crop_0176,1.0,1962.0,0.324883371591568,0.5445462114904246,1.069344217100905,0.0,0.5673573957704982,True,threshold_0.550
