image_name,weight,quality_score,raw_score,mask_score,geo_score
0000,0.864633,0.661583,0.648130,0.720592,0.552352
0001,0.865115,0.662787,0.667515,0.720045,0.525685
0002,0.872505,0.681263,0.701496,0.719884,0.558957
0003,0.866960,0.667400,0.673750,0.718855,0.540513
0004,0.878723,0.696808,0.771407,0.717555,0.519580
0005,0.881104,0.702759,0.762799,0.718328,0.562661
0006,0.869077,0.672692,0.687505,0.719030,0.542511
0007,0.857770,0.644426,0.627682,0.719604,0.504577
0008,0.884189,0.710472,0.790900,0.711524,0.567355
0009,0.863319,0.658296,0.682201,0.715605,0.487519
0010,0.864231,0.660578,0.692457,0.724027,0.462031
0011,0.876259,0.690648,0.789634,0.723887,0.442634
0012,0.875225,0.688062,0.735221,0.722618,0.527780
0013,0.869628,0.674069,0.726031,0.721432,0.476571
0014,0.875620,0.689049,0.632015,0.725007,0.707953
0015,0.860298,0.650745,0.652575,0.728830,0.471850
0016,0.864415,0.661039,0.672910,0.734065,0.475956
0017,0.858949,0.647371,0.615708,0.731631,0.513198
0018,0.867402,0.668504,0.688212,0.735240,0.483860
0019,0.873333,0.683332,0.705148,0.734784,0.529389
0020,0.862786,0.656966,0.671905,0.722973,0.482308
0021,0.877937,0.694843,0.754818,0.718051,0.537668
0022,0.872337,0.680843,0.761571,0.711553,0.470472
0023,0.876973,0.692433,0.748124,0.702444,0.572452
0024,0.863805,0.659513,0.702283,0.705967,0.480145
0025,0.863277,0.658193,0.698751,0.708503,0.474021
0026,0.876482,0.691204,0.769976,0.713545,0.503088
0027,0.853540,0.633851,0.630807,0.718867,0.447890
0028,0.850486,0.626215,0.578010,0.728496,0.480441
0029,0.862782,0.656954,0.626878,0.739099,0.524763
0030,0.862389,0.655973,0.649534,0.743467,0.470380
0031,0.856499,0.641248,0.603350,0.741017,0.483088
0032,0.854981,0.637453,0.582046,0.752466,0.475633
0033,0.849189,0.622973,0.530697,0.757209,0.482427
0034,0.835904,0.589761,0.511487,0.683745,0.515274
0035,0.831842,0.579605,0.451583,0.723759,0.479298
0036,0.835277,0.588192,0.464347,0.717159,0.514748
0037,0.847687,0.619218,0.468766,0.715902,0.664971
0038,0.833814,0.584534,0.491116,0.713348,0.458185
0039,0.834468,0.586170,0.481699,0.714161,0.481016
0040,0.834807,0.587018,0.495388,0.711651,0.466948
0041,0.838858,0.597144,0.516271,0.713749,0.476308
0042,0.846939,0.617349,0.551767,0.717528,0.506714
0043,0.839165,0.597913,0.520445,0.708846,0.483881
0044,0.899731,0.749328,0.426650,1.000000,0.750000
0045,0.897857,0.744642,0.413262,1.000000,0.750000
0046,0.881321,0.703302,0.295147,1.000000,0.750000
0047,0.883617,0.709041,0.311547,1.000000,0.750000
0048,0.888918,0.722294,0.349412,1.000000,0.750000
0049,0.878613,0.696533,0.275807,1.000000,0.750000
0050,0.888237,0.720593,0.344552,1.000000,0.750000
0051,0.825128,0.562820,0.453801,0.680211,0.489472
0052,0.842798,0.606995,0.520486,0.719297,0.505708
0053,0.846397,0.615992,0.549213,0.719931,0.498995
0054,0.810678,0.526695,0.517238,0.524075,0.549138
0055,0.797829,0.494572,0.473099,0.504534,0.509736
0056,0.845495,0.613737,0.614821,0.665128,0.496211
0057,0.862628,0.656571,0.617684,0.716616,0.589523
0058,0.860095,0.650237,0.641725,0.714252,0.521098
0059,0.864341,0.660852,0.677179,0.713142,0.514629
0060,0.861613,0.654033,0.677960,0.709418,0.487542
0061,0.871518,0.678795,0.705415,0.704726,0.573867
0062,0.865058,0.662646,0.695072,0.702584,0.516040
0063,0.865947,0.664868,0.724352,0.701895,0.477458
0064,0.865600,0.664001,0.711386,0.702822,0.493726
0065,0.870658,0.676646,0.762051,0.704668,0.464137
0066,0.875094,0.687736,0.761299,0.705675,0.518634
0067,0.882165,0.705412,0.792288,0.707501,0.548677
0068,0.884087,0.710217,0.840667,0.709281,0.484036
0069,0.883706,0.709264,0.833145,0.709976,0.490872
0071,0.870941,0.677352,0.774639,0.688516,0.481980
0073,0.872220,0.680550,0.789841,0.688693,0.470967
0074,0.873632,0.684080,0.788414,0.695341,0.476158
0075,0.872059,0.680146,0.783719,0.692909,0.470179
0076,0.870514,0.676284,0.751650,0.692488,0.507935
0077,0.876481,0.691204,0.790505,0.694858,0.509202
0078,0.856635,0.641586,0.657654,0.694519,0.494370
0079,0.858401,0.646003,0.664315,0.694592,0.504634
0080,0.861377,0.653441,0.664303,0.692530,0.546485
0081,0.848120,0.620299,0.600650,0.682880,0.513879
0082,0.835181,0.587952,0.556846,0.679965,0.435358
0083,0.837179,0.592947,0.519610,0.682252,0.520350
0084,0.826105,0.565263,0.482002,0.674691,0.464758
0085,0.830016,0.575041,0.482456,0.683315,0.493445
0086,0.831821,0.579551,0.492896,0.682933,0.498588
0088,0.832352,0.580881,0.479382,0.679277,0.537112
0089,0.902652,0.756631,0.447517,1.000000,0.750000
0091,0.835835,0.589588,0.515110,0.674671,0.528488
0092,0.831197,0.577992,0.510267,0.684468,0.456940
0093,0.891598,0.728994,0.368554,1.000000,0.750000
0094,0.832157,0.580394,0.528731,0.694135,0.414885
0095,0.843180,0.607949,0.575009,0.702984,0.451767
0096,0.846057,0.615143,0.577915,0.714791,0.456083
0097,0.858059,0.645146,0.667936,0.714981,0.448137
0098,0.866103,0.665258,0.681708,0.735460,0.478517
0099,0.863736,0.659340,0.652220,0.750109,0.467569
0100,0.863973,0.659932,0.628459,0.754311,0.502655
0101,0.870643,0.676607,0.636162,0.762408,0.554334
0102,0.864934,0.662335,0.577908,0.774278,0.558211
0103,0.876808,0.692021,0.693799,0.773246,0.506152
0104,0.861675,0.654186,0.568968,0.774338,0.532976
0105,0.855287,0.638218,0.508836,0.776354,0.553829
0106,0.888771,0.721928,0.674753,0.777550,0.679337
0107,0.863240,0.658101,0.604376,0.777911,0.482546
0108,0.859562,0.648906,0.574997,0.777623,0.488634
0109,0.859535,0.648839,0.566474,0.775532,0.507917
0110,0.859566,0.648914,0.581814,0.771616,0.490261
0111,0.851899,0.629747,0.514788,0.774936,0.504251
0112,0.877086,0.692715,0.681730,0.777681,0.520763
0113,0.883805,0.709512,0.713581,0.787807,0.526229
0114,0.866225,0.665563,0.580474,0.808350,0.493201
0115,0.859237,0.648094,0.524192,0.824021,0.469085
0116,0.900051,0.750128,0.773624,0.829248,0.530990
0117,0.895648,0.739120,0.802647,0.823972,0.437034
0118,0.909479,0.773698,0.805571,0.819363,0.615174
0119,0.882390,0.705975,0.690171,0.820827,0.475214
0120,0.872672,0.681681,0.687952,0.785164,0.437868
0121,0.875427,0.688568,0.726819,0.763127,0.453873
0122,0.868315,0.670787,0.649743,0.775373,0.472296
0123,0.870547,0.676369,0.641100,0.796943,0.466796
0124,0.874516,0.686289,0.671869,0.804431,0.445705
0125,0.876573,0.691432,0.639687,0.823747,0.484276
0126,0.891687,0.729217,0.749592,0.851347,0.418770
0127,0.888912,0.722280,0.721618,0.845297,0.446650
0128,0.880601,0.701502,0.700468,0.830418,0.413253
0129,0.888965,0.722413,0.728722,0.810946,0.512175
0130,0.902676,0.756689,0.447683,1.000000,0.750000
0131,0.812519,0.531298,0.456540,0.609988,0.485069
0133,0.841036,0.602591,0.483969,0.755142,0.466939
0135,0.850465,0.626162,0.487218,0.802020,0.473631
0136,0.850200,0.625499,0.527457,0.790937,0.424840
0137,0.850004,0.625011,0.544988,0.768165,0.442954
0139,0.848220,0.620551,0.547625,0.760077,0.434237
0140,0.857591,0.643978,0.547992,0.789224,0.485151
0141,0.869912,0.674779,0.623923,0.793835,0.495902
0142,0.843814,0.609536,0.580549,0.687449,0.484959
0143,0.869259,0.673148,0.645538,0.774333,0.493801
0144,0.862711,0.656776,0.590379,0.788252,0.477152
0145,0.875147,0.687867,0.608033,0.798193,0.579340
0146,0.873929,0.684823,0.564547,0.810276,0.613035
0147,0.858858,0.647144,0.533852,0.810244,0.478432
0148,0.855547,0.638869,0.512281,0.800251,0.497287
0149,0.848402,0.621005,0.525971,0.775705,0.439241
0150,0.847700,0.619250,0.557238,0.746412,0.441655
0151,0.850311,0.625777,0.576695,0.749059,0.434285
0152,0.855947,0.639868,0.613090,0.759563,0.417412
0153,0.849726,0.624316,0.541078,0.787510,0.402797
0154,0.842859,0.607148,0.550625,0.726131,0.438352
0155,0.840457,0.601141,0.490868,0.760518,0.435523
0156,0.901169,0.752922,0.436919,1.000000,0.750000
0157,0.839129,0.597824,0.509899,0.656308,0.620100
0158,0.837882,0.594705,0.519923,0.683763,0.525193
0159,0.900413,0.751032,0.431521,1.000000,0.750000
0160,0.895898,0.739744,0.399268,1.000000,0.750000
0161,0.894200,0.735499,0.387141,1.000000,0.750000
0162,0.835959,0.589898,0.524295,0.674109,0.515228
0163,0.832337,0.580843,0.524486,0.679823,0.456761
0164,0.835682,0.589206,0.522458,0.674970,0.513046
0165,0.838545,0.596362,0.522243,0.677085,0.544442
0166,0.899181,0.747952,0.422720,1.000000,0.750000
0167,0.899272,0.748179,0.423369,1.000000,0.750000
0168,0.893520,0.733800,0.382287,1.000000,0.750000
0169,0.897307,0.743267,0.409336,1.000000,0.750000
0170,0.897278,0.743194,0.409126,1.000000,0.750000
0171,0.844610,0.611524,0.493357,0.677162,0.670634
0172,0.900960,0.752401,0.435432,1.000000,0.750000
0173,0.895071,0.737678,0.393365,1.000000,0.750000
0174,0.894026,0.735065,0.385899,1.000000,0.750000
0175,0.837615,0.594037,0.454948,0.710197,0.576083
0176,0.856153,0.640382,0.459831,0.855529,0.472267
0177,0.898797,0.746993,0.419979,1.000000,0.750000
0178,0.896973,0.742432,0.406949,1.000000,0.750000
0179,0.889933,0.724831,0.356661,1.000000,0.750000
0180,0.885773,0.714431,0.326947,1.000000,0.750000
0181,0.894919,0.737297,0.392277,1.000000,0.750000
0182,0.891631,0.729078,0.368794,1.000000,0.750000
0183,0.890381,0.725953,0.359866,1.000000,0.750000
0184,0.889934,0.724834,0.356668,1.000000,0.750000
0185,0.892743,0.731858,0.376736,1.000000,0.750000
0186,0.889483,0.723708,0.353452,1.000000,0.750000
0187,0.895806,0.739515,0.398613,1.000000,0.750000
0188,0.899089,0.747723,0.422066,1.000000,0.750000
0189,0.889512,0.723780,0.353657,1.000000,0.750000
0190,0.899598,0.748994,0.425698,1.000000,0.750000
0191,0.895776,0.739439,0.398397,1.000000,0.750000
0192,0.851181,0.627954,0.452731,0.784743,0.581818
0193,0.880268,0.700669,0.287625,1.000000,0.750000
0194,0.888825,0.722062,0.348749,1.000000,0.750000
0195,0.891891,0.729728,0.370651,1.000000,0.750000
0196,0.860025,0.650063,0.459448,0.830288,0.578130
0197,0.902183,0.755458,0.444165,1.000000,0.750000
0198,0.854206,0.635515,0.471717,0.824847,0.496167
0199,0.890004,0.725009,0.357170,1.000000,0.750000
0200,0.867785,0.669464,0.519361,0.821210,0.590715
0201,0.859020,0.647549,0.471351,0.829076,0.547461
0202,0.896179,0.740447,0.401278,1.000000,0.750000
0203,0.899889,0.749723,0.427780,1.000000,0.750000
0204,0.890349,0.725873,0.359638,1.000000,0.750000
0205,0.902589,0.756472,0.447062,1.000000,0.750000
0206,0.901560,0.753901,0.439716,1.000000,0.750000
0207,0.822122,0.555304,0.526034,0.650124,0.393184
0208,0.853457,0.633643,0.597839,0.727663,0.484754
0209,0.831030,0.577576,0.469289,0.719109,0.448630
