image_name,weight,quality_score,raw_score,mask_score,geo_score
crop_0000,0.897411,0.743527,0.410076,1.000000,0.750000
crop_0001,0.896897,0.742243,0.406408,1.000000,0.750000
crop_0002,0.893396,0.733491,0.381403,1.000000,0.750000
crop_0003,0.889121,0.722802,0.350864,1.000000,0.750000
crop_0004,0.893862,0.734656,0.384731,1.000000,0.750000
crop_0005,0.887912,0.719780,0.342227,1.000000,0.750000
crop_0006,0.890102,0.725255,0.357871,1.000000,0.750000
crop_0007,0.891566,0.728915,0.368329,1.000000,0.750000
crop_0008,0.882364,0.705910,0.302601,1.000000,0.750000
crop_0009,0.886517,0.716293,0.332267,1.000000,0.750000
crop_0010,0.893020,0.732551,0.378717,1.000000,0.750000
crop_0011,0.899159,0.747898,0.422566,1.000000,0.750000
crop_0012,0.839055,0.597637,0.467775,0.742932,0.497981
crop_0013,0.899132,0.747829,0.422369,1.000000,0.750000
crop_0014,0.899427,0.748567,0.424477,1.000000,0.750000
crop_0015,0.897689,0.744221,0.412061,1.000000,0.750000
crop_0016,0.900047,0.750118,0.428908,1.000000,0.750000
crop_0017,0.826079,0.565199,0.452038,0.727314,0.398471
crop_0018,0.900249,0.750623,0.430352,1.000000,0.750000
crop_0019,0.899138,0.747845,0.422414,1.000000,0.750000
crop_0020,0.900564,0.751409,0.432597,1.000000,0.750000
crop_0021,0.891825,0.729563,0.370181,1.000000,0.750000
crop_0022,0.896195,0.740487,0.401392,1.000000,0.750000
crop_0023,0.899986,0.749964,0.428468,1.000000,0.750000
crop_0025,0.840219,0.600548,0.461742,0.791408,0.414024
crop_0028,0.894327,0.735817,0.388047,1.000000,0.750000
crop_0029,0.888085,0.720214,0.343468,1.000000,0.750000
crop_0030,0.884757,0.711891,0.319690,1.000000,0.750000
crop_0031,0.887430,0.718575,0.338787,1.000000,0.750000
crop_0032,0.884522,0.711306,0.318018,1.000000,0.750000
crop_0033,0.880199,0.700498,0.287137,1.000000,0.750000
crop_0034,0.881136,0.702840,0.293827,1.000000,0.750000
crop_0035,0.874850,0.687126,0.248931,1.000000,0.750000
crop_0036,0.870626,0.676566,0.218760,1.000000,0.750000
crop_0037,0.878487,0.696217,0.274906,1.000000,0.750000
crop_0038,0.873803,0.684507,0.241449,1.000000,0.750000
crop_0039,0.878948,0.697369,0.278198,1.000000,0.750000
crop_0040,0.886851,0.717128,0.334651,1.000000,0.750000
crop_0041,0.877275,0.693188,0.266252,1.000000,0.750000
crop_0042,0.885127,0.712817,0.322335,1.000000,0.750000
crop_0043,0.892753,0.731882,0.376806,1.000000,0.750000
crop_0044,0.893912,0.734781,0.385088,1.000000,0.750000
crop_0045,0.885882,0.714705,0.327729,1.000000,0.750000
crop_0046,0.884184,0.710459,0.315598,1.000000,0.750000
crop_0047,0.881125,0.702812,0.293749,1.000000,0.750000
crop_0048,0.876803,0.692008,0.262879,1.000000,0.750000
crop_0049,0.886772,0.716930,0.334084,1.000000,0.750000
crop_0050,0.883382,0.708456,0.309874,1.000000,0.750000
crop_0051,0.889382,0.723456,0.352730,1.000000,0.750000
crop_0052,0.885392,0.713480,0.324230,1.000000,0.750000
crop_0053,0.885559,0.713898,0.325422,1.000000,0.750000
crop_0054,0.892359,0.730897,0.373991,1.000000,0.750000
crop_0055,0.891140,0.727851,0.365288,1.000000,0.750000
crop_0056,0.891745,0.729363,0.369608,1.000000,0.750000
crop_0057,0.891474,0.728685,0.367672,1.000000,0.750000
crop_0058,0.881442,0.703604,0.296012,1.000000,0.750000
crop_0059,0.893342,0.733356,0.381017,1.000000,0.750000
crop_0060,0.885242,0.713105,0.323158,1.000000,0.750000
crop_0061,0.818931,0.547328,0.471234,0.569643,0.630286
crop_0062,0.838679,0.596697,0.490826,0.695390,0.559910
crop_0063,0.895591,0.738978,0.397079,1.000000,0.750000
crop_0064,0.842995,0.607488,0.471551,0.781664,0.453481
crop_0065,0.902147,0.755366,0.443904,1.000000,0.750000
crop_0066,0.843784,0.609460,0.483747,0.766755,0.475542
crop_0067,0.842147,0.605369,0.496522,0.743594,0.484845
crop_0068,0.896408,0.741019,0.402912,1.000000,0.750000
crop_0069,0.841584,0.603961,0.497198,0.768011,0.421681
crop_0070,0.846931,0.617328,0.522142,0.781490,0.414541
crop_0071,0.858486,0.646214,0.543444,0.756226,0.578536
crop_0072,0.800558,0.501395,0.490270,0.520460,0.477966
crop_0073,0.808387,0.520967,0.466976,0.603731,0.429233
crop_0074,0.814638,0.536595,0.506643,0.629460,0.380062
crop_0075,0.793431,0.483578,0.514348,0.491377,0.412181
crop_0076,0.900970,0.752425,0.435499,1.000000,0.750000
crop_0077,0.884535,0.711338,0.318109,1.000000,0.750000
crop_0078,0.890690,0.726726,0.362075,1.000000,0.750000
crop_0079,0.892074,0.730186,0.371960,1.000000,0.750000
crop_0080,0.878372,0.695931,0.274088,1.000000,0.750000
crop_0081,0.870579,0.676447,0.218421,1.000000,0.750000
crop_0082,0.873606,0.684015,0.240043,1.000000,0.750000
crop_0083,0.871167,0.677916,0.222618,1.000000,0.750000
crop_0084,0.872151,0.680379,0.229653,1.000000,0.750000
crop_0085,0.861649,0.654123,0.154638,1.000000,0.750000
crop_0086,0.853079,0.632698,0.093423,1.000000,0.750000
crop_0087,0.861176,0.652941,0.151259,1.000000,0.750000
crop_0088,0.861171,0.652927,0.151220,1.000000,0.750000
crop_0089,0.862144,0.655361,0.158174,1.000000,0.750000
crop_0090,0.867524,0.668810,0.196601,1.000000,0.750000
