model,test_sample,train_samples,epoch,loss,lr,elapsed_sec
U-Net,KongQueZhuYu,XianKeLai1,1,1.4181115627288818,0.0009996145181203615,1.438793659210205
U-Net,KongQueZhuYu,XianKeLai1,10,0.527060754597187,0.0009619397662556433,5.430923700332642
U-Net,KongQueZhuYu,XianKeLai1,20,0.2665793877094984,0.0008535533905932737,9.852572679519653
U-Net,KongQueZhuYu,XianKeLai1,30,0.15424259565770626,0.000691341716182545,14.374971628189087
U-Net,KongQueZhuYu,XianKeLai1,40,0.11252378020435572,0.0005,18.853543758392334
U-Net,KongQueZhuYu,XianKeLai1,50,0.08408131822943687,0.0003086582838174553,23.374690294265747
U-Net,KongQueZhuYu,XianKeLai1,60,0.07484139315783978,0.00014644660940672636,27.84021830558777
U-Net,KongQueZhuYu,XianKeLai1,70,0.07347968127578497,3.806023374435665e-05,32.339675426483154
U-Net,KongQueZhuYu,XianKeLai1,80,0.06897194217890501,0.0,36.7705819606781
U-Net,XianKeLai1,KongQueZhuYu,1,0.8951804205775261,0.0009996145181203615,2.229839563369751
U-Net,XianKeLai1,KongQueZhuYu,10,0.13355359323322774,0.0009619397662556433,22.36145806312561
U-Net,XianKeLai1,KongQueZhuYu,20,0.061395786609500645,0.0008535533905932737,44.81451773643494
U-Net,XianKeLai1,KongQueZhuYu,30,0.04090444063767791,0.000691341716182545,67.40507817268372
U-Net,XianKeLai1,KongQueZhuYu,40,0.02897105747833848,0.0005,89.71910953521729
U-Net,XianKeLai1,KongQueZhuYu,50,0.0227087473962456,0.0003086582838174553,112.19015574455261
U-Net,XianKeLai1,KongQueZhuYu,60,0.02037924467585981,0.00014644660940672636,134.88658118247986
U-Net,XianKeLai1,KongQueZhuYu,70,0.019211602676659823,3.806023374435665e-05,157.59862184524536
U-Net,XianKeLai1,KongQueZhuYu,80,0.018537645367905496,0.0,180.5646722316742
