样本,帧,类别,早前F1,plant_only_IoU,plant_only_F1,plant_only_Prec,plant_only_Recall,plant_plus_pot_IoU,plant_plus_pot_F1,plant_plus_pot_Prec,plant_plus_pot_Recall
CaoMei1,0025,成功,0.955,0.8972,0.9458,0.9973,0.8993,0.8972,0.9458,0.9973,0.8993
CaoMei1,0050,成功,0.969,0.9359,0.9669,0.9949,0.9404,0.9359,0.9669,0.9949,0.9404
ChangShouHua2,0000,成功,0.821,0.9743,0.987,0.9936,0.9804,0.9458,0.9721,0.9936,0.9516
ChangShouHua2,0025,成功,0.978,0.9511,0.9749,0.9913,0.9591,0.9511,0.9749,0.9913,0.9591
ChangShouHua2,0050,成功,0.984,0.9586,0.9789,0.9896,0.9684,0.9586,0.9789,0.9896,0.9684
DouBanLv1,0025,成功,0.974,0.9468,0.9727,0.9864,0.9594,0.9468,0.9727,0.9864,0.9594
DouBanLv1,0050,成功,0.986,0.9707,0.9852,0.9934,0.977,0.9707,0.9852,0.9934,0.977
DouBanLv1,0075,成功,0.977,0.9504,0.9746,0.9897,0.9599,0.9504,0.9746,0.9897,0.9599
DouBanLv1,0100,成功,0.97,0.9696,0.9846,0.9864,0.9827,0.9696,0.9846,0.9864,0.9827
XianKeLai1,0000,成功,0.971,0.9636,0.9815,0.9964,0.967,0.9306,0.964,0.9964,0.9337
