图像,提示词编号,实例编号,提示词文本,SAM3分数,外接框,面积比例,掩膜阈值,来源阶段,候选模式,排名,是否空掩膜
BaiZhang_0042.jpg,P6,0,whole potted plant including the pot,0.816406,"1702,2609,2170,3142",0.018332007137345677,0.5,raw,per_instance,1,0
BaiZhang_0042.jpg,P6,1,whole potted plant including the pot,0.306641,"1678,2408,1970,2856",0.007589940200617284,0.5,raw,per_instance,12,0
BaiZhang_0042.jpg,P6,2,whole potted plant including the pot,0.582031,"2061,2595,2171,3085",0.003072193287037037,0.5,raw,per_instance,13,0
BaiZhang_0042.jpg,P6,3,whole potted plant including the pot,0.78125,"1284,2429,1485,2851",0.0067605854552469135,0.5,raw,per_instance,0,0
BaiZhang_0042.jpg,P6,4,whole potted plant including the pot,0.337891,"1682,2421,1970,2685",0.00643458236882716,0.5,raw,per_instance,7,0
BaiZhang_0042.jpg,P6,5,whole potted plant including the pot,0.597656,"1014,2282,1351,2670",0.010133945794753086,0.5,raw,per_instance,4,0
BaiZhang_0042.jpg,P6,6,whole potted plant including the pot,0.507812,"1088,2285,1353,2643",0.005921465084876543,0.5,raw,per_instance,5,0
BaiZhang_0042.jpg,P6,7,whole potted plant including the pot,0.310547,"1583,2192,1836,2832",0.006622902199074074,0.5,raw,per_instance,9,0
BaiZhang_0042.jpg,P6,8,whole potted plant including the pot,0.458984,"1003,2422,1237,2664",0.004106746720679013,0.5,raw,per_instance,6,0
BaiZhang_0042.jpg,P6,9,whole potted plant including the pot,0.439453,"2065,2853,2173,3087",0.0022892554012345677,0.5,raw,per_instance,15,0
BaiZhang_0042.jpg,P6,10,whole potted plant including the pot,0.9375,"134,697,2033,2985",0.2285182773919753,0.5,raw,per_instance,3,0
BaiZhang_0042.jpg,P6,11,whole potted plant including the pot,0.345703,"1338,2166,1830,2460",0.007859157986111111,0.5,raw,per_instance,11,0
BaiZhang_0042.jpg,P6,12,whole potted plant including the pot,0.707031,"1427,2372,1711,2968",0.014464819637345678,0.5,raw,per_instance,2,0
BaiZhang_0042.jpg,P6,13,whole potted plant including the pot,0.306641,"1290,1868,1732,2400",0.00990065586419753,0.5,raw,per_instance,14,0
BaiZhang_0042.jpg,P6,14,whole potted plant including the pot,0.441406,"1590,2185,1838,2434",0.0042552806712962965,0.5,raw,per_instance,10,0
BaiZhang_0042.jpg,P6,15,whole potted plant including the pot,0.404297,"1760,2428,1969,2602",0.0030191454475308644,0.5,raw,per_instance,8,0
