image,label,x,y,source
BaiZhang_0028.jpg,1,958,1322,distance_transform
BaiZhang_0028.jpg,1,1006,1249,distance_transform
BaiZhang_0028.jpg,1,1043,1171,distance_transform
BaiZhang_0028.jpg,1,959,1408,distance_transform
BaiZhang_0028.jpg,1,1041,1085,distance_transform
BaiZhang_0028.jpg,0,506,214,outer_ring
BaiZhang_0028.jpg,0,2035,526,outer_ring
BaiZhang_0028.jpg,0,1872,758,outer_ring
BaiZhang_0028.jpg,0,1932,1023,outer_ring
BaiZhang_0028.jpg,0,319,1402,outer_ring
BaiZhang_0028.jpg,0,1491,1723,outer_ring
BaiZhang_0028.jpg,0,494,2021,outer_ring
BaiZhang_0028.jpg,0,962,2943,outer_ring
BaiZhang_0029.jpg,1,1046,1250,distance_transform
BaiZhang_0029.jpg,1,1014,1330,distance_transform
BaiZhang_0029.jpg,1,1038,1164,distance_transform
BaiZhang_0029.jpg,1,1000,1415,distance_transform
BaiZhang_0029.jpg,1,960,1263,distance_transform
BaiZhang_0029.jpg,0,438,165,outer_ring
BaiZhang_0029.jpg,0,1935,459,outer_ring
BaiZhang_0029.jpg,0,444,657,outer_ring
BaiZhang_0029.jpg,0,123,953,outer_ring
BaiZhang_0029.jpg,0,312,1371,outer_ring
BaiZhang_0029.jpg,0,546,1712,outer_ring
BaiZhang_0029.jpg,0,1404,2095,outer_ring
BaiZhang_0029.jpg,0,940,2908,outer_ring
BaiZhang_0030.jpg,1,1127,1174,distance_transform
BaiZhang_0030.jpg,1,1086,1250,distance_transform
BaiZhang_0030.jpg,1,1116,1088,distance_transform
BaiZhang_0030.jpg,1,1070,1335,distance_transform
BaiZhang_0030.jpg,1,1213,1170,distance_transform
BaiZhang_0030.jpg,0,1181,76,outer_ring
BaiZhang_0030.jpg,0,1952,383,outer_ring
BaiZhang_0030.jpg,0,2037,580,outer_ring
BaiZhang_0030.jpg,0,2126,923,outer_ring
BaiZhang_0030.jpg,0,1711,1387,outer_ring
BaiZhang_0030.jpg,0,435,1712,outer_ring
BaiZhang_0030.jpg,0,1448,2099,outer_ring
BaiZhang_0030.jpg,0,979,2904,outer_ring
BaiZhang_0031.jpg,1,1012,1185,distance_transform
BaiZhang_0031.jpg,1,959,1265,distance_transform
BaiZhang_0031.jpg,1,954,1351,distance_transform
BaiZhang_0031.jpg,1,1019,1099,distance_transform
BaiZhang_0031.jpg,1,1098,1183,distance_transform
BaiZhang_0031.jpg,0,1030,101,outer_ring
BaiZhang_0031.jpg,0,967,422,outer_ring
BaiZhang_0031.jpg,0,1463,603,outer_ring
BaiZhang_0031.jpg,0,13,957,outer_ring
BaiZhang_0031.jpg,0,1623,1467,outer_ring
BaiZhang_0031.jpg,0,1406,1795,outer_ring
BaiZhang_0031.jpg,0,1337,2238,outer_ring
BaiZhang_0031.jpg,0,852,2980,outer_ring
BaiZhang_0032.jpg,1,972,1286,distance_transform
BaiZhang_0032.jpg,1,958,1371,distance_transform
BaiZhang_0032.jpg,1,949,1203,distance_transform
BaiZhang_0032.jpg,1,1058,1278,distance_transform
BaiZhang_0032.jpg,1,944,1456,distance_transform
BaiZhang_0032.jpg,0,958,182,outer_ring
BaiZhang_0032.jpg,0,278,477,outer_ring
BaiZhang_0032.jpg,0,1388,644,outer_ring
BaiZhang_0032.jpg,0,100,976,outer_ring
BaiZhang_0032.jpg,0,336,1489,outer_ring
BaiZhang_0032.jpg,0,1370,1832,outer_ring
BaiZhang_0032.jpg,0,557,2245,outer_ring
BaiZhang_0032.jpg,0,768,3010,outer_ring
BaiZhang_0033.jpg,1,967,1300,distance_transform
BaiZhang_0033.jpg,1,903,1242,distance_transform
BaiZhang_0033.jpg,1,947,1384,distance_transform
BaiZhang_0033.jpg,1,1053,1301,distance_transform
BaiZhang_0033.jpg,1,937,1163,distance_transform
BaiZhang_0033.jpg,0,888,203,outer_ring
BaiZhang_0033.jpg,0,570,506,outer_ring
BaiZhang_0033.jpg,0,174,668,outer_ring
BaiZhang_0033.jpg,0,298,961,outer_ring
BaiZhang_0033.jpg,0,1597,1482,outer_ring
BaiZhang_0033.jpg,0,1675,1784,outer_ring
BaiZhang_0033.jpg,0,565,2235,outer_ring
BaiZhang_0033.jpg,0,715,3003,outer_ring
BaiZhang_0034.jpg,1,936,1252,distance_transform
BaiZhang_0034.jpg,1,1022,1251,distance_transform
BaiZhang_0034.jpg,1,916,1336,distance_transform
BaiZhang_0034.jpg,1,933,1166,distance_transform
BaiZhang_0034.jpg,1,850,1240,distance_transform
BaiZhang_0034.jpg,0,828,216,outer_ring
BaiZhang_0034.jpg,0,776,497,outer_ring
