序号,图像名,图像路径
0,BaiZhang_0028.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0028.jpg
1,BaiZhang_0029.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0029.jpg
2,BaiZhang_0030.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0030.jpg
3,BaiZhang_0031.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0031.jpg
4,BaiZhang_0032.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0032.jpg
5,BaiZhang_0033.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0033.jpg
6,BaiZhang_0034.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0034.jpg
7,BaiZhang_0035.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0035.jpg
8,BaiZhang_0036.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0036.jpg
9,BaiZhang_0037.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0037.jpg
10,BaiZhang_0038.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0038.jpg
11,BaiZhang_0039.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0039.jpg
12,BaiZhang_0040.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0040.jpg
13,BaiZhang_0041.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0041.jpg
14,BaiZhang_0042.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0042.jpg
15,DouBanLv2_0032.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0032.jpg
16,DouBanLv2_0033.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0033.jpg
17,DouBanLv2_0034.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0034.jpg
18,DouBanLv2_0035.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0035.jpg
19,DouBanLv2_0036.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0036.jpg
20,DouBanLv2_0037.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0037.jpg
21,DouBanLv2_0038.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0038.jpg
22,DouBanLv2_0039.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0039.jpg
23,DouBanLv2_0040.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0040.jpg
24,DouBanLv2_0041.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0041.jpg
25,DouBanLv2_0042.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0042.jpg
26,DouBanLv2_0043.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0043.jpg
27,DouBanLv2_0044.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0044.jpg
28,DouBanLv2_0045.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0045.jpg
29,DouBanLv2_0046.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0046.jpg
