image,label,x,y,source
BaiZhang_0028.jpg,1,1050,1325,distance_transform
BaiZhang_0028.jpg,1,1040,1411,distance_transform
BaiZhang_0028.jpg,1,1060,1239,distance_transform
BaiZhang_0028.jpg,1,1133,1301,distance_transform
BaiZhang_0028.jpg,1,1030,1497,distance_transform
BaiZhang_0028.jpg,0,490,204,outer_ring
BaiZhang_0028.jpg,0,1990,525,outer_ring
BaiZhang_0028.jpg,0,1882,754,outer_ring
BaiZhang_0028.jpg,0,1998,1053,outer_ring
BaiZhang_0028.jpg,0,1738,1442,outer_ring
BaiZhang_0028.jpg,0,1563,1756,outer_ring
BaiZhang_0028.jpg,0,1464,2074,outer_ring
BaiZhang_0028.jpg,0,967,2949,outer_ring
BaiZhang_0029.jpg,1,1070,1219,distance_transform
BaiZhang_0029.jpg,1,1020,1289,distance_transform
BaiZhang_0029.jpg,1,1009,1375,distance_transform
BaiZhang_0029.jpg,1,1058,1133,distance_transform
BaiZhang_0029.jpg,1,1156,1215,distance_transform
BaiZhang_0029.jpg,0,423,156,outer_ring
BaiZhang_0029.jpg,0,377,457,outer_ring
BaiZhang_0029.jpg,0,2083,660,outer_ring
BaiZhang_0029.jpg,0,1912,956,outer_ring
BaiZhang_0029.jpg,0,320,1380,outer_ring
BaiZhang_0029.jpg,0,339,1718,outer_ring
BaiZhang_0029.jpg,0,1433,2063,outer_ring
BaiZhang_0029.jpg,0,932,2914,outer_ring
BaiZhang_0030.jpg,1,1124,1179,distance_transform
BaiZhang_0030.jpg,1,1083,1255,distance_transform
BaiZhang_0030.jpg,1,1068,1340,distance_transform
BaiZhang_0030.jpg,1,1114,1093,distance_transform
BaiZhang_0030.jpg,1,1210,1175,distance_transform
BaiZhang_0030.jpg,0,1180,71,outer_ring
BaiZhang_0030.jpg,0,616,381,outer_ring
BaiZhang_0030.jpg,0,815,582,outer_ring
BaiZhang_0030.jpg,0,382,933,outer_ring
BaiZhang_0030.jpg,0,459,1408,outer_ring
BaiZhang_0030.jpg,0,1772,1706,outer_ring
BaiZhang_0030.jpg,0,1480,2059,outer_ring
BaiZhang_0030.jpg,0,973,2909,outer_ring
BaiZhang_0031.jpg,1,1011,1209,distance_transform
BaiZhang_0031.jpg,1,967,1283,distance_transform
