图像,提示词编号,实例编号,提示词文本,SAM3分数,外接框,面积比例,掩膜阈值,来源阶段,候选模式,排名,是否空掩膜
BaiZhang_0040.jpg,P6,0,whole potted plant including the pot,0.388672,"1076,2088,1508,2354",0.007546899112654321,0.5,raw,per_instance,9,0
BaiZhang_0040.jpg,P6,1,whole potted plant including the pot,0.78125,"1396,2462,1936,2999",0.01808641975308642,0.5,raw,per_instance,3,0
BaiZhang_0040.jpg,P6,2,whole potted plant including the pot,0.773438,"1750,2472,1959,2932",0.007221257716049383,0.5,raw,per_instance,1,0
BaiZhang_0040.jpg,P6,3,whole potted plant including the pot,0.765625,"972,2347,1171,2727",0.006472921489197531,0.5,raw,per_instance,2,0
BaiZhang_0040.jpg,P6,4,whole potted plant including the pot,0.419922,"976,2102,1514,2762",0.01976851851851852,0.5,raw,per_instance,6,0
BaiZhang_0040.jpg,P6,5,whole potted plant including the pot,0.380859,"299,2272,430,2472",0.0016237461419753086,0.5,raw,per_instance,7,0
BaiZhang_0040.jpg,P6,6,whole potted plant including the pot,0.359375,"1273,2101,1511,2711",0.005084394290123456,0.5,raw,per_instance,8,0
BaiZhang_0040.jpg,P6,7,whole potted plant including the pot,0.941406,"4,519,1883,2958",0.25597391010802467,0.5,raw,per_instance,0,0
BaiZhang_0040.jpg,P6,8,whole potted plant including the pot,0.648438,"1132,2276,1442,2841",0.01349609375,0.5,raw,per_instance,4,0
BaiZhang_0040.jpg,P6,9,whole potted plant including the pot,0.40625,"1078,2099,1517,2766",0.020556640625,0.5,raw,per_instance,5,0
BaiZhang_0040.jpg,P6,10,whole potted plant including the pot,0.363281,"1273,2096,1509,2307",0.003950255594135803,0.5,raw,per_instance,11,0
BaiZhang_0040.jpg,P6,11,whole potted plant including the pot,0.423828,"1391,2313,1632,2748",0.004341603973765432,0.5,raw,per_instance,10,0
