图像,提示词编号,实例编号,提示词文本,SAM3分数,外接框,面积比例,掩膜阈值,来源阶段,候选模式,排名,是否空掩膜
DouBanLv2_0044.jpg,P6,0,whole potted plant including the pot,0.474609,"1703,1082,2138,1843",0.01749288676697531,0.5,raw,per_instance,5,0
DouBanLv2_0044.jpg,P6,1,whole potted plant including the pot,0.457031,"1703,1085,2137,1677",0.013582658179012346,0.5,raw,per_instance,6,0
DouBanLv2_0044.jpg,P6,2,whole potted plant including the pot,0.554688,"1709,1589,2165,2408",0.024974320023148148,0.5,raw,per_instance,8,0
DouBanLv2_0044.jpg,P6,3,whole potted plant including the pot,0.941406,"354,865,1414,2572",0.14456452546296297,0.5,raw,per_instance,7,0
DouBanLv2_0044.jpg,P6,4,whole potted plant including the pot,0.648438,"1891,1779,2158,2419",0.0156371768904321,0.5,raw,per_instance,3,0
DouBanLv2_0044.jpg,P6,5,whole potted plant including the pot,0.765625,"1286,1862,1559,2259",0.008841145833333333,0.5,raw,per_instance,1,0
DouBanLv2_0044.jpg,P6,6,whole potted plant including the pot,0.335938,"1439,1087,2132,1853",0.027057412229938273,0.5,raw,per_instance,10,0
DouBanLv2_0044.jpg,P6,7,whole potted plant including the pot,0.330078,"2030,1655,2170,2353",0.004517264660493827,0.5,raw,per_instance,9,0
DouBanLv2_0044.jpg,P6,8,whole potted plant including the pot,0.8125,"1494,1772,1837,2363",0.015700593171296295,0.5,raw,per_instance,0,0
DouBanLv2_0044.jpg,P6,9,whole potted plant including the pot,0.523438,"1440,1254,1802,1775",0.009700279706790124,0.5,raw,per_instance,4,0
DouBanLv2_0044.jpg,P6,10,whole potted plant including the pot,0.617188,"1778,1879,1934,2325",0.0056539351851851855,0.5,raw,per_instance,2,0
