图像,提示词编号,实例编号,提示词文本,SAM3分数,外接框,面积比例,掩膜阈值,来源阶段,候选模式,排名,是否空掩膜
BaiZhang_0041.jpg,P6,0,whole potted plant including the pot,0.494141,"1455,2107,1697,2371",0.00442503375771605,0.5,raw,per_instance,10,0
BaiZhang_0041.jpg,P6,1,whole potted plant including the pot,0.6875,"980,2260,1218,2612",0.0057783564814814815,0.5,raw,per_instance,5,0
BaiZhang_0041.jpg,P6,2,whole potted plant including the pot,0.328125,"1545,2373,1833,2585",0.004860990547839506,0.5,raw,per_instance,7,0
BaiZhang_0041.jpg,P6,3,whole potted plant including the pot,0.746094,"1569,2544,2142,3070",0.01827594521604938,0.5,raw,per_instance,2,0
BaiZhang_0041.jpg,P6,4,whole potted plant including the pot,0.412109,"1574,2552,1965,3073",0.015797887731481483,0.5,raw,per_instance,6,0
BaiZhang_0041.jpg,P6,5,whole potted plant including the pot,0.78125,"1929,2532,2156,3008",0.008490186149691359,0.5,raw,per_instance,3,0
BaiZhang_0041.jpg,P6,6,whole potted plant including the pot,0.816406,"1150,2381,1349,2806",0.006882716049382716,0.5,raw,per_instance,1,0
BaiZhang_0041.jpg,P6,7,whole potted plant including the pot,0.396484,"1625,2374,1818,2492",0.0018917582947530864,0.5,raw,per_instance,9,0
BaiZhang_0041.jpg,P6,8,whole potted plant including the pot,0.945312,"40,596,1970,2969",0.2441939139660494,0.5,raw,per_instance,0,0
BaiZhang_0041.jpg,P6,9,whole potted plant including the pot,0.388672,"1282,2135,1719,2785",0.009501109182098766,0.5,raw,per_instance,8,0
BaiZhang_0041.jpg,P6,10,whole potted plant including the pot,0.707031,"1308,2320,1573,2915",0.013655719521604938,0.5,raw,per_instance,4,0
BaiZhang_0041.jpg,P6,11,whole potted plant including the pot,0.359375,"1267,2116,1702,2387",0.006189115547839506,0.5,raw,per_instance,12,0
BaiZhang_0041.jpg,P6,12,whole potted plant including the pot,0.310547,"1451,2123,1703,2765",0.005844425154320988,0.5,raw,per_instance,13,0
BaiZhang_0041.jpg,P6,13,whole potted plant including the pot,0.431641,"1541,2364,1834,2803",0.00614185474537037,0.5,raw,per_instance,11,0
