图像,共识启用,共识接受,回退IoU,删除像素比例,补回像素比例,粘连切割像素比例
BaiZhang_0028.png,1,1,0.8778,0.02081,0.01954,0.0
BaiZhang_0029.png,1,1,0.8966,0.01978,0.01426,0.0
BaiZhang_0030.png,1,1,0.8162,0.04118,0.02472,0.0
BaiZhang_0031.png,1,1,0.8946,0.02545,0.01107,0.0
BaiZhang_0032.png,1,1,0.9233,0.0218,0.00421,0.0
BaiZhang_0033.png,1,1,0.9447,0.01616,0.00192,0.0
BaiZhang_0034.png,1,1,0.9513,0.01243,0.00282,0.0
BaiZhang_0035.png,1,1,0.9511,0.0086,0.00581,0.0
BaiZhang_0036.png,1,1,0.9483,0.00479,0.00987,0.0
BaiZhang_0037.png,1,1,0.9328,0.00523,0.01322,0.0
BaiZhang_0038.png,1,1,0.8708,0.01385,0.02301,0.0
BaiZhang_0039.png,1,1,0.8414,0.0171,0.02918,0.0
BaiZhang_0040.png,1,1,0.8776,0.01243,0.02155,0.0
BaiZhang_0041.png,1,1,0.8679,0.01142,0.024,0.0
BaiZhang_0042.png,1,0,0.0,0.00676,0.21368,0.0
DouBanLv2_0032.png,1,0,0.4681,0.13286,0.0,0.07403
DouBanLv2_0033.png,1,0,0.4694,0.13501,0.0,0.07385
DouBanLv2_0034.png,1,0,0.4769,0.13296,0.0,0.07389
DouBanLv2_0035.png,1,0,0.481,0.1278,0.0,0.07409
DouBanLv2_0036.png,1,0,0.49,0.11872,0.0,0.07414
DouBanLv2_0037.png,1,0,0.477,0.11129,0.0,0.07198
DouBanLv2_0038.png,1,0,0.45,0.10663,0.0,0.06372
DouBanLv2_0039.png,1,0,0.6917,0.01103,0.0,0.0
DouBanLv2_0040.png,1,0,0.5779,0.01911,0.0,0.0
DouBanLv2_0041.png,1,0,0.5359,0.01353,0.0,0.0
DouBanLv2_0042.png,1,0,0.3327,0.01978,0.0,0.0
DouBanLv2_0043.png,1,1,0.8822,0.00178,0.0,0.0
DouBanLv2_0044.png,1,0,0.629,0.00583,0.0,0.0
DouBanLv2_0045.png,1,1,0.777,0.00379,0.0,0.0
DouBanLv2_0046.png,1,1,0.8473,0.00282,0.0,0.0
