图像,选择提示词,选择分数,A1s基础分数,前景面积比例,恢复细结构像素,共识启用,共识接受,共识回退IoU,共识删除像素比例,共识补回像素比例,记忆后端,记忆种子帧,记忆候选采用,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
BaiZhang_0028.jpg,A6共识,0.70635751974879,0.7823989367761164,0.309272762345679,0,1,1,0.8778,0.02081,0.01954,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0029.jpg,A1s,0.7211821431907975,0.8026295706012029,0.3148507426697531,0,1,1,0.8966,0.01978,0.01426,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0030.jpg,A1s,0.7487028947565144,0.83015032216692,0.33383921682098766,0,1,1,0.8162,0.04118,0.02472,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0031.jpg,A6共识,0.7500493073511394,0.706142099190549,0.32102575231481484,0,1,1,0.8946,0.02545,0.01107,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0032.jpg,A6共识,0.7677346821395022,0.7185536224529354,0.31718400366512345,0,1,1,0.9233,0.0218,0.00421,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0033.jpg,A6共识,0.7629251528946722,0.7102409799752185,0.3106084828317901,0,1,1,0.9447,0.01616,0.00192,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0034.jpg,A6共识,0.7489373254953126,0.7386210249176532,0.30051793981481484,0,1,1,0.9513,0.01243,0.00282,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0035.jpg,A6共识,0.7310812466659002,0.7197908338612202,0.28634440104166664,0,1,1,0.9511,0.0086,0.00581,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0036.jpg,A6共识,0.7211053590185524,0.7178339613689343,0.2788554928626543,0,1,1,0.9483,0.00479,0.00987,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0037.jpg,A1s,0.7370770182938781,0.818171994350232,0.26129279996141974,0,1,1,0.9328,0.00523,0.01322,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0038.jpg,A6共识,0.7375973794313336,0.7332578994941262,0.2714363908179012,0,1,1,0.8708,0.01385,0.02301,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0039.jpg,A6共识,0.742981039880198,0.7461693076545667,0.2747315055941358,0,1,1,0.8414,0.0171,0.02918,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0040.jpg,A6共识,0.7580967135307113,0.833941515068512,0.2650985001929012,0,1,1,0.8776,0.01243,0.02155,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0041.jpg,A6共识,0.7542653820193957,0.8291944073720114,0.2567749324845679,0,1,1,0.8679,0.01142,0.024,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
BaiZhang_0042.jpg,A1s,0.6406750793797789,0.7130813729595039,0.0067605854552469135,0,1,0,0.0,0.00676,0.21368,sam3_video,BaiZhang_0040,0,0,disabled,0,module_off,,,
DouBanLv2_0032.jpg,A1s,0.6212909009824252,0.7029613916187204,0.2497849151234568,0,1,0,0.4681,0.13286,0.0,sam3_video,DouBanLv2_0041,0,0,disabled,0,module_off,,,
DouBanLv2_0033.jpg,A1s,0.6149515399479872,0.6966220305842824,0.2544407069830247,0,1,0,0.4694,0.13501,0.0,sam3_video,DouBanLv2_0041,0,0,disabled,0,module_off,,,
DouBanLv2_0034.jpg,A1s,0.6093921407606332,0.6911707184703221,0.2541701630015432,0,1,0,0.4769,0.13296,0.0,sam3_video,DouBanLv2_0041,0,0,disabled,0,module_off,,,
DouBanLv2_0035.jpg,A1s,0.6021302210082273,0.6838007116445225,0.24622938368055555,0,1,0,0.481,0.1278,0.0,sam3_video,DouBanLv2_0041,0,0,disabled,0,module_off,,,
DouBanLv2_0036.jpg,A1s,0.5930139092854199,0.6745740304163893,0.2327932098765432,0,1,0,0.49,0.11872,0.0,sam3_video,DouBanLv2_0041,0,0,disabled,0,module_off,,,
DouBanLv2_0037.jpg,A1s,0.5738385769936408,0.6556171547033297,0.21281153549382717,0,1,0,0.477,0.11129,0.0,sam3_video,DouBanLv2_0041,0,0,disabled,0,module_off,,,
DouBanLv2_0038.jpg,A1s,0.5611148156361309,0.6426749367671003,0.19386127989969135,0,1,0,0.45,0.10663,0.0,sam3_video,DouBanLv2_0041,0,0,disabled,0,module_off,,,
DouBanLv2_0039.jpg,A1s,0.6525326228169637,0.6787967300668455,0.03576051311728395,0,1,0,0.6917,0.01103,0.0,sam3_video,DouBanLv2_0041,0,0,disabled,0,module_off,,,
DouBanLv2_0040.jpg,A1s,0.6511281930747903,0.6933364413953901,0.04525812596450617,0,1,0,0.5779,0.01911,0.0,sam3_video,DouBanLv2_0041,0,0,disabled,0,module_off,,,
