image,label,x,y,source
CaoMei2_0007.jpg,1,1671,1503,distance_transform
CaoMei2_0007.jpg,1,1679,1589,distance_transform
CaoMei2_0007.jpg,1,1664,1417,distance_transform
CaoMei2_0007.jpg,1,1682,1675,distance_transform
CaoMei2_0007.jpg,1,1690,1761,distance_transform
CaoMei2_0007.jpg,0,1616,955,outer_ring
CaoMei2_0007.jpg,0,1980,1049,outer_ring
CaoMei2_0007.jpg,0,1111,1144,outer_ring
CaoMei2_0007.jpg,0,1016,1312,outer_ring
CaoMei2_0007.jpg,0,1200,1436,outer_ring
CaoMei2_0007.jpg,0,2012,1723,outer_ring
CaoMei2_0007.jpg,0,1436,2030,outer_ring
CaoMei2_0007.jpg,0,1669,2147,outer_ring
CaoMei2_0008.jpg,1,1802,1575,distance_transform
CaoMei2_0008.jpg,1,1804,1661,distance_transform
CaoMei2_0008.jpg,1,1786,1490,distance_transform
CaoMei2_0008.jpg,1,1803,1747,distance_transform
CaoMei2_0008.jpg,1,1808,1833,distance_transform
CaoMei2_0008.jpg,0,1759,997,outer_ring
CaoMei2_0008.jpg,0,2114,1096,outer_ring
CaoMei2_0008.jpg,0,1315,1191,outer_ring
CaoMei2_0008.jpg,0,1297,1345,outer_ring
CaoMei2_0008.jpg,0,1370,1530,outer_ring
CaoMei2_0008.jpg,0,1480,1886,outer_ring
CaoMei2_0008.jpg,0,2084,2135,outer_ring
CaoMei2_0008.jpg,0,1801,2213,outer_ring
CaoMei2_0009.jpg,1,1750,1621,distance_transform
CaoMei2_0009.jpg,1,1754,1707,distance_transform
CaoMei2_0009.jpg,1,1786,1542,distance_transform
CaoMei2_0009.jpg,1,1755,1793,distance_transform
CaoMei2_0009.jpg,1,1756,1879,distance_transform
CaoMei2_0009.jpg,0,1741,1079,outer_ring
CaoMei2_0009.jpg,0,2065,1191,outer_ring
CaoMei2_0009.jpg,0,1221,1265,outer_ring
CaoMei2_0009.jpg,0,1086,1466,outer_ring
CaoMei2_0009.jpg,0,1360,1700,outer_ring
CaoMei2_0009.jpg,0,2089,1967,outer_ring
CaoMei2_0009.jpg,0,2030,2228,outer_ring
CaoMei2_0009.jpg,0,1723,2312,outer_ring
CaoMei2_0146.jpg,1,1186,762,distance_transform
CaoMei2_0146.jpg,1,1229,837,distance_transform
CaoMei2_0146.jpg,1,1278,908,distance_transform
CaoMei2_0146.jpg,1,1108,799,distance_transform
CaoMei2_0146.jpg,1,1256,712,distance_transform
CaoMei2_0146.jpg,0,1115,456,outer_ring
CaoMei2_0146.jpg,0,1380,520,outer_ring
CaoMei2_0146.jpg,0,1015,597,outer_ring
CaoMei2_0146.jpg,0,944,717,outer_ring
CaoMei2_0146.jpg,0,889,846,outer_ring
CaoMei2_0146.jpg,0,1083,967,outer_ring
CaoMei2_0146.jpg,0,1193,1100,outer_ring
CaoMei2_0146.jpg,0,1315,1197,outer_ring
ChangShouHua3_0189.jpg,1,847,1172,distance_transform
ChangShouHua3_0189.jpg,1,835,1086,distance_transform
ChangShouHua3_0189.jpg,1,819,834,distance_transform
ChangShouHua3_0189.jpg,1,827,1000,distance_transform
ChangShouHua3_0189.jpg,1,809,1250,distance_transform
ChangShouHua3_0189.jpg,0,51,0,outer_ring
ChangShouHua3_0189.jpg,0,1715,370,outer_ring
ChangShouHua3_0189.jpg,0,1834,754,outer_ring
ChangShouHua3_0189.jpg,0,1924,1309,outer_ring
ChangShouHua3_0189.jpg,0,1676,1749,outer_ring
