challenge_id,sample,frame,f1_p00,iou_p00,gt_area,below_easy_min,easy_anchor_min,easy_anchor_mean
HARD-BaiZhang-0033,BaiZhang,0033,0.959257,0.921704,2890593,1,0.9761,0.9835
HARD-BaiZhang-0034,BaiZhang,0034,0.955657,0.91508,2772217,1,0.9761,0.9835
HARD-BaiZhang-0035,BaiZhang,0035,0.960533,0.924063,2538285,1,0.9761,0.9835
HARD-BaiZhang-0036,BaiZhang,0036,0.962291,0.927322,2394015,1,0.9761,0.9835
HARD-BaiZhang-0037,BaiZhang,0037,0.953557,0.911237,2313272,1,0.9761,0.9835
HARD-DouBanLv2-0037,DouBanLv2,0037,0.98554,0.971493,1807585,0,0.9761,0.9835
HARD-DouBanLv2-0038,DouBanLv2,0038,0.989847,0.979898,1624290,0,0.9761,0.9835
HARD-DouBanLv2-0039,DouBanLv2,0039,0.0,0.0,1510266,1,0.9761,0.9835
HARD-DouBanLv2-0040,DouBanLv2,0040,0.0,0.0,1420596,1,0.9761,0.9835
HARD-DouBanLv2-0041,DouBanLv2,0041,0.0,0.0,1349934,1,0.9761,0.9835
