sample,frame,variant,mask_change_pixels,mask_change_ratio,prediction_iou_vs_u00,bitwise_noop,mask_empty
CaoMei2,CaoMei2_0007,U00,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0007,U10,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0007,U01,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0007,U11,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0008,U00,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0008,U10,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0008,U01,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0008,U11,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0009,U00,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0009,U10,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0009,U01,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0009,U11,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0146,U00,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0146,U10,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0146,U01,0,0.0,1.0,1,0
CaoMei2,CaoMei2_0146,U11,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0189,U00,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0189,U10,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0189,U01,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0189,U11,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0190,U00,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0190,U10,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0190,U01,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0190,U11,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0191,U00,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0191,U10,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0191,U01,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0191,U11,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0200,U00,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0200,U10,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0200,U01,0,0.0,1.0,1,0
ChangShouHua3,ChangShouHua3_0200,U11,0,0.0,1.0,1,0
DouBanLv3,DouBanLv3_0211,U00,0,0.0,1.0,1,0
DouBanLv3,DouBanLv3_0211,U10,0,0.0,1.0,1,0
DouBanLv3,DouBanLv3_0211,U01,0,0.0,1.0,1,0
DouBanLv3,DouBanLv3_0211,U11,0,0.0,1.0,1,0
DouBanLv3,DouBanLv3_0220,U00,0,0.0,1.0,1,0
DouBanLv3,DouBanLv3_0220,U10,0,0.0,1.0,1,0
