sample,variant,n_frames,acted,noop,large_flip
CaoMei2,U00,4,0,0,0
CaoMei2,U10,4,0,4,0
CaoMei2,U01,4,0,4,0
CaoMei2,U11,4,0,4,0
ChangShouHua3,U00,4,0,0,0
ChangShouHua3,U10,4,0,4,0
ChangShouHua3,U01,4,0,4,0
ChangShouHua3,U11,4,0,4,0
DouBanLv3,U00,4,0,0,0
DouBanLv3,U10,4,0,4,0
DouBanLv3,U01,4,0,4,0
DouBanLv3,U11,4,0,4,0
HongZhang,U00,4,0,0,0
HongZhang,U10,4,0,4,0
HongZhang,U01,4,0,4,0
HongZhang,U11,4,0,4,0
WanNianQing1,U00,4,0,0,0
WanNianQing1,U10,4,0,4,0
WanNianQing1,U01,4,0,4,0
WanNianQing1,U11,4,0,4,0
WangWenCao2,U00,4,0,0,0
WangWenCao2,U10,4,0,4,0
WangWenCao2,U01,4,0,4,0
WangWenCao2,U11,4,0,4,0
XianKeLai3,U00,4,0,0,0
XianKeLai3,U10,4,0,4,0
XianKeLai3,U01,4,1,3,0
XianKeLai3,U11,4,1,3,0
XiangPiShu2,U00,4,0,0,0
XiangPiShu2,U10,4,0,4,0
XiangPiShu2,U01,4,0,4,0
XiangPiShu2,U11,4,0,4,0
