run,sample,seed_stem,frames,propagated,status,seed_sample_match
AP01,BaiZhang,BaiZhang_0040,15,15,ok,1
AP01,DouBanLv2,DouBanLv2_0041,15,15,ok,1
AP11,BaiZhang,BaiZhang_0040,15,15,ok,1
AP11,DouBanLv2,DouBanLv2_0041,15,15,ok,1
BU01,CaoMei2,CaoMei2_0146,4,1,ok,1
BU01,ChangShouHua3,ChangShouHua3_0200,4,1,ok,1
BU01,DouBanLv3,DouBanLv3_0222,4,1,ok,1
BU01,HongZhang,HongZhang_0134,4,4,ok,1
BU01,WanNianQing1,WanNianQing1_0225,4,4,ok,1
BU01,WangWenCao2,WangWenCao2_0015,4,4,ok,1
BU01,XianKeLai3,XianKeLai3_0133,4,4,ok,1
BU01,XiangPiShu2,XiangPiShu2_0133,4,4,ok,1
BU11,CaoMei2,CaoMei2_0146,4,1,ok,1
BU11,ChangShouHua3,ChangShouHua3_0200,4,1,ok,1
BU11,DouBanLv3,DouBanLv3_0222,4,1,ok,1
BU11,HongZhang,HongZhang_0134,4,4,ok,1
BU11,WanNianQing1,WanNianQing1_0225,4,4,ok,1
BU11,WangWenCao2,WangWenCao2_0015,4,4,ok,1
BU11,XianKeLai3,XianKeLai3_0133,4,4,ok,1
BU11,XiangPiShu2,XiangPiShu2_0133,4,4,ok,1
